gene_name,padj
ENTPD1,3.87e-09
TTR,3.88e-08
MYO10,4.25e-06
HTR2C,1.36e-05
SLC13A4,2.23e-05
CD276,2.3e-05
SCN1A,2.3e-05
GALNT5,2.45e-05
COL4A6,3.05e-05
GRIK2,0.000281777
AC007906.2,0.000309166
ANTXR1,0.000309166
NFIC,0.000325985
NOTCH3,0.000397559
B3GALNT2,0.00041137
LRP1,0.000447053
PPFIA2,0.000447053
TIMP3,0.000466367
HIST2H2BE,0.000819504
FOXJ1,0.000909177
MYO5C,0.000909177
PLAGL1,0.001081332
COL4A5,0.001632674
GPRIN3,0.001632674
HSPG2,0.001743557
BOC,0.001917503
GPX8,0.002130484
ZNF683,0.002130484
CSPG4,0.002415605
PYCR1,0.002710056
NYNRIN,0.00275624
KLF6,0.00275624
PTHLH,0.00275624
AKAP11,0.002852613
HCN3,0.002960259
CLIC6,0.002960259
SVEP1,0.003907498
ADGRG2,0.004247723
NOTCH2,0.004247723
LAMC1,0.004375803
IDI1,0.004375803
SLC7A5,0.004375803
RBM47,0.004375803
ARHGEF40,0.004375803
TEX261,0.004497497
BMP4,0.004524427
KANK2,0.004659455
ATP8A1,0.004669269
BAMBI,0.004888163
SULF1,0.004984293
CDC20B,0.004984293
FABP5,0.004984293
FAT1,0.005083677
ANGPTL2,0.005320221
SHROOM3,0.005320221
TEKT1,0.005407187
CTNNBIP1,0.005768597
SDK2,0.006324369
CRTC3,0.006324369
IMP3,0.006324369
ADAMTS14,0.006324369
RPL17P50,0.006324369
EPAS1,0.006711597
EPHA10,0.006826556
DGCR8,0.007398307
ALG8,0.007462507
SLC22A23,0.007709822
CDK5RAP2,0.0077911
CLN6,0.009390589
DOCK1,0.009392475
ZC3H4,0.00957305
SMO,0.00957305
ISM2,0.009645536
RSPO1,0.009662049
HOXB5,0.0097673
KCNV1,0.010553034
LRRTM2,0.010566483
INSIG1,0.010833324
SPAG6,0.010951809
TENM4,0.010951809
SH3PXD2A,0.011499946
PLA2G4C,0.011587783
PARVA,0.011587783
PDGFRB,0.012284886
OIP5-AS1,0.012610926
NDNF,0.013395903
PLXNB1,0.013396277
CLDN19,0.013521241
ABL1,0.013579626
RAX,0.013579626
