gene_name,padj
SOCS3,6.78e-86
GPC3,1.48e-77
DACT2,1.4e-74
IFI16,1.17e-52
MGP,1.14e-36
LCP1,2.45e-32
IL16,5.58e-32
ARHGAP30,2.03e-31
PSRC1,2.68e-30
PSD4,3.05e-30
ITGB2,3.21e-30
ITGA6,5.72e-30
LAPTM5,3.01e-28
FXYD5,1.3e-27
ACAP1,4.3e-27
SPN,1.15e-26
ARHGAP45,9.43e-26
CD4,1.03e-25
IFITM2,1.26e-24
CRY1,1.26e-24
TRAC,1.41e-24
IL4R,2.92e-24
TRAF1,2.92e-24
ARHGDIB,1.6e-23
DNAJC1,2e-23
RASSF5,2.94e-23
S100A10,4.37e-23
FZD5,6.87e-23
PTPRC,1.16e-22
CD6,6.28e-22
CACNG5,1.19e-21
CEBPD,2.38e-21
S100A4,2.77e-21
LSP1,9.47e-21
TMC8,2.54e-20
CD7,6.97e-20
PRKCH,1.47e-19
NLRC5,1.85e-19
IKZF1,2.51e-19
NCKAP1L,2.72e-19
HLA-A,3.16e-19
MBP,5.23e-19
PSMB8,5.78e-19
EMB,6.24e-19
C1QL1,6.83e-19
CD37,1.51e-18
DEF6,4.04e-18
ADGRE5,4.45e-18
SELPLG,6.23e-18
HLA-C,8e-18
FABP5,1.12e-17
STAT4,1.12e-17
ETS1,1.36e-17
DPP4,1.67e-17
MYO1G,1.67e-17
BCL6,2.12e-17
1-Sep,2.12e-17
ADA2,2.16e-17
ARHGAP9,2.23e-17
TRAF3IP3,2.61e-17
SIPA1L1,4.9e-17
HOPX,7.95e-17
DOCK10,8.44e-17
MRC2,1.08e-16
OSMR,1.21e-16
HLA-F,1.29e-16
DENND2D,1.5e-16
CD44,1.5e-16
PSMB9,2.4e-16
SAMD4A,2.91e-16
FAM107A,3.78e-16
IQGAP2,7.3e-16
HCP5,8.21e-16
CD74,8.74e-16
LTB,1.02e-15
WIPF1,1.25e-15
TCF7,1.29e-15
B2M,1.44e-15
FYB1,1.53e-15
CCDC80,2e-15
TMEM173,3.01e-15
RAC2,3.05e-15
CYTIP,3.34e-15
AL671277.1,4.24e-15
GPSM3,5.37e-15
PTP4A3,5.75e-15
BIRC3,8.12e-15
S100A11,8.39e-15
SELL,1.05e-14
STAT6,1.25e-14
IL1R1,1.55e-14
IFITM3,2.1e-14
LOXL2,2.19e-14
C3,2.85e-14
SPOCK2,2.85e-14
ITGA4,3.99e-14
ICAM3,4.13e-14
