gene_name,padj
DLX6-AS1,3.41e-178
RPL10P9,5.7e-114
CCDC144NL-AS1,3.95e-107
DLX1,3.56e-101
SLITRK2,1.1e-99
PTPRT,1.02e-97
AJAP1,2.54e-53
DLX2,2.54e-53
NCAM2,8.31e-50
ZNF736,2.36e-48
RIMBP2,2.99e-40
LINC01833,4.07e-39
EBF3,7.57e-36
COL12A1,1.08e-35
CCL5,1.4e-35
SIX3,4.04e-34
DSCAM,4.49e-34
SERTAD4,5.8e-33
CRYZ,7.16e-33
NEUROD2,8.33e-32
CCK,1.79e-29
ISL1,2.09e-29
IRX1,4.7e-29
FZD5,5.53e-29
CBLN2,1.06e-28
VAX1,1.94e-27
PAX3,2.73e-27
KLHL1,2.91e-27
CSMD1,3.07e-27
TRBC2,3.07e-27
IRX2,3.46e-27
ITGB2,1.18e-26
WNT8B,1.76e-25
SIK1,1.76e-25
PTPRC,2.77e-25
EBF2,4.71e-25
SMS,1.39e-24
CD96,1.59e-24
CNTN2,1.86e-24
GRIN1,3.37e-24
BEX2,1.47e-23
TMSB4X,1.71e-23
ITGAL,1.71e-23
CD52,2.7e-23
FOXP2,3.01e-23
RPS4Y1,3.03e-23
GBP5,3.1e-23
CD2,3.45e-23
RAC2,3.49e-23
6-Sep,4.06e-23
CD3E,6.24e-23
IL16,8.26e-23
IL32,1.26e-22
DLX5,3.01e-22
VGLL2,5.07e-22
C11orf87,6.55e-22
LCK,7.64e-22
IFIT3,7.64e-22
DLX6,3.65e-21
ARHGDIB,7.33e-21
SIK1B,7.33e-21
FYB1,8.09e-21
LAPTM5,1.22e-20
LCP1,2.08e-20
PSD4,2.6e-20
CD6,9.66e-20
DOCK2,9.94e-20
GBP2,1.25e-19
WARS,1.6e-19
RGPD2,1.65e-19
ADCY1,2.65e-19
SCG2,3e-19
GZMB,3e-19
TRBC1,3.15e-19
IGSF1,3.39e-19
CTNNA2,3.86e-19
HCRT,4.37e-19
LSP1,5.07e-19
ARMCX3,5.14e-19
BX322639.1,5.56e-19
JAML,5.76e-19
RGS1,7.35e-19
TRAC,7.58e-19
PCDHGB4,1.05e-18
SRGN,1.09e-18
NEAT1,1.27e-18
PCDHGA3,1.27e-18
DOCK8,1.55e-18
IFITM2,1.64e-18
VGF,1.87e-18
NLRC3,3.98e-18
INSM2,5.47e-18
DPP6,6.88e-18
PDYN,1.01e-17
TNFRSF9,1.42e-17
P2RY8,1.62e-17
RBFOX1,1.71e-17
CD53,1.82e-17
SPN,1.82e-17
CXCL9,2.04e-17
CD8B,5.7e-17
NEBL,6.19e-17
CD3D,7.39e-17
SASH3,9.98e-17
GBP1,9.98e-17
CD5,1.01e-16
RTL5,1.1e-16
PPP1R3C,1.21e-16
ITGA6,1.23e-16
LTB,1.23e-16
HCLS1,1.59e-16
CCDC144NL,1.98e-16
TSIX,2.78e-16
EMB,3.31e-16
ARHGAP30,3.46e-16
TMEM132B,3.59e-16
GDF7,3.63e-16
CARD11,4.79e-16
TMEM132C,5.79e-16
GIMAP4,9.02e-16
SOX2-OT,1.36e-15
CNTNAP4,1.48e-15
ELF4,1.83e-15
TRAF3IP3,2.07e-15
CTSW,2.09e-15
CD4,2.75e-15
SNX20,3.72e-15
PAPPA2,3.86e-15
HSPG2,3.86e-15
RUNX3,4.25e-15
XIST,4.25e-15
SERPINB9,4.73e-15
NRP2,5.07e-15
CD7,5.92e-15
TMEM132D,6.07e-15
DEF6,6.36e-15
CYP26B1,6.5e-15
GPSM3,8e-15
SVIL-AS1,8e-15
FAM122B,8e-15
STK26,8.83e-15
ETS1,9.05e-15
HAP1,1.14e-14
ROBO3,1.32e-14
SLC9A6,1.91e-14
C1orf61,2.86e-14
ATP2A3,3.69e-14
ABCA8,3.74e-14
TBC1D10C,4.15e-14
MYO1G,4.35e-14
TNFRSF1B,4.58e-14
APOBR,4.58e-14
XAF1,5.14e-14
ITGA2,5.78e-14
ITGB7,6.13e-14
HMGB3,7.17e-14
RCSD1,7.7e-14
TCEAL9,9.89e-14
FXYD5,9.89e-14
HTATSF1,1.01e-13
TRIM7,1.08e-13
IFIT2,1.14e-13
GPNMB,1.35e-13
ACCS,1.45e-13
PRKCH,1.45e-13
TRAF1,1.52e-13
CD3G,1.59e-13
TFAP2B,2e-13
ST8SIA3,2.38e-13
FZD10,2.57e-13
PDE3B,2.59e-13
ID1,3.58e-13
CXorf57,3.76e-13
APOL6,3.89e-13
MBP,4.17e-13
RAB31,4.37e-13
TYW3,4.66e-13
APOOL,4.66e-13
GRIN3A,5.05e-13
ZNF439,5.68e-13
ITK,5.75e-13
MIR7-3HG,6.85e-13
COL1A1,7.99e-13
PDGFRA,1.03e-12
TCEAL7,1.13e-12
MAGEL2,1.17e-12
ABI3,1.17e-12
PARVG,1.17e-12
CCR7,1.18e-12
GPR171,1.24e-12
ZNF560,1.3e-12
CD48,1.37e-12
CD8A,1.49e-12
ST6GAL2,1.62e-12
CD27,1.79e-12
IQSEC2,1.89e-12
TMSB4XP8,2.18e-12
PTPN22,2.28e-12
APOL1,2.74e-12
OAS2,2.79e-12
SMARCA1,3.36e-12
SPOCD1,3.64e-12
CXCL10,3.85e-12
ID3,3.88e-12
SLAMF7,4e-12
GATM,4.01e-12
TMEM140,4.53e-12
PRF1,4.54e-12
CD37,4.58e-12
MN1,4.94e-12
SPATA18,5.25e-12
ENOX2,5.46e-12
HIST1H1C,7.89e-12
IKZF3,7.94e-12
PDE1B,9.58e-12
KCTD12,9.92e-12
ICAM1,1.12e-11
BIN2,1.23e-11
IL2RB,1.26e-11
COTL1,1.32e-11
DTX3L,1.32e-11
COL11A1,1.34e-11
MTMR1,1.54e-11
LRRC4C,1.58e-11
NLRP2,1.58e-11
GIMAP6,1.78e-11
PTPN7,1.79e-11
SIT1,1.79e-11
MT-CO2,2.12e-11
RUNX1T1,2.15e-11
