gene_name,padj
B2M,0.0
HLA-B,0.0
HLA-A,0.0
HLA-E,0.0
STAT1,0.0
HLA-C,0.0
TAP1,0.0
NLRC5,7.58e-145
BTN3A2,2.31e-136
BST2,7.8e-128
TRIM22,1.18e-117
GBP1,3.75e-112
IFI16,1.02e-105
PARP9,2.14e-102
PRPH,8.78e-93
PSRC1,7.1e-92
PARP14,3.5e-87
PSMB8,8.98e-86
TAP2,5.82e-84
IRF1,1.08e-78
APOL6,4.55e-77
DTX3L,8.65e-75
BTN3A1,5.88e-69
CD74,1.13e-64
DACT2,4.14e-60
PSMB9,7.71e-56
CSF1,1.42e-55
SOCS3,3.27e-54
CD8A,6.56e-54
LCP1,2.17e-51
ZC3HAV1,3.04e-47
AL671277.1,7.37e-46
ERAP2,1.89e-44
BTN3A3,4.56e-42
TRAC,8.14e-42
AL671883.2,8.18e-42
TRIM69,3.56e-41
FZD5,1.51e-40
HLA-F,7.87e-38
IFIT3,8.62e-38
ITGB2,5.14e-37
ACAP1,5.43e-37
TAPBP,6.2e-37
ARHGAP30,3.54e-35
LGALS3BP,1.19e-34
DDX60,1.1e-33
EMB,5.37e-33
AC125611.4,5.1e-32
PARP10,1.47e-31
IRF9,3.35e-31
FXYD5,4.64e-31
PSD4,4.64e-31
PRKCH,1.96e-30
FABP5,7.76e-30
IL16,1.04e-29
SORT1,1.39e-29
LAPTM5,2.04e-29
WIPF1,4.11e-29
PARP12,5.12e-29
DOCK10,8.93e-29
UBE2L6,1.17e-28
APOL4,1.21e-28
MT2A,1.32e-28
SPN,2.09e-28
ITGA4,5.05e-28
IFIH1,1.11e-27
ITGA6,1.49e-27
CD44,1.63e-27
TNFRSF1B,1.89e-27
GPC3,2.13e-27
HCP5,4.24e-27
APOBEC3C,5.23e-27
ADGRE5,6.1e-27
S100A4,7.97e-27
KCNIP4,2.17e-26
TRAF1,3.29e-26
CYTIP,4.65e-26
ARHGDIB,4.84e-26
IFIT2,4.85e-26
TCAF2,4.86e-26
PTPRC,6.9e-26
NCKAP1L,7.38e-26
DPP4,1.11e-25
ERAP1,2.13e-25
RARRES3,3.25e-25
HLA-DRA,4.2e-25
SP110,6.56e-25
CD37,1.12e-24
BCL6,4.93e-24
IKZF1,5.03e-24
TRIM21,8.93e-24
SERPING1,1.08e-23
SYTL3,1.19e-23
SAMD9L,2.86e-23
CRY1,6.6e-23
CD6,8.13e-23
GBP3,1.18e-22
LSP1,1.91e-22
GZMA,1.94e-22
CD4,2.34e-22
TMC8,3.37e-22
RASSF5,3.74e-22
ISG15,4.58e-22
SCN1A,6.89e-22
SAMD9,9.91e-22
ARHGAP9,5.97e-21
CD7,6.33e-21
SELPLG,1.48e-20
DNAJC1,1.75e-20
TRAF3IP3,1.77e-20
HOPX,3.13e-20
STAT3,8.52e-20
IFI6,1.56e-19
MYO1G,2.03e-19
TAGLN2,2.11e-19
