,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.00939556311457138,,0.009518783103688764
ABCA5,,,1.0
ABCB1,0.15814631562663056,,0.12760768643121584
ABCD4,,,0.9148185148185147
ABHD14B,,,0.9617867512604354
ABI3,0.4066152825276913,,0.4084907629683749
ABI3BP,0.0218627526319834,,0.027643589287424903
ABL1,0.20252906238654458,0.3252283430854859,
ABLIM1,,,1.0
ACAP3,,,0.794244878751921
ACBD4,1.0,,
ACSL5,0.00939556311457138,,0.009518783103688764
ACTA2,0.00939556311457138,,0.03405876823598343
ACTB,,0.36487322201607914,
ACTN4,0.9165657539066309,,0.8480476578636088
ACVR2B,,,0.1789726982529039
ADA2,0.14480370577931553,,0.14765722082795255
ADAM19,0.018535812014072884,,
ADAM33,0.018535812014072884,0.03929403929403929,
ADAM9,,,0.009518783103688764
ADAMTS1,,0.029470529470529472,
ADAMTS14,,0.029470529470529472,
ADAMTS4,0.04925038860056911,,0.044043258328972615
ADAMTS7,0.029150336842644536,,
ADAMTS9,0.00939556311457138,,
ADAMTSL4,,,0.05626343916306742
ADAR,0.27391371954271737,,0.2301615435255988
ADCY7,0.05222339497957873,,0.044043258328972615
ADD3,,,0.3356603555806743
ADGRA2,,,0.29129865949949635
ADGRA3,0.06843992128273066,0.13556443556443556,
ADGRG5,0.4832658630568038,,0.4695482137755672
ADM,0.03996784465534466,,
ADM2,,1.0,
ADORA2B,0.04257914370273921,,0.044043258328972615
AEBP1,,,0.20031439149086205
AFF2,0.08327341448360556,,0.08045111035144258
AGAP9,0.9873578476318201,,
AGFG2,1.0,,
AGMAT,1.0,,1.0
AGO1,1.0,,
AGPAT2,,,1.0
AGT,,,0.03752445901206232
AHNAK,1.0,,1.0
AHRR,1.0,,1.0
AIF1,0.00939556311457138,,0.009518783103688764
AKAP10,0.0717621249182711,,0.05913500418994924
AKAP11,,1.0,
AKAP12,,,1.0
AKAP7,0.14054626691989328,,
AKAP8L,,1.0,1.0
AKNA,1.0,,1.0
ALDH1A3,,,1.0
ALDH1L1,1.0,,1.0
ALDOA,1.0,,
ALDOC,0.9328918647416561,,
ALG13,1.0,,1.0
ALG8,,0.42184957899243614,
ALKBH5,1.0,,
ALOX5AP,0.00939556311457138,0.025260453831882402,0.009518783103688764
AMOT,1.0,,1.0
AMPD3,1.0,,1.0
ANGPT1,,,0.06192363593085615
ANGPTL2,,0.2822369937754553,0.1988159623627604
ANGPTL4,,,0.24659197304937217
ANKRD13B,1.0,,1.0
ANKRD28,1.0,,1.0
