,Ctrl Tc vs. wo Tc,IBD Tc vs. Ctrl Tc,IBD Tc vs. wo Tc
A2M,False,False,True
ADAMTS14,False,True,False
AEBP1,False,False,True
ANTXR1,False,True,False
BGN,False,False,True
BOC,False,True,False
BTN3A1,False,False,True
C1R,False,False,True
CCL2,False,False,True
CCL5,False,False,True
CCR2,False,False,True
CD2,False,False,True
CD276,False,True,False
CD4,False,False,True
CD44,False,False,True
CD48,False,False,True
CD53,False,False,True
CD84,False,False,True
CDH6,False,False,True
CLEC2B,False,False,True
CNTNAP1,False,False,True
CTSS,False,False,True
CXCL10,False,False,True
CXCL9,False,False,True
EMB,False,False,True
EVI2B,False,False,True
F3,False,False,True
FASLG,False,False,True
FAT1,False,True,False
FGD3,False,False,True
FGL2,False,False,True
HLA-DPB1,False,False,True
HLA-F,False,False,True
ICAM2,False,False,True
IGFBP6,False,False,True
IL10RA,False,False,True
IL1R1,False,False,True
IL2RB,False,False,True
IL2RG,False,False,True
IL6ST,False,False,True
ITGA6,False,False,True
ITGB2,False,False,True
JAK1,False,False,True
LAIR1,False,False,True
LAMC1,False,True,False
LAPTM5,False,False,True
LGALS1,False,False,True
LGALS3,False,False,True
LRP1,False,False,True
LTB,False,False,True
LTBP2,False,False,True
MAL,False,False,True
MMP2,False,False,True
MR1,False,False,True
MRC2,False,False,True
MSN,False,False,True
MXRA5,False,False,True
NCKAP1L,False,False,True
NOTCH3,False,True,False
PECAM1,False,False,True
PTPRC,False,False,True
SDC4,False,False,True
SDK2,False,True,False
SELL,False,False,True
SEMA5A,False,False,True
SLAMF6,False,False,True
SLC7A5,False,True,False
SRGN,False,False,True
SULF1,False,True,False
TGFB1,False,False,True
TGFB3,False,False,True
TGFBI,False,False,True
TGFBR2,False,False,True
THBS4,False,False,True
TIMP1,False,False,True
TIMP3,False,True,False
TLN1,False,False,True
TNFRSF14,False,False,True
TTR,False,True,False
UTRN,False,False,True
VSIR,False,False,True
WAS,False,False,True
