,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.02229143405613994,,0.013276197486723804
ABCA5,,,1.0
ABCB1,0.5501540260382703,,0.5622238458059354
ABCD4,,,1.0
ABHD14B,,,1.0
ABI3,0.08397284533648171,,0.09467744052194454
ABI3BP,0.02229143405613994,,0.024609536804658758
ABL1,0.07105394605394606,0.06011988011988012,
ABLIM1,,,0.3021272512797937
ACAP3,,,0.11545668262086171
ACBD4,1.0,,
ACSL5,1.0,,1.0
ACTA2,0.01916061466623264,,0.01462305810131897
ACTB,,0.29396853146853147,
ACTN4,0.058300673685289066,,0.053104789946895214
ACVR2B,,,0.032783101375159135
ADA2,0.25441896812864556,,0.2714244819507977
ADAM19,0.01601215685722728,,
ADAM33,0.01601215685722728,0.013098013098013098,
ADAM9,,,0.016631719928423227
ADAMTS1,,0.012630226915941201,
ADAMTS14,,0.012630226915941201,
ADAMTS4,0.01916061466623264,,0.019037566207377527
ADAMTS7,0.01601215685722728,,
ADAMTS9,0.01601215685722728,,
ADAMTSL4,,,0.016631719928423227
ADAR,1.0,,1.0
ADCY7,0.2736480740394635,,0.2670858553211495
ADD3,,,0.07039472155751225
ADGRA2,,,0.15216801759725193
ADGRA3,0.0735617323852618,0.11388611388611389,
ADGRG5,0.4686897429657225,,0.4402229533119586
ADM,0.052528329756052525,,
ADM2,,0.48403112039475676,
ADORA2B,0.26749720867367927,,0.2177076035997198
AEBP1,,,0.013276197486723804
AFF2,0.2518660201587031,,0.20009526338640263
AGAP9,1.0,,
AGFG2,0.9744541173112601,,
AGMAT,1.0,,1.0
AGO1,1.0,,
AGPAT2,,,1.0
AGT,,,0.032783101375159135
AHNAK,0.7344337078850353,,0.7028575140030248
AHRR,1.0,,1.0
AIF1,0.01601215685722728,,0.013276197486723804
AKAP10,1.0,,1.0
AKAP11,,1.0,
AKAP12,,,0.17450398825121663
AKAP7,0.1679456906729634,,
AKAP8L,,1.0,1.0
AKNA,1.0,,1.0
ALDH1A3,,,1.0
ALDH1L1,1.0,,1.0
ALDOA,1.0,,
ALDOC,1.0,,
ALG13,1.0,,1.0
ALG8,,1.0,
ALKBH5,1.0,,
ALOX5AP,0.01601215685722728,0.012630226915941201,0.013276197486723804
AMOT,0.4504552051721863,,0.4369925848799088
AMPD3,1.0,,1.0
ANGPT1,,,0.019037566207377527
ANGPTL2,,0.01560204501380972,0.019037566207377527
ANGPTL4,,,0.04049462243442177
ANKRD13B,0.9120596917207088,,0.8777041671778513
ANKRD28,1.0,,1.0
ANKRD29,,,0.19147164136503156
ANKRD37,1.0,,1.0
ANO6,,0.6974691974691974,
ANO8,,,1.0
ANTXR1,0.01601215685722728,0.01560204501380972,
ANXA1,0.1263181263181263,,0.11322841746781895
ANXA11,1.0,,1.0
ANXA2,0.3080812317453539,,0.24521295437630097
ANXA3,,0.05267073352179735,
ANXA6,,,0.5347652347652349
AOAH,0.02878134523704144,,0.024609536804658758
AP1S2,0.599566317876177,,0.5708764919291236
AP3B2,,,1.0
APBB1IP,0.17232993251092799,,0.1674110642720508
APOBEC3C,0.25366114615607516,,0.24417582417582417
APOBEC3F,0.04119069336460641,,0.03034559425536869
APOD,,,0.035527852429260875
APOL2,0.40887182992446147,,
APOL3,0.025151839311131345,,0.019037566207377527
APOL6,0.19489082346225203,,0.14278174655533146
APRT,,,1.0
AQP3,0.3205441175365987,,0.2572328856913837
ARAP1,,,0.022126995811206338
ARAP2,0.23971435662458626,,0.2177076035997198
ARF6,0.39376254296325347,,0.3608799959164922
ARHGAP27,0.1263181263181263,,
ARHGAP30,0.04387892808945441,,0.032783101375159135
ARHGAP9,0.03846529410439185,,0.05076684321967341
ARHGDIA,,,0.17922866607077131
ARHGDIB,0.01601215685722728,,0.016631719928423227
ARHGEF1,0.02229143405613994,,0.03034559425536869
ARHGEF26,0.19115397876459822,,0.1777957725094289
ARHGEF3,,,0.20009526338640263
ARHGEF40,0.22305542558707117,0.24558774558774557,
ARHGEF6,0.11606717889440402,,0.10983952756104655
ARL4C,1.0,,
ARL4D,0.8526473526473527,,0.7952343952343952
ARMCX4,0.8043224786740636,,0.764295584654866
ARPC2,1.0,,
ARPC5,0.26631242772975056,,
ARPIN,1.0,,
ARPP21,1.0,,
ARRB1,,,1.0
ARRDC2,0.7733313198429478,,0.704890163931895
ARRDC4,,,0.764295584654866
ART3,0.01916061466623264,,
ASAP2,0.10335119426028518,,
ATG4B,,,1.0
ATL3,0.20670238852057035,,
ATP10A,0.5611439842209073,,0.5112900567446022
ATP11C,0.04119069336460641,,
ATP1B2,0.1410904131667855,,0.12489937247218802
ATP5S,0.4768721211674232,,
ATP7B,0.46969893512895206,,
ATP8A1,,0.1741028202566664,
ATXN1,0.26631242772975056,,0.1777957725094289
B2M,0.01601215685722728,,0.01462305810131897
B3GALNT2,,0.1896364505060157,
B3GAT2,0.02229143405613994,,0.019037566207377527
B3GNT2,0.04387892808945441,,0.024609536804658758
B3GNT9,,,1.0
B4GALT1,,,0.10037083335512655
B4GALT2,,,0.6148032032276406
