,PD wo Tc vs. Ctrl wo Tc,PD with Tc vs. PD wo Tc,PD with Tc vs. Ctrl with Tc,Ctrl with Tc vs. Ctrl wo Tc
A2M,True,True,False,True
ABAT,False,False,True,False
ABCA1,True,False,True,False
ABCA5,True,True,False,False
ABCC1,False,False,True,False
ABI3BP,True,False,False,False
ABRACL,False,True,True,False
ACSS1,True,False,False,True
ADGRG5,False,True,True,False
ADGRL3,True,False,True,False
ADM,False,True,True,False
AGRN,True,False,True,False
AIF1,False,True,True,False
AKR1C2,True,False,False,False
AKR7A2,False,False,True,False
ALDH2,False,True,False,False
ALDH5A1,False,True,False,False
ALDH6A1,False,True,False,False
ALDOC,False,False,True,False
ALOX5AP,False,True,True,True
AMOTL2,True,False,False,False
ANKRD36,False,True,False,False
ANXA11,False,True,True,False
APAF1,True,False,True,False
APLN,False,False,True,False
APOL2,False,True,True,False
APOOL,True,False,True,False
AQP1,False,True,False,True
AQP3,False,True,True,True
ASPH,False,True,True,False
ATG12,True,False,False,False
ATP10A,False,True,True,False
ATP10B,True,False,True,False
ATP11A,True,False,False,False
ATP11C,True,False,True,False
ATP13A3,True,False,False,False
ATP1A2,False,True,False,False
ATP1A4,False,False,False,True
ATP1B1,False,True,False,False
ATP1B3,True,False,False,False
ATP2A2,True,True,False,False
ATP2B2,True,False,True,False
ATP8A1,True,False,True,False
ATP9A,False,True,False,False
ATRNL1,True,False,True,False
AZGP1,False,True,False,False
B2M,False,True,True,True
B3GNT2,False,True,True,False
B4GAT1,False,True,False,False
BACE2,False,False,True,False
BAG1,False,False,True,False
BAK1,False,True,True,False
BGN,False,False,True,False
BNIP3,False,True,True,False
BNIP3L,False,True,False,False
BSPRY,False,True,True,False
BZW2,False,False,True,False
C1QL1,True,False,False,False
C1QTNF3,True,False,True,False
C1orf61,True,False,True,False
C3,False,True,False,True
C3AR1,False,True,True,False
CA10,True,False,True,False
CA2,False,True,False,False
CACNA1A,True,True,True,False
CACNA1E,False,True,True,False
CACNA1G,True,True,True,False
CACNA2D1,True,False,True,False
CACNA2D3,False,True,False,False
CACNB2,True,True,False,False
CACNB4,False,False,True,False
CADM1,True,True,False,False
CADM2,True,False,False,False
CADM3,False,True,True,False
CANX,False,True,False,False
CARD8,False,False,True,False
CARTPT,False,False,False,True
CASK,True,True,True,False
CASP1,False,True,True,True
CBLN1,False,True,True,False
CBLN2,True,False,True,False
CBLN4,True,False,True,False
CCL28,False,True,True,False
CCL4,False,True,True,False
CCL5,False,True,True,True
CD200,True,True,False,False
CD27,False,False,False,True
CD274,False,True,True,True
CD276,False,False,True,False
CD37,False,True,True,True
CD47,True,False,False,False
CD48,False,False,True,False
CD53,False,True,True,True
CD74,False,True,True,True
CD83,True,False,False,False
CD8A,False,True,True,True
CD93,True,True,False,False
CDH12,True,False,True,False
CDH13,False,True,False,False
CDH18,True,True,False,False
CDH6,False,False,True,False
CDV3,True,False,True,False
CEP41,True,False,False,False
CERS2,False,False,True,False
CFLAR,True,True,True,False
CISD3,False,False,True,False
CLCN5,True,False,True,False
CLDN19,True,False,False,False
CLDN5,True,True,True,False
CLIC1,False,True,False,False
CLU,False,True,False,False
CLYBL,True,False,False,False
CMPK2,False,False,True,False
CNN2,True,True,False,False
CNTN1,True,False,True,False
CNTN4,True,False,True,False
CNTNAP5,True,False,True,False
COG3,False,True,False,False
COL11A1,True,True,True,False
COL11A2,False,False,True,False
COL12A1,False,True,True,False
COL5A3,False,True,False,False
