,PD wo Tc vs. Ctrl wo Tc,PD with Tc vs. PD wo Tc,PD with Tc vs. Ctrl with Tc,Ctrl with Tc vs. Ctrl wo Tc
A2M,True,True,False,True
ABCA5,True,True,False,False
ADGRL3,True,False,True,False
AGRN,True,False,False,False
AKR7A2,False,False,True,False
ALDH5A1,False,True,False,False
ALDH6A1,False,True,False,False
ALOX5AP,False,True,False,False
AMOTL2,True,False,False,False
APAF1,False,False,True,False
AQP1,False,True,False,True
AQP3,False,True,True,False
ATP10A,False,True,True,False
ATP10B,False,False,True,False
ATP11C,True,False,True,False
ATP2A2,True,False,False,False
ATP8A1,True,False,True,False
ATP9A,False,True,False,False
ATRNL1,True,False,True,False
B3GNT2,False,True,True,False
B4GAT1,False,True,False,False
C1QL1,True,False,False,False
C1QTNF3,True,False,True,False
C3,False,True,False,True
C3AR1,False,True,True,False
CACNA1E,False,True,False,False
CACNA1G,False,True,True,False
CADM2,True,False,False,False
CANX,False,True,False,False
CASP1,False,True,True,True
CBLN2,True,False,True,False
CBLN4,True,False,True,False
CD74,False,True,True,True
CD8A,False,True,True,False
CDV3,False,False,True,False
CLDN19,True,False,False,False
CLDN5,True,False,False,False
CLU,False,True,False,False
CLYBL,True,False,False,False
CMPK2,False,False,True,False
COL11A1,True,False,False,False
COL5A3,False,True,False,False
CRTAM,False,False,True,False
CTSA,False,True,False,False
CTSC,False,True,False,True
CTSS,False,False,False,True
CYP26B1,True,False,True,False
DNAJB9,False,True,False,False
DYNLT3,False,False,True,False
ECHDC2,False,False,True,False
ERO1A,False,True,False,False
FKBP4,True,False,True,False
FKBP5,False,True,False,False
FLOT2,False,True,False,False
FLRT3,False,False,True,False
FRAS1,True,False,True,False
FXYD5,False,True,True,True
FZD1,True,False,False,False
FZD5,False,False,True,False
FZD7,False,False,False,True
GK,True,False,False,False
GLB1L2,True,True,False,False
GLRX,False,True,False,False
GLRX3,False,False,True,False
HLA-A,False,True,False,True
HLA-C,False,True,False,True
HLA-DMA,False,True,False,True
HLA-DMB,False,True,False,True
HLA-DPA1,False,True,False,True
HLA-DPB1,False,True,True,False
HLA-DRA,False,True,False,True
HLA-E,False,True,True,True
HLA-F,False,True,True,False
HOOK1,False,True,False,False
HRK,False,False,True,False
HSP90B1,False,True,False,False
HTR3A,True,False,True,False
IDH1,False,True,False,False
IDS,False,True,False,False
IFI44,False,True,True,False
IFI44L,False,True,True,True
ISLR2,True,False,True,False
LGALS8,True,False,True,False
LMAN1,False,True,False,False
LNX1,True,False,True,False
LPAR1,True,False,True,False
LPAR6,False,False,True,False
LRRC4C,True,False,True,False
LRRC8C,False,True,False,False
MAN1C1,False,True,True,False
MR1,False,True,True,False
MX1,False,False,True,False
MYORG,True,False,False,False
NELL1,True,False,False,False
NPTX1,True,False,True,True
NRN1,False,False,True,False
NRXN1,False,True,True,False
NRXN2,False,False,True,False
NRXN3,True,False,True,False
NXPH1,True,False,True,False
P4HB,False,True,True,False
PDIA2,True,False,True,False
PDK3,True,False,False,False
PIGP,True,False,False,False
PLS3,False,False,True,False
PLXDC2,False,True,False,False
PPIL3,True,False,True,False
PPP1CA,False,True,False,False
PRNP,False,False,True,False
RGMA,False,True,False,False
ROBO1,True,False,True,False
ROBO2,True,False,False,False
RSAD2,False,True,True,False
RTN1,False,True,False,False
RYR3,True,False,False,False
SCN2A,False,True,False,False
SH3BGRL3,False,True,False,False
SLC35E1,False,True,False,False
SLC6A15,True,False,False,False
SLIT3,False,True,True,False
SLITRK5,True,False,True,False
SRGN,False,False,True,False
ST8SIA3,True,False,True,False
TAGLN2,True,False,False,False
TAP1,False,True,True,True
TAP2,False,True,False,False
TLR4,False,False,True,False
TMX4,True,False,True,False
TNF,False,True,False,False
TNFSF10,False,True,True,False
TRIM25,False,True,True,False
TRPC3,False,False,True,False
TRPV2,False,True,True,False
TSC22D4,False,True,False,False
TXN,True,False,False,False
UBC,False,True,False,False
VKORC1,False,False,True,False
WASHC2C,False,True,True,False
WNT3,False,False,True,False
WNT7B,False,False,True,False
XBP1,False,True,False,False
