,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.037895437895437895,,0.03290188072796769
ABCA5,,,1.0
ABCB1,0.13498374975947536,,0.13917117365393228
ABCD4,,,0.868517709835075
ABHD14B,,,1.0
ABI3,0.24931209141735458,,0.23108410863512904
ABI3BP,0.037895437895437895,,0.03290188072796769
ABL1,0.13654230886606863,0.1837574190515367,
ABLIM1,,,0.4974148658359185
ACAP3,,,0.8084270469591571
ACBD4,1.0,,
ACSL5,0.037895437895437895,,0.03290188072796769
ACTA2,0.06794002809939066,,0.05982160132357761
ACTB,,1.0,
ACTN4,0.4596262413793719,,0.4127690491326855
ACVR2B,,,0.03290188072796769
ADA2,0.3066228377431697,,0.31349309127086905
ADAM19,0.9687913202557554,,
ADAM33,0.14102859166150306,0.1837574190515367,
ADAM9,,,0.10746649799904238
ADAMTS1,,0.07072927072927074,
ADAMTS14,,0.4492264492264492,
ADAMTS4,0.5244050269867825,,0.4682008638843171
ADAMTS7,0.5868871388351908,,
ADAMTS9,0.06158008658008658,,
ADAMTSL4,,,0.38732860229981153
ADAR,0.8704108391608392,,0.8311141745792201
ADCY7,0.25345650020974697,,0.18454229855655035
ADD3,,,1.0
ADGRA2,,,0.183452910725638
ADGRA3,0.04159255378767574,0.054407131330208254,
ADGRG5,0.09978735997544776,,0.08703756307590173
ADM,0.037895437895437895,,
ADM2,,0.38847516120243397,
ADORA2B,0.04089435744112003,,0.03967942170189361
AEBP1,,,0.03290188072796769
AFF2,0.07376592872776079,,0.0684672470386756
AGAP9,1.0,,
AGFG2,1.0,,
AGMAT,1.0,,1.0
AGO1,1.0,,
AGPAT2,,,1.0
AGT,,,0.04473359153162109
AHNAK,1.0,,1.0
AHRR,1.0,,1.0
AIF1,0.04089435744112003,,0.0366905821451276
AKAP10,0.9823380502992153,,0.9256525185728726
AKAP11,,1.0,
AKAP12,,,1.0
AKAP7,1.0,,
AKAP8L,,1.0,1.0
AKNA,1.0,,1.0
ALDH1A3,,,1.0
ALDH1L1,1.0,,1.0
ALDOA,1.0,,
ALDOC,1.0,,
ALG13,1.0,,1.0
ALG8,,0.5475814508072573,
ALKBH5,1.0,,
ALOX5AP,0.04089435744112003,0.054407131330208254,0.0366905821451276
AMOT,1.0,,1.0
AMPD3,1.0,,1.0
ANGPT1,,,0.04692981437167484
ANGPTL2,,0.2241865277579563,0.17948397756090065
ANGPTL4,,,0.18799596629785312
ANKRD13B,1.0,,1.0
ANKRD28,1.0,,1.0
ANKRD29,,,0.6268482348216567
ANKRD37,0.45143199241559895,,0.43403523850451226
ANO6,,0.5439234678365112,
ANO8,,,0.06233149090291947
ANTXR1,0.04159255378767574,0.054407131330208254,
ANXA1,0.578766687857597,,0.5071460938361114
ANXA11,1.0,,1.0
ANXA2,0.32384746727376207,,0.2769358301273195
ANXA3,,0.8888948888948889,
