,PD wo Tc vs. Ctrl wo Tc,PD with Tc vs. PD wo Tc,PD with Tc vs. Ctrl with Tc,Ctrl with Tc vs. Ctrl wo Tc
A2M,False,True,False,True
ACSL3,False,True,False,False
ACSL4,False,False,True,False
ACSL5,False,True,True,True
ACSL6,False,False,True,False
ACTA2,False,False,True,False
ADA,False,False,False,True
ADAM17,False,False,True,False
ADAM19,False,False,True,False
ADAMTS12,False,True,False,False
ADCYAP1R1,False,True,True,False
ADM,False,True,False,False
AIF1,False,True,True,False
ALOX5AP,False,True,True,True
AOAH,False,True,False,False
APAF1,False,False,True,False
APLP1,False,True,False,False
APMAP,False,True,False,False
APOL3,False,True,True,True
APOL6,False,True,True,True
AQP3,False,False,False,True
ARHGDIB,False,True,True,True
AZGP1,False,True,False,False
B2M,False,True,True,True
BCAN,False,True,False,False
BCL6,False,True,False,True
BOC,False,True,False,False
BST2,False,True,True,True
BTN2A2,False,True,False,True
BTN3A1,False,False,False,True
BTN3A2,False,True,False,True
BTNL9,False,False,True,False
C1QTNF3,False,False,True,False
C1R,False,True,False,True
C1S,False,True,False,True
C3,False,True,False,True
C3AR1,False,True,True,False
CADM1,False,True,False,False
CADM3,False,True,True,False
CARD8,False,True,True,False
CASP1,False,True,True,True
CASP10,False,True,False,False
CBLN2,False,False,True,False
CCL2,False,True,True,True
CCL28,False,True,True,False
CCL4,False,True,True,False
CCL5,False,True,True,True
CCR2,False,True,True,False
CCR5,False,True,True,False
CD2,False,True,True,True
CD27,False,True,True,True
CD274,False,True,True,True
CD276,False,False,True,False
CD300A,False,True,True,False
CD37,False,True,True,True
CD3E,False,True,True,True
CD4,False,True,True,False
CD44,False,True,False,True
CD48,False,True,True,True
CD53,False,True,True,True
CD74,False,True,True,True
CD82,False,False,True,False
CD84,False,True,True,True
CD8A,False,True,True,True
CD93,False,True,False,False
CDH13,False,True,False,False
CDON,False,True,True,False
CFB,False,False,False,True
CFLAR,False,True,True,False
CHI3L2,False,True,False,False
CISH,False,True,False,True
CLDN5,False,True,False,False
CLEC2B,False,True,True,True
CNTFR,False,False,True,False
COL12A1,False,True,True,False
COL1A1,False,True,True,False
COL5A1,False,True,False,False
CORO1A,False,True,True,False
CRB1,False,False,True,False
CRH,False,True,True,False
CRTAM,False,True,True,False
CSAD,False,False,True,False
CSF1,False,True,False,True
CTGF,False,False,True,True
CTSB,False,False,True,False
CTSC,False,True,False,True
CTSS,False,True,True,True
CXADR,False,False,True,False
CXCL10,False,True,True,True
CXCL12,False,True,True,False
CXCL8,False,True,True,False
CXCL9,False,True,True,True
CXCR4,False,True,True,False
CYBA,False,True,False,False
DCC,False,False,True,False
DDX58,False,True,False,False
EDNRB,False,True,False,False
ELF1,False,True,True,False
EMP3,False,False,True,False
ENPP2,False,True,False,False
ERBB2,False,False,True,False
EVI2A,False,True,False,True
EVI2B,False,True,True,True
F3,False,True,False,True
FAS,False,False,True,False
FASLG,False,True,True,False
FOLR1,False,False,True,False
