,PD wo Tc vs. Ctrl wo Tc,PD with Tc vs. PD wo Tc,PD with Tc vs. Ctrl with Tc,Ctrl with Tc vs. Ctrl wo Tc
A2M,True,True,False,True
ABI3BP,True,False,False,False
ACSL3,False,True,False,False
ACSL4,True,False,True,False
ACSL5,False,True,True,True
ACSL6,False,False,True,False
ADAMTS9,True,False,False,False
ADCYAP1R1,False,True,True,False
ADM,False,True,True,False
ADRA2A,True,False,True,False
AGRN,True,False,True,False
AIF1,False,True,True,False
ALOX5AP,False,True,True,True
AMOTL2,True,False,False,False
APC2,True,False,True,False
APLP1,False,True,False,False
APOL3,False,False,False,True
ARHGDIB,False,False,False,True
ARX,True,False,False,False
B2M,False,False,True,True
BARHL1,True,False,True,False
BCAN,False,True,False,False
BDNF,True,False,False,False
BMP2,True,False,False,False
BMP7,True,True,False,False
BMPR1B,False,True,False,False
BOC,True,True,True,False
BRS3,True,False,True,False
BST2,False,True,True,True
BTN2A2,False,False,False,True
BTN3A1,False,False,False,True
BTN3A2,False,False,False,True
BTNL9,True,False,True,False
C1R,True,True,False,True
C1S,False,True,False,True
C1orf61,False,False,True,False
C3,False,True,False,True
C3AR1,False,True,True,False
C3orf58,False,True,False,True
CADM1,True,True,False,False
CADM2,True,False,False,False
CADM3,False,True,True,False
CARD8,False,True,True,False
CARTPT,True,False,False,True
CASP1,False,True,True,True
CBLN1,False,True,True,False
CBLN2,True,False,True,False
CBLN4,True,False,True,False
CCDC80,False,True,False,False
CCK,True,False,True,False
CCL2,True,True,True,True
CCL28,False,True,True,False
CCL4,False,True,True,False
CCL5,False,True,True,True
CCR2,False,True,True,False
CCR5,False,True,True,False
CD2,False,True,True,True
CD200,True,True,False,False
CD27,False,False,True,True
CD274,False,True,True,True
CD276,False,False,True,False
CD37,False,True,True,True
CD3E,False,True,True,True
CD4,False,True,True,False
CD44,False,False,False,True
CD47,True,False,False,False
CD48,False,True,True,True
CD53,False,True,True,True
CD74,False,True,True,True
CD83,True,False,False,False
CD84,False,True,True,True
CD8A,False,True,True,True
CDH12,True,False,True,False
CDH13,False,True,False,False
CDH18,True,True,False,False
CDH19,False,True,False,False
CDH4,True,True,True,False
CDH6,False,False,True,False
CDH8,True,False,True,False
CDON,False,True,True,False
CER1,True,False,False,False
CERS2,False,False,True,False
CFB,False,False,False,True
CHRD,True,False,True,False
CISH,False,True,False,True
CLEC2B,False,False,False,True
CLSTN1,False,True,True,False
CLU,False,True,False,False
CNMD,False,True,False,False
CNR1,True,False,False,False
CNTFR,True,False,True,False
CNTN1,True,False,True,False
CNTN2,True,True,True,False
CNTN3,False,True,False,True
CNTN4,True,False,True,False
CNTN6,True,False,False,False
CNTNAP1,False,True,False,False
COL12A1,False,True,True,False
COL1A1,True,True,True,False
COL5A1,False,True,False,False
CPE,False,False,False,True
CRB1,True,False,True,False
CRH,False,True,True,False
CRIM1,False,True,False,False
CRTAM,False,True,True,False
CSF1,False,False,False,True
CTGF,True,False,True,True
CTSB,False,False,True,False
CTSC,False,False,False,True
CTSS,False,True,True,True
CXADR,False,False,True,False
CXCL10,False,True,True,True
CXCL12,False,True,True,False
CXCL14,True,False,True,False
CXCL8,False,True,True,False
CXCL9,False,True,True,True
CXCR4,False,True,True,False
CYP26B1,False,False,True,False
DAB1,False,False,True,False
DCC,False,False,True,False
DCN,False,True,False,False
