,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.034719127026819334,,0.03209055095847549
ABCB1,0.13406395584613406,,0.12324631889849282
ABCD4,,,0.8303901980372569
ABHD14B,,,1.0
ABI3,0.17754915891561854,,0.17766310122998022
ABI3BP,0.03008991008991009,,0.03127906576182438
ACAP3,,,0.7640957768346303
ACSL5,0.03008991008991009,,0.03127906576182438
ACTA2,0.05286065286065286,,0.055254390279770985
ACTN4,,,0.3374954027695542
ADA2,0.26475758877993516,,0.23870865976129135
ADAM19,0.9113770844540074,,
ADAM9,,,0.09835947185344776
ADAMTS14,,0.3667443667443668,
ADAMTS4,0.4669123979468807,,0.43805950147413564
ADAMTSL4,,,0.3320821658552529
ADAR,0.7583020601129254,,
ADCY7,0.20453866375316526,,0.21042921042921042
ADGRA2,,,0.17062680085188123
ADGRA3,0.03008991008991009,,
ADGRG5,0.07585691619305064,,
ADM,0.031020525865886692,,
AEBP1,,,0.03127906576182438
AFF2,0.04959875289545619,,
AGO1,1.0,,
AGT,,,0.03127906576182438
AHNAK,0.9598624437943909,,
AHRR,1.0,,1.0
AKAP10,0.9067792672443836,,
AKAP11,,1.0,
AKAP12,,,1.0
AKAP8L,,,1.0
AKNA,,,1.0
ALDH1A3,,,1.0
ALDH1L1,1.0,,1.0
ALDOA,1.0,,
ALDOC,1.0,,
ALG13,1.0,,
ALG8,,0.4580419580419581,
ALKBH5,1.0,,
ALOX5AP,0.031343656343656344,,0.047464163743233506
AMOT,1.0,,
AMPD3,1.0,,1.0
ANGPTL2,,0.1888111888111888,
ANGPTL4,,,0.15318456378059028
ANKRD13B,,,1.0
ANKRD28,,,1.0
ANKRD37,0.40591586631190596,,0.40785334068916157
ANTXR1,0.03857680780757704,0.0508582326764145,
ANXA1,0.5032042787144828,,0.4719921227098261
ANXA11,1.0,,1.0
ANXA2,,,0.25944394588462383
ANXA6,,,0.5972391663635903
AOAH,0.09615196833241946,,0.09640157413436767
AP1S2,1.0,,1.0
APBB1IP,0.6413394298009683,,0.6105830388290525
APOBEC3C,0.3529777914393299,,0.32090550958475483
APOBEC3F,0.7178414101491025,,0.6818416482846014
APOD,,,0.2912971006893659
APOL2,0.2514656771799629,,
