,PD wo Tc vs. Ctrl wo Tc,PD with Tc vs. PD wo Tc,PD with Tc vs. Ctrl with Tc,Ctrl with Tc vs. Ctrl wo Tc
A2M,True,True,False,True
ACSL3,False,True,False,False
ACSL5,False,True,True,True
ACSL6,False,False,True,False
ACSS3,True,False,True,False
ADA2,False,True,False,False
ADAM19,True,False,True,False
ADAMTS12,False,True,False,False
ADAMTS9,True,False,False,False
ADCYAP1R1,False,True,True,False
ADGRG5,False,True,True,False
ADM,False,True,True,False
AGA,False,False,True,False
AIF1,False,True,True,False
AIFM1,True,False,True,False
AKR1B1,True,False,True,False
AKR1C1,True,False,False,False
AKR1C2,True,False,False,False
AKR7A2,False,False,True,False
ALDH2,False,True,False,False
ALOX5AP,False,True,True,True
ANXA1,False,True,True,False
APAF1,True,False,True,False
APBB2,True,False,False,False
APCDD1,True,False,True,False
APLP2,False,True,False,False
APOL3,False,True,True,True
APOL6,False,True,True,True
APOO,True,False,True,False
APOOL,True,False,True,False
AQP1,False,True,False,True
AQP3,False,True,True,True
ARHGDIB,False,True,False,True
ARID5B,False,True,False,False
ASAH1,True,True,False,False
ASS1,False,True,False,False
ATF3,True,True,False,False
ATG12,True,False,False,False
ATMIN,True,False,False,False
ATP6AP1,False,True,False,False
ATP6AP2,True,True,True,False
ATP6V0D2,True,False,False,False
ATP6V1A,True,True,False,False
ATP6V1B2,True,False,True,False
ATP6V1C1,True,False,False,False
B3GNT2,False,True,True,False
B3GNT9,False,False,True,False
BAG1,False,False,True,False
BAK1,False,True,True,False
BATF3,False,True,False,True
BCL6,False,True,True,True
BEX3,True,False,True,False
BIRC7,True,False,False,False
BLM,False,True,True,False
BNIP3,False,True,True,False
BNIP3L,False,True,False,False
BOC,True,True,True,False
BSPRY,False,True,True,False
BST2,False,True,True,False
C1R,True,True,False,True
C1S,False,True,False,True
CACNA1E,False,True,True,False
CACNA1G,True,True,True,False
CANX,False,True,False,False
CARD8,False,True,True,False
CARMIL3,False,False,True,False
CARTPT,True,False,False,True
CASP1,False,True,True,True
CASP10,False,True,False,False
CASP7,False,True,False,False
CAV2,False,False,True,False
CCDC80,False,True,False,False
CCL2,True,True,True,True
CCL28,False,True,True,False
CCL4,False,True,True,False
CCL5,False,True,True,True
CCNA2,False,False,True,False
CCNB1,False,True,True,False
CCR2,False,True,True,False
CCR5,False,True,True,False
CD27,False,True,True,True
CD37,False,True,True,True
CD44,True,True,False,True
CD48,False,False,True,True
CD53,False,True,True,True
CD74,False,True,True,True
CD9,False,False,True,False
CDKN1A,True,False,False,True
CDKN1C,False,False,False,True
CDON,False,False,True,False
CEBPA,False,False,True,False
CEBPD,False,True,False,False
CERS2,False,False,True,False
CFLAR,True,True,True,False
CHI3L2,False,True,False,False
CIDEB,False,True,True,False
CLIC1,False,True,True,False
CLU,False,True,False,False
CMTM6,False,False,True,False
CNTFR,True,False,True,False
COL1A1,True,True,True,False
COX17,True,False,False,False
CRB1,True,False,True,False
CRH,False,True,True,False
CSMD2,True,True,True,False
CTGF,True,False,True,True
CTSB,True,False,True,False
CTSC,True,True,False,True
CTSK,False,False,True,False
CTSO,False,True,False,False
CTSS,False,True,True,True
CTSZ,False,True,True,False
CXCL10,False,True,True,True
CXCL8,False,True,True,False
CXCL9,False,True,True,True
CXorf56,True,False,True,False
CYBA,False,True,False,False
CYP26B1,True,False,True,False
CYP27A1,True,False,True,False
DDAH1,False,True,False,False
DDB2,True,True,False,False
DDIT3,True,False,True,False
DDIT4,False,True,False,False
DDX11,True,False,False,False
DDX58,False,True,False,False
DEPP1,True,True,True,True
DEPTOR,False,False,True,False
DERL3,False,False,True,False
DHCR7,False,True,True,False
