,PD wo Tc vs. Ctrl wo Tc,PD with Tc vs. PD wo Tc,PD with Tc vs. Ctrl with Tc,Ctrl with Tc vs. Ctrl wo Tc
A2M,True,True,False,True
ABCA8,True,True,True,True
ABI3,False,True,True,False
ABI3BP,True,False,False,False
ACKR3,True,True,False,False
ACTA2,False,False,True,False
ACTN1,False,True,False,False
ACTN4,False,True,True,False
ADAM17,True,False,True,False
ADAM19,True,False,True,False
ADAMTS12,False,True,False,False
ADAMTS4,False,False,True,False
ADAMTS9,True,False,False,False
ADCY2,False,True,False,False
ADCY8,True,False,True,False
ADCYAP1R1,False,True,True,False
ADD2,False,False,True,False
ADGRB1,True,False,False,False
ADM,False,True,True,False
AFAP1L2,False,True,False,False
AFDN,False,True,True,False
AFF3,True,False,True,False
AGAP2,True,False,True,False
AGRN,True,False,True,False
AIF1,False,True,True,False
AKR1C1,True,False,False,False
ALCAM,False,True,False,False
ALOX5AP,False,True,True,True
ALS2CL,True,True,False,False
AMIGO2,True,False,False,False
AMMECR1,True,False,True,False
ANGPT1,False,True,False,False
ANGPTL2,False,True,False,False
ANK1,True,False,False,False
ANKRD46,False,True,False,False
ANTXR2,False,False,True,False
ANXA1,False,True,True,False
AOAH,False,True,True,False
AP1AR,True,False,False,False
APBA1,False,True,True,False
APBB2,True,False,False,False
APC2,True,False,True,False
APLP1,False,True,False,False
APOBEC3F,False,True,False,False
APOL3,False,True,True,True
ARAP1,True,False,True,False
ARHGAP30,False,True,True,True
ARHGAP33,False,False,True,False
ARHGAP9,False,True,True,True
ARHGDIB,False,True,True,True
ARHGEF1,True,True,True,False
ARPC5L,False,True,False,False
ART3,False,False,False,True
ARX,True,False,False,False
ASAP1,False,False,True,False
ASTN1,True,False,True,False
ATP11C,True,False,True,False
ATP1A2,False,True,False,False
ATP2B2,True,False,True,False
AZGP1,False,True,False,False
B2M,False,True,True,True
B3GAT1,False,False,True,False
B3GNT2,False,True,True,False
B4GALT1,False,True,True,False
B4GAT1,False,True,False,False
BCAN,False,True,False,False
BDNF,True,False,False,False
BGN,False,False,True,False
BMP2,True,False,False,False
BMP7,True,True,False,False
BMPR1B,False,True,False,False
BOC,True,True,True,False
BRINP3,True,False,False,False
BST2,False,True,True,True
BTN2A2,False,True,False,True
BTN3A1,False,True,False,True
BTN3A2,False,True,False,True
BTNL9,True,False,True,False
C1QL1,True,False,False,False
C1QTNF3,True,False,True,False
C1R,True,True,False,True
C1S,False,True,False,True
C1orf61,True,False,True,False
C3,False,True,False,True
C3AR1,False,True,True,False
CA12,True,False,True,False
CACNA1A,True,False,True,False
CACNA2D4,True,False,False,False
CADM1,True,True,False,False
CADM2,True,False,False,False
CADM3,False,True,True,False
CANX,False,True,False,False
CAP2,True,False,True,False
CARMIL3,False,False,True,False
CARTPT,True,False,False,True
CASK,True,True,True,False
CASP1,False,True,True,True
CAV2,False,False,True,False
CBLB,True,False,False,False
CBLN1,False,True,True,False
CBLN2,True,False,True,False
CBLN4,True,False,True,False
CCDC80,False,True,False,False
CCL2,True,True,True,True
CCL28,False,True,True,False
CCL4,False,True,True,False
CCL5,False,True,True,True
CCM2,False,False,True,False
CCR2,False,True,True,False
CCR5,False,True,True,False
CD109,False,True,False,False
CD2,False,True,True,True
CD200,True,True,False,False
CD27,False,True,True,True
CD274,False,True,True,True
