,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.14828649611258307,,0.08408258408258408
ABCA5,,,0.16450940363983843
ABCB1,1.0,,1.0
ABCD4,,,0.7383278860358657
ABHD14B,,,0.932142610562921
ABI3,1.0,,1.0
ABI3BP,0.27628944760418866,,0.2876509455456824
ABL1,1.0,1.0,
ABLIM1,,,1.0
ACAP3,,,1.0
ACBD4,0.9489390391029735,,
ACSL5,0.4569474109425683,,0.42041292041292044
ACTA2,0.8809879579110349,,0.8489546707069365
ACTB,,0.9379316335838075,
ACTN4,1.0,,1.0
ACVR2B,,,0.9815354713313897
ADA2,0.8966807840047276,,0.8270927839494865
ADAM19,0.8312367101141105,,
ADAM33,0.19193793219767247,0.15062715062715062,
ADAM9,,,0.9439859860027928
ADAMTS1,,0.15062715062715062,
ADAMTS14,,0.6007969303423848,
ADAMTS4,0.7144422620997742,,0.7212092255570517
ADAMTS7,0.6265194659355243,,
ADAMTS9,0.22631997631997636,,
ADAMTSL4,,,0.7154343913925796
ADAR,1.0,,1.0
ADCY7,0.7854690763781672,,0.747958509152539
ADD3,,,0.9323587804600463
ADGRA2,,,0.7423048332139242
ADGRA3,0.40556634376859096,0.3567485146432515,
ADGRG5,0.14909680483450974,,0.13019238825690438
ADM,0.16032685263454494,,
ADM2,,1.0,
ADORA2B,0.6128072670823601,,0.5929122423967785
AEBP1,,,0.6283536822458978
AFF2,1.0,,1.0
AGAP9,0.6013523156380299,,
AGFG2,1.0,,
AGMAT,0.15987137862137865,,0.12107892107892107
AGO1,1.0,,
AGPAT2,,,0.7423048332139242
AGT,,,0.7826148210763596
AHNAK,0.46446664973980895,,0.4739570357003771
AHRR,1.0,,1.0
AIF1,0.20422691081373717,,0.20050462358154666
AKAP10,0.23879317030001962,,0.27035165791146654
AKAP11,,0.4041672613101185,
AKAP12,,,0.36083122175837407
AKAP7,1.0,,
AKAP8L,,0.9521247982786444,0.8925689694920463
AKNA,1.0,,1.0
ALDH1A3,,,0.10089910089910091
ALDH1L1,0.14909680483450974,,0.10620957989379043
ALDOA,0.3548171573649281,,
ALDOC,0.3078149287535569,,
ALG13,0.3372693972693973,,0.2962569345548069
ALG8,,0.19949281487743029,
ALKBH5,0.5380016129480798,,
ALOX5AP,0.17895067895067898,0.15062715062715062,0.15931436984068564
AMOT,1.0,,1.0
AMPD3,0.29805400591917447,,0.2962569345548069
ANGPT1,,,0.609851995394164
ANGPTL2,,1.0,1.0
ANGPTL4,,,0.20050462358154666
ANKRD13B,0.9653470694859214,,0.932034067627288
ANKRD28,1.0,,0.9530912300995404
ANKRD29,,,0.82920152044576
ANKRD37,1.0,,1.0
ANO6,,0.15062715062715062,
ANO8,,,0.35403193297930147
ANTXR1,0.17895067895067898,0.1496196111580727,
ANXA1,0.6714359466037318,,0.6385021228771228
ANXA11,0.1749020210558672,,0.1742802651893561
ANXA2,1.0,,1.0
ANXA3,,0.9646207451085499,
ANXA6,,,0.6454431887957899
AOAH,0.4717054507264298,,0.4282956626706627
AP1S2,1.0,,1.0
AP3B2,,,1.0
APBB1IP,1.0,,1.0
APOBEC3C,0.8809879579110349,,0.8487125582435717
APOBEC3F,1.0,,1.0
APOD,,,0.1742802651893561
APOL2,0.21841212974217902,,
APOL3,0.2853131424559996,,0.3083028083028083
APOL6,0.6013523156380299,,0.5639114632690649
APRT,,,0.6595080896756874
AQP3,0.11368631368631367,,0.08408258408258408
ARAP1,,,1.0
ARAP2,1.0,,1.0
ARF6,1.0,,1.0
ARHGAP27,1.0,,
ARHGAP30,0.6702115452115452,,0.660157686179991
ARHGAP9,1.0,,1.0
ARHGDIA,,,1.0
ARHGDIB,0.41509444234239873,,0.38304288304288303
ARHGEF1,1.0,,1.0
ARHGEF26,1.0,,1.0
ARHGEF3,,,1.0
ARHGEF40,1.0,1.0,
ARHGEF6,1.0,,1.0
ARL4C,1.0,,
ARL4D,1.0,,1.0
ARMCX4,0.7904885461446548,,0.7802647513258446
ARPC2,1.0,,
ARPC5,0.6058988092886397,,
ARPIN,0.6783283383283384,,
ARPP21,1.0,,
ARRB1,,,0.8760700377466845
ARRDC2,0.8791524114336166,,0.8323791885435721
ARRDC4,,,0.8760700377466845
ART3,0.626601405775553,,
ASAP2,1.0,,
ATG4B,,,0.17858247946743522
ATL3,0.1749020210558672,,
ATP10A,0.11368631368631367,,0.08408258408258408
ATP11C,0.11368631368631367,,
ATP1B2,0.6311411008919906,,0.6062165939966347
ATP5S,0.6787521688837478,,
ATP7B,0.14828649611258307,,
ATP8A1,,0.1375291375291375,
ATXN1,1.0,,1.0
B2M,0.17895067895067898,,0.18498168498168502
B3GALNT2,,0.4970164970164971,
B3GAT2,0.6535495485581544,,0.6652687971369289
B3GNT2,0.14909680483450974,,0.13019238825690438
B3GNT9,,,0.3140828043551779
B4GALT1,,,0.3083028083028083
B4GALT2,,,0.16450940363983843
BACE2,,,0.18565434565434566
BACH2,0.886203412519202,,
BAMBI,,0.25681461395747107,0.27035165791146654
BATF3,0.48759367043791424,,0.47135346405419404
BBIP1,,,0.6499867174024477
BBS2,,,0.36571842397085114
BCAM,0.14909680483450974,,
BCL6,0.6714359466037318,,0.6493131633844579
BDKRB2,,,0.26872624862574607
BEND7,0.41425423891177315,,
BET1L,,,0.2397050463348806
BGN,,,0.19914296230085707
BHLHE22,1.0,,1.0
BHLHE40,1.0,,1.0
BLVRB,,,0.6298671507419022
BMP1,,0.4041672613101185,
BMP7,0.8032925158673663,,
BNC2,,,0.1910967820058729
BNIP3,0.22631997631997636,,
BOC,,0.31226220587922715,0.3083028083028083
BRSK2,,,1.0
BST2,0.44461479114944463,,0.42512154512154515
BTBD1,0.6787521688837478,,
BTBD11,0.7375219716991869,,0.7214547110920169
BTG2,,,0.3996284614262143
BTN2A1,0.33880027257510703,,0.3083028083028083
BTN2A2,0.41705577031663993,,0.3912414116495749
BTN3A1,0.8657902790850768,,0.8197074243585872
BTN3A2,0.3857823857823858,,0.3461502001647987
C15orf39,1.0,,
C15orf40,,,1.0
C1D,1.0,,
C1QL1,0.13374860433683963,,0.10089910089910091
C1R,0.578725097839786,,0.49866992130271576
C1S,,,0.581629114686966
C1orf226,1.0,,
C3,0.17185140440954397,,0.13019238825690438
C3AR1,0.13374860433683963,,
C4orf3,0.9648878564541216,,
C9orf64,0.7845223478811264,,0.7387866370917219
CABIN1,1.0,,1.0
CACHD1,0.9958568563219727,,
CACNA1I,,0.1375291375291375,
CACNG5,0.7507922437499902,,0.7383278860358657
CAD,0.7854690763781672,,
CADPS,1.0,,1.0
CALHM2,0.3800958078066512,,0.35403193297930147
CAMK2N1,1.0,,
CANT1,,,0.5593319723754505
CAP1,0.9558930865053314,,0.9310432057213175
CAPG,0.966710111080972,,0.9311545597259884
CAPRIN2,,,0.12107892107892107
CAPZB,,,0.5777624864761794
CARMIL2,1.0,,0.9575686021967014
CASK,0.16032685263454494,,0.15931436984068564
CASP1,0.14909680483450974,,0.13019238825690438
CASP10,0.45801680334054434,,0.3912414116495749
CASP7,0.6128072670823601,,0.5648624879394111
CAST,0.33641868335745884,,0.36083122175837407
CAVIN1,,,1.0
CBFB,,,1.0
CBLN4,,,0.10089910089910091
CBS,0.43040510403434684,,
CBX7,0.28421578421578425,,
CCDC112,,,0.3083028083028083
CCDC33,,,0.932034067627288
CCDC80,,,0.9532456493782461
CCDC85C,0.8547341058354275,0.8876173331618876,
CCL19,0.5176566353036942,,0.45204795204795206
CCL2,0.3078149287535569,,0.35403193297930147
CCL28,0.2262950319822358,,
CCL4,0.19193793219767247,,
