,PD wo Tc vs. Ctrl wo Tc,PD with Tc vs. PD wo Tc,PD with Tc vs. Ctrl with Tc,Ctrl with Tc vs. Ctrl wo Tc
A2M,True,True,False,True
ABI3BP,True,False,False,False
ACKR3,True,True,False,False
ACSL4,True,False,True,False
ACSL5,False,True,True,True
ACSL6,False,False,True,False
ACTA2,False,False,True,False
ADA,True,False,False,True
ADAM17,True,False,False,False
ADAM19,False,False,True,False
ADAMTS12,False,True,False,False
ADAMTS9,True,False,False,False
ADCY1,False,False,True,False
ADCYAP1R1,False,False,True,False
ADM,False,True,True,False
AIF1,False,True,True,False
ALOX5AP,False,True,True,True
AOAH,False,True,True,False
APAF1,True,False,True,False
APLP1,False,True,False,False
APOL3,False,True,True,True
APOL6,False,True,True,True
ARHGDIB,False,True,True,True
B2M,False,True,True,True
BCAN,False,True,False,False
BCL6,False,True,False,True
BIRC7,True,False,False,False
BOC,True,True,True,False
BRS3,False,False,True,False
BST2,False,True,True,True
BTN2A2,False,True,False,True
BTN3A1,False,True,False,True
BTN3A2,False,True,False,True
BTNL9,True,False,True,False
C1QL1,True,False,False,False
C1QTNF3,True,False,True,False
C1R,False,True,False,True
C3,False,True,False,True
C3AR1,False,True,True,False
CADM1,True,False,False,False
CADM3,False,True,True,False
CARD8,False,True,True,False
CASP1,False,True,True,True
CBLN2,True,False,True,False
CBLN4,True,False,False,False
CCL2,False,True,True,True
CCL28,False,True,True,False
CCL4,False,True,False,False
CCL5,False,True,True,True
CCR2,False,True,False,False
CCR5,False,True,True,False
CD2,False,True,True,True
CD27,False,True,True,True
CD274,False,True,False,True
CD276,False,False,True,False
CD300A,False,True,True,False
CD37,False,True,True,True
CD3E,False,True,True,True
CD4,False,True,True,False
CD44,False,True,False,False
CD48,False,True,True,True
CD53,False,True,True,True
CD74,False,True,True,True
CD82,True,False,True,False
CD83,True,False,False,False
CD84,False,True,True,True
CD8A,False,True,True,True
CD9,False,False,True,False
CD93,True,True,False,False
CDON,False,True,True,False
CFLAR,True,True,True,False
CHI3L2,False,True,False,False
CHST3,True,False,False,False
CISH,False,True,False,False
CLDN5,True,False,True,False
CLEC2B,False,True,True,True
CLIC1,False,True,True,False
CNTFR,False,False,True,False
CNTN4,True,False,False,False
COL12A1,False,True,True,False
COL1A1,False,True,True,False
COL5A1,False,True,False,False
CORO1A,False,True,True,False
CRB1,True,False,False,False
CRH,False,True,True,False
CRTAM,False,False,True,False
CSAD,False,False,True,False
CTGF,True,False,False,True
CTSB,True,False,False,False
CTSC,False,True,False,True
CTSS,False,True,True,True
CXCL10,False,True,True,True
CXCL12,False,True,False,False
CXCL8,False,True,True,False
CXCL9,False,True,True,True
CXCR4,False,True,False,False
CXorf56,True,False,False,False
CYBA,False,True,False,False
DDX58,False,True,False,False
DSCAM,True,False,False,False
EDNRB,False,True,False,False
ELF1,False,True,True,False
ENPP2,False,True,False,False
ENPP4,False,True,False,False
ERBB2,True,False,True,False
EVI2A,False,True,True,True
EVI2B,False,True,True,True
F3,False,True,False,True
FASLG,False,True,True,False
FGFR1,True,False,False,False
FOLR1,True,False,True,False
FOS,False,True,False,True
FURIN,False,False,True,False
FYB1,False,True,True,True
FZD1,True,False,False,False
FZD7,False,False,False,True
GADD45B,False,False,False,True
GBE1,False,True,False,False
GBP1,False,True,True,True
GIMAP4,False,False,False,True
