,PD wo Tc vs. Ctrl wo Tc,PD with Tc vs. PD wo Tc,PD with Tc vs. Ctrl with Tc,Ctrl with Tc vs. Ctrl wo Tc
A2M,False,False,False,True
ALOX5AP,False,False,False,True
B2M,False,False,False,True
BST2,False,False,False,True
BTN2A2,False,False,False,True
BTN3A1,False,False,False,True
BTN3A2,False,False,False,True
C1R,False,False,False,True
C3,False,False,False,True
CASP1,False,False,False,True
CCL2,False,False,False,True
CCL5,False,False,False,True
CD2,False,False,False,True
CD27,False,False,False,True
CD274,False,False,False,True
CD3E,False,False,False,True
CD48,False,False,False,True
CD53,False,False,False,True
CD74,False,False,False,True
CD84,False,False,False,True
CD8A,False,False,False,True
CLEC2B,False,False,False,True
CNTN3,False,False,False,True
CTGF,False,False,False,True
CTSS,False,False,False,True
CXCL10,False,False,False,True
CXCL9,False,False,False,True
EFNA1,False,False,False,True
EVI2B,False,False,False,True
F3,False,False,False,True
FYB1,False,False,False,True
FZD7,False,False,False,True
HCLS1,False,False,False,True
HLA-A,False,False,False,True
HLA-B,False,False,False,True
HLA-DMB,False,False,False,True
HLA-DOA,False,False,False,True
HLA-DPA1,False,False,False,True
HLA-DRA,False,False,False,True
HLA-E,False,False,False,True
HLA-F,False,False,False,True
ICAM1,False,False,False,True
IL16,False,False,False,True
IL2RG,False,False,False,True
IRF8,False,False,False,True
ITGB2,False,False,False,True
LAPTM5,False,False,False,True
LCP1,False,False,False,True
LTB,False,False,False,True
MYO1F,False,False,False,True
NEUROD2,False,False,False,True
NTNG1,False,False,False,True
PECAM1,False,False,False,True
PTCH1,False,False,False,True
PTPRC,False,False,False,True
RET,False,False,False,True
SASH3,False,False,False,True
SELL,False,False,False,True
SERPING1,False,False,False,True
SEZ6L,False,False,False,True
SLAMF1,False,False,False,True
SLAMF6,False,False,False,True
SRGN,False,False,False,True
TNFRSF14,False,False,False,True
TNFRSF1B,False,False,False,True
