gene_name,GG7_with_T_fpkm,GG7_with_T_1_fpkm,MN7_with_T_fpkm,RN4_with_T_fpkm,RN4_with_T_1_fpkm
DLX6-AS1,8.324517398,9.015126379,0.02502945,0.02906455,0.01524773
RPL10P9,172.1900665,194.1491782,16.70996724,13.67846428,14.64678625
CCDC144NL-AS1,5.498148162,7.082095406,0.226196604,0.198572983,0.241833845
DLX1,20.91632313,21.08121804,0.278352987,0.62147814,0.606984565
SLITRK2,0.717290603,0.500797499,10.80411961,8.707529693,9.92603354
PTPRT,0.244258301,0.228071207,4.088560846,4.058158134,3.649531459
AJAP1,0.096031071,0.052054311,2.330572624,1.966068244,1.932016456
DLX2,10.87596648,11.05729717,0.0934489,0.358096782,0.384265899
NCAM2,1.202856599,1.177864119,6.403145384,5.728480202,5.931818226
ZNF736,0.725567786,0.544132852,4.503305366,4.130919833,4.656400947
RIMBP2,1.006048171,1.108309725,6.328924743,5.347529157,5.017147516
LINC01833,3.774770282,3.990569654,0.131412515,0.106125015,0.032749935
EBF3,4.608549455,6.924063057,40.4938158,31.51762915,32.07909579
COL12A1,0.400140313,0.266077745,2.197782456,2.368542952,2.311414341
CCL5,33.03010084,21.01807164,2.539251357,3.181306232,2.935364508
SIX3,14.3646294,20.401983,1.558407635,0.689794039,0.954953305
DSCAM,0.235045781,0.20972714,5.689792672,3.156361981,2.993886991
SERTAD4,0.670464991,0.919608255,4.721331743,4.691054742,5.276890871
CRYZ,0.975803529,1.15168457,7.065972142,6.875721196,5.711781005
NEUROD2,0.249568831,0.354685072,6.565825701,3.543247756,4.123994328
CCK,0.966900556,1.393669923,9.42892677,15.25646865,11.76848873
ISL1,6.565854704,3.600924195,0.160503836,0.15935431,0.087999824
IRX1,3.77294882,4.319455219,22.43150813,39.50965826,43.30436777
FZD5,8.339841615,6.958456167,2.110122968,2.046724898,2.013271471
CBLN2,0.368640365,0.445322233,7.931460759,4.282851597,4.341799304
VAX1,7.805191903,5.40289601,0.01598383,0.004176146,0
PAX3,1.673660586,1.446635047,5.109909205,5.669151534,6.077635426
KLHL1,1.292044941,1.645294773,11.34968309,8.21447607,7.808961026
CSMD1,0.031843503,0.071509826,0.808666462,0.76501189,0.664376326
TRBC2,77.24970703,42.95966961,8.055344484,7.206815841,7.528164386
IRX2,4.332662066,4.593301825,13.39599921,13.70720195,14.95162262
ITGB2,5.43316588,3.535459696,0.700969863,0.615223653,0.615662151
WNT8B,2.212796372,2.074699149,9.198876083,10.16303083,9.906855216
SIK1,2.765773088,3.4233904,0.377574,0.220241757,0.240713263
PTPRC,13.91328942,7.204334194,1.619607651,1.138972749,1.307082468
EBF2,0.420822889,0.671295083,3.006685673,3.552125772,3.727004568
SMS,95.85698899,93.97731975,27.24035432,34.61229207,34.66665485
CD96,7.100900019,4.034434972,0.730545938,0.692173361,0.550189807
CNTN2,6.796042944,6.444629588,14.89541836,14.39419194,13.91783647
GRIN1,1.872480736,1.809584368,5.348210111,6.041985158,5.964430354
BEX2,150.0770034,157.7466633,70.40850149,66.53337721,67.55531747
TMSB4X,1435.887345,1146.711651,451.4486209,485.5430065,513.1437236
ITGAL,10.89520244,4.789125321,0.686139018,0.855265916,0.803324725
CD52,43.12273068,24.51716304,3.166268608,4.317268421,4.611190792
FOXP2,2.246643008,2.655718751,7.093802495,6.770184143,6.23361509
RPS4Y1,14.37977212,8.39352479,1.504629979,1.115609205,1.393491723
GBP5,3.325356711,2.662188852,0.636228295,0.563992537,0.654049535
CD2,20.60304677,9.834624165,1.267320697,1.338863936,1.434989392
RAC2,27.92141461,14.53665982,3.087467504,3.121678996,2.954840861
6-Sep,26.02339409,24.22517027,9.95511355,10.93815078,11.015725
CD3E,20.83071253,11.14172878,2.309607304,2.388256227,2.251684674
IL16,4.849256965,2.402680493,0.489575186,0.381739934,0.419407133
IL32,16.30540459,9.888812866,2.436107111,1.830377833,1.975814066
DLX5,6.081094459,7.520190964,0.026462932,0.318046484,0.253905671
VGLL2,6.345912827,3.535265031,0,0.043337576,0.085258458
C11orf87,3.465153994,3.762651631,10.10205795,9.61685218,9.116192536
LCK,13.43388003,6.934461406,1.274532166,1.23789521,1.405177188
IFIT3,15.04701533,12.14244975,3.329117059,3.598262266,3.938725468
DLX6,2.444329907,2.260054685,0.134117731,0.105124092,0.036766526
ARHGDIB,55.47410035,25.84865893,5.567589428,6.301617489,6.093045872
SIK1B,0.819879217,1.074879286,4.148326165,4.119118881,3.957794843
FYB1,3.955353292,1.871012182,0.318834975,0.292243391,0.27224262
LAPTM5,28.52073395,14.84866376,3.913636502,3.071276003,2.672490692
LCP1,33.93113896,17.34314633,2.943058714,4.389179732,4.447416529
PSD4,3.476734071,1.945559894,0.447361755,0.379422215,0.28772774
CD6,6.152118342,3.669469482,0.815207548,0.600434181,0.457597609
DOCK2,2.309971408,1.323310717,0.273131115,0.270808997,0.230385005
GBP2,15.55735306,11.28108528,4.363331043,3.728177777,3.717754207
WARS,82.26756241,61.45250566,23.60878133,26.71110244,27.02492873
RGPD2,0.058715807,0.052540325,0.915527774,1.387032281,1.616017846
ADCY1,6.710803246,6.855794906,13.06467988,14.30831538,13.77147554
SCG2,185.8835123,178.0831373,96.32522885,92.28564978,92.34252983
GZMB,17.01529434,12.55248317,2.786578641,3.237717714,2.785995854
TRBC1,47.62650272,23.48674378,4.564855801,4.54806472,4.254733609
IGSF1,5.588341393,5.573324337,1.220229785,1.450086281,1.81642071
CTNNA2,4.451055579,4.884780711,10.2643726,11.67996693,11.16614996
HCRT,24.29857507,9.592479289,0.240505401,0.167566952,0.329656187
LSP1,9.682945998,4.903701234,1.21661848,0.931224082,0.998208786
ARMCX3,66.4300122,68.53834749,27.9572919,32.34845611,32.18804801
BX322639.1,0.228835245,0.127979572,1.322001155,1.626414178,1.574541251
JAML,5.671879485,3.056301825,0.65720031,0.323713319,0.391336356
RGS1,3.739328359,2.565547457,0.382012384,0.346397968,0.462015108
TRAC,53.09430987,25.61385261,6.019124069,5.275139837,4.482445967
PCDHGB4,13.51448958,16.10928136,5.559438245,4.172091959,4.6731207
SRGN,27.00251727,15.38721478,3.336585311,3.487040794,3.482015997
NEAT1,18.80854333,20.32593077,9.864221568,10.12004438,10.05628264
PCDHGA3,0.244312025,0.586480302,9.306464016,16.10113586,16.7091832
DOCK8,2.812096963,1.221358157,0.224842772,0.222706374,0.211591568
IFITM2,35.15774154,25.76717322,9.203475095,8.741228314,7.766255392
VGF,684.8115692,499.8568588,220.0809719,218.965124,232.7466151
NLRC3,3.618284761,1.800526727,0.276740685,0.260297691,0.331907803
INSM2,2.387457853,2.066617364,0.138172867,0.06417931,0.063130309
DPP6,0,0,6.512267542,6.300197654,6.726210231
PDYN,7.75701737,5.767504846,0.844880465,0.280175828,0.378597066
TNFRSF9,3.256682295,1.355083534,0.175355067,0.16417247,0.150222414
P2RY8,3.914918236,2.130861317,0.342338592,0.314408814,0.284386066
