,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.021281748554475826,,0.021436053824717794
AADAT,1.0,,1.0
ABCA1,,,0.22439033569170555
ABCA5,,,1.0
ABCB1,0.5782451167066551,,0.546853966826607
ABCD4,,,1.0
ABHD14B,1.0,,1.0
ABHD2,,,1.0
ABI3,0.08456988038139869,,0.06204732767232767
ABI3BP,0.021281748554475826,,0.014872767681756447
ABL1,0.06476520597558061,0.10481283422459893,
ABLIM1,,,0.29275621692683307
ACAP3,,,0.14302985815755953
ACBD4,1.0,,
ACER3,1.0,,
ACKR3,,,0.050220781928099
ACSL5,1.0,,1.0
ACSL6,,,1.0
ACTA2,0.02797998813935069,,0.021436053824717794
ACTB,,0.3269631132226552,0.24708624708624707
ACTG1,0.6513787170421919,,
ACTN4,0.054183205518517095,,0.03340508072369271
ACVR1C,,,0.06448679525602602
ACVR2B,,,0.03340508072369271
ADA2,0.32286840676102424,,0.29275621692683307
ADAM19,0.01633250470459773,,0.014872767681756447
ADAM22,,,0.017887517887517888
ADAM33,0.018360724243077185,0.014898145332927942,
ADAM9,,,0.013646147666766225
ADAMTS1,,0.0180345969819654,
ADAMTS14,,0.014898145332927942,
ADAMTS4,0.018360724243077185,,0.014872767681756447
ADAMTS7,0.01633250470459773,,
ADAMTS9,0.01633250470459773,,
ADAMTSL4,,,0.021436053824717794
ADAR,1.0,,1.0
ADCY7,0.3246803447808473,,0.27764918008820444
ADD3,,,0.06914727063980795
ADGRA2,,,0.15984015984015984
ADGRA3,0.11732897174424622,0.10757846804358431,0.0852021541676714
ADGRG5,0.4977244977244978,,0.43549524069004586
ADM,0.051231443328707764,,
ADM2,,0.4972710216612656,
ADORA2B,0.2511008544528098,,0.28757185306706073
ADPRH,,,1.0
ADSL,1.0,,1.0
AEBP1,,,0.013646147666766225
AFF1,,,1.0
AFF2,0.2638327683050402,,0.24127210582060082
AGAP9,1.0,,
AGFG2,1.0,,
AGMAT,1.0,,1.0
AGO1,1.0,,
AGPAT2,,,1.0
AGT,,,0.030783170318054037
AGTPBP1,,0.43572476905810237,
AHNAK,0.8090326021360504,,0.72443319605993
AHRR,1.0,,1.0
AIF1,0.021281748554475826,,0.013646147666766225
AK5,,,1.0
AKAP10,1.0,,1.0
AKAP11,,1.0,
AKAP12,0.21546220769521743,,0.18569559936466412
AKAP7,0.13950834718329075,,0.15409209111499186
AKAP8L,1.0,1.0,1.0
AKNA,1.0,,1.0
AKR1B1,,,1.0
ALDH1A3,,,1.0
ALDH1L1,1.0,,1.0
ALDOA,1.0,,
ALDOC,1.0,1.0,
ALG13,1.0,,1.0
ALG8,,1.0,
ALKBH5,1.0,,1.0
ALOX5,0.12535290796160362,,
ALOX5AP,0.01633250470459773,0.0180345969819654,0.014872767681756447
AMOT,0.5334167298976683,,0.45448114117642013
AMPD3,1.0,,1.0
ANGEL1,1.0,,
ANGPT1,0.01633250470459773,,0.013646147666766225
ANGPTL2,,0.03807303807303807,0.03340508072369271
ANGPTL4,,,0.04793256882393373
ANKDD1A,,,1.0
ANKRD11,,1.0,
ANKRD13B,0.9564298781902694,,0.893442263549025
ANKRD28,1.0,,1.0
ANKRD29,,,0.17063967340210434
ANKRD34A,0.3859271718696639,,
ANKRD37,1.0,,1.0
ANKRD40,,0.15945440697915944,
ANKRD44,1.0,,
ANKS6,1.0,,
ANO6,,0.8188631880939573,
ANO8,,,1.0
ANTXR1,0.01633250470459773,0.014898145332927942,
ANXA1,0.1554020447637469,,0.14849753727896864
ANXA11,1.0,,1.0
ANXA2,0.28630254762658947,,0.2939186797454514
ANXA3,,0.08883708883708884,
ANXA6,0.6463454128289292,,0.5807785753949953
AOAH,0.048586633492293876,,0.04220417263895525
AP1S2,0.6852147852147853,,0.6392557573659935
AP3B2,,,1.0
APBB1IP,0.172342994428884,,0.1407057509419714
APOBEC3C,0.25887616033601435,,0.25556127041275556
APOBEC3F,0.024217162148196632,,0.03340508072369271
APOD,,,0.030783170318054037
APOL2,0.4646298823128091,,
APOL3,0.057498057498057496,,0.03654321138983716
APOL6,0.17736235251510202,,0.14849753727896864
APRT,,,1.0
AQP3,0.30680582216418395,,0.2863722815645893
ARAP1,,,0.021436053824717794
ARAP2,0.2600158462227428,,0.20667928562665405
ARF6,0.440699949200722,,0.4056427443524218
ARHGAP21,,,0.6052102977236666
ARHGAP27,0.172342994428884,,0.14477709790209792
ARHGAP30,0.02797998813935069,,0.045125329216238304
ARHGAP31,,,0.16203194169295862
ARHGAP9,0.03098372216019275,,0.045125329216238304
ARHGDIA,,,0.17063967340210434
ARHGDIB,0.018360724243077185,,0.014872767681756447
ARHGEF1,0.024217162148196632,,0.014872767681756447
ARHGEF26,0.20972347887868517,,0.19714328224966524
ARHGEF3,0.2511008544528098,,0.20471619768632074
ARHGEF40,0.27040339339804575,0.3001791596832919,
ARHGEF6,0.15405239921368954,,0.12058915660610577
ARL10,,,0.39023939023939025
ARL4C,1.0,,1.0
ARL4D,0.9260309186508447,,0.8745436164791002
ARL6IP5,0.16035550073605043,,
ARMCX4,0.8802832623057342,,0.8042385487373263
ARPC2,1.0,,1.0
ARPC3,0.38204995004995007,,
ARPC5,0.31292856803060887,,
ARPIN,1.0,,
ARPP21,1.0,,
ARRB1,,,1.0
ARRDC2,0.8224627083942674,,0.7610728800319878
ARRDC4,,,0.820261148329192
ARSD,,1.0,
ART3,0.024217162148196632,0.024475524475524476,
ASAP2,0.11479866287558596,,0.07618280999575963
ASPHD2,0.3025282409897795,,
ATF2,,1.0,
ATF3,,,1.0
ATG4B,,,1.0
ATL3,0.2006564863707721,,
ATP10A,0.5467961850016843,,0.5213926157060693
ATP11A,0.6223137973137972,,
ATP11C,0.03462030926819659,,
ATP1B2,0.12798135804969518,,0.1258039481179977
ATP1B3,,,0.22775350714021922
ATP5S,0.512288906907741,,0.4367750405214382
ATP6V1B2,1.0,,
ATP7B,0.5298399825027044,,
ATP8A1,,0.18297236743838688,
ATXN1,0.23720871159201332,,0.22961732145405617
AXL,,0.014898145332927942,
