,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.7150082621780736,,0.7062937062937064
ABCA5,,,0.9179357228137714
ABCB1,0.7245940872314498,,0.7189816171852099
ABCD4,,,1.0
ABHD14B,,,1.0
ABI3,1.0,,1.0
ABI3BP,0.7873545373545373,,0.7879399752191271
ABL1,1.0,1.0,
ABLIM1,,,1.0
ACAP3,,,1.0
ACBD4,0.964533204352209,,
ACSL5,1.0,,1.0
ACTA2,1.0,,1.0
ACTB,,0.9220065648637077,
ACTN4,1.0,,1.0
ACVR2B,,,0.8861345907978033
ADA2,1.0,,1.0
ADAM19,1.0,,
ADAM33,0.7651132137824154,0.9043242471813899,
ADAM9,,,1.0
ADAMTS1,,0.9043242471813899,
ADAMTS14,,1.0,
ADAMTS4,0.7150082621780736,,0.7062937062937064
ADAMTS7,0.7864601152272386,,
ADAMTS9,1.0,,
ADAMTSL4,,,0.7189816171852099
ADAR,1.0,,1.0
ADCY7,0.7150082621780736,,0.7062937062937064
ADD3,,,1.0
ADGRA2,,,1.0
ADGRA3,1.0,1.0,
ADGRG5,0.586195054945055,,0.5044955044955045
ADM,1.0,,
ADM2,,0.9895297010681625,
ADORA2B,1.0,,1.0
AEBP1,,,0.7879399752191271
AFF2,1.0,,1.0
AGAP9,0.7614837992196483,,
AGFG2,0.6413074105381797,,
AGMAT,1.0,,1.0
AGO1,0.7855408480408481,,
AGPAT2,,,1.0
AGT,,,0.5737399855046914
AHNAK,1.0,,1.0
AHRR,0.9189876462603735,,0.8509896696709883
AIF1,1.0,,1.0
AKAP10,1.0,,1.0
AKAP11,,1.0,
AKAP12,,,1.0
AKAP7,0.7150082621780736,,
AKAP8L,,0.9043242471813899,0.748895548895549
AKNA,1.0,,1.0
ALDH1A3,,,1.0
ALDH1L1,1.0,,1.0
ALDOA,0.7187065807755463,,
ALDOC,0.7117751813403987,,
ALG13,1.0,,1.0
ALG8,,1.0,
ALKBH5,0.7651132137824154,,
ALOX5AP,1.0,1.0,1.0
AMOT,0.8168851016533136,,0.7930315298736352
AMPD3,1.0,,1.0
ANGPT1,,,0.5737399855046914
ANGPTL2,,0.9043242471813899,0.7189816171852099
ANGPTL4,,,0.7879399752191271
ANKRD13B,0.9117699343263252,,0.916123677317707
ANKRD28,1.0,,1.0
ANKRD29,,,1.0
ANKRD37,1.0,,1.0
ANO6,,0.8104395604395604,
ANO8,,,1.0
ANTXR1,0.7651132137824154,0.9043242471813899,
ANXA1,1.0,,1.0
ANXA11,1.0,,1.0
ANXA2,1.0,,1.0
ANXA3,,1.0,
ANXA6,,,1.0
AOAH,1.0,,1.0
AP1S2,1.0,,1.0
AP3B2,,,1.0
APBB1IP,1.0,,1.0
APOBEC3C,0.9179117179117179,,0.8640827257848535
APOBEC3F,0.7651132137824154,,0.7417696458792349
APOD,,,0.6115097024187933
APOL2,0.7150082621780736,,
APOL3,1.0,,1.0
APOL6,0.7245940872314498,,0.7358387468884707
APRT,,,1.0
AQP3,1.0,,1.0
ARAP1,,,1.0
ARAP2,1.0,,1.0
ARF6,1.0,,1.0
ARHGAP27,1.0,,
ARHGAP30,1.0,,1.0
ARHGAP9,1.0,,1.0
ARHGDIA,,,1.0
ARHGDIB,1.0,,1.0
ARHGEF1,1.0,,1.0
ARHGEF26,1.0,,1.0
ARHGEF3,,,1.0
ARHGEF40,1.0,1.0,
ARHGEF6,1.0,,1.0
ARL4C,1.0,,
ARL4D,1.0,,1.0
ARMCX4,0.7173065030207888,,0.7189816171852099
ARPC2,1.0,,
ARPC5,1.0,,
ARPIN,1.0,,
ARPP21,1.0,,
ARRB1,,,0.8388704318936876
ARRDC2,0.586195054945055,,0.5737399855046914
ARRDC4,,,0.7417696458792349
ART3,0.9649222109718723,,
ASAP2,1.0,,
ATG4B,,,0.7358387468884707
ATL3,0.7261638884675533,,
ATP10A,1.0,,1.0
ATP11C,0.6413074105381797,,
ATP1B2,0.8804510706684621,,0.8477748147169635
ATP5S,1.0,,
ATP7B,0.586195054945055,,
ATP8A1,,1.0,
ATXN1,0.9653094653094653,,0.8640827257848535
B2M,0.8730066495109474,,0.8388704318936876
B3GALNT2,,1.0,
B3GAT2,0.586195054945055,,0.6380384321560792
B3GNT2,0.7150082621780736,,0.7189816171852099
B3GNT9,,,1.0
B4GALT1,,,0.7417696458792349
B4GALT2,,,0.7189816171852099
BACE2,,,0.5737399855046914
BACH2,1.0,,
BAMBI,,0.9763714546323242,0.8388704318936876
BATF3,1.0,,1.0
BBIP1,,,1.0
BBS2,,,1.0
