,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,1.0,,1.0
AADAT,0.6862635081813163,,0.6954909497282379
ABCA1,,,1.0
ABCA5,,,1.0
ABCB1,1.0,,1.0
ABCD4,,,0.714926784445501
ABHD14B,1.0,,1.0
ABHD2,,,1.0
ABI3,1.0,,1.0
ABI3BP,1.0,,1.0
ABL1,1.0,1.0,
ABLIM1,,,1.0
ACAP3,,,1.0
ACBD4,0.5685267113838542,,
ACER3,1.0,,
ACKR3,,,0.6150415241324332
ACSL5,0.5685267113838542,,0.5709976298211593
ACSL6,,,1.0
ACTA2,1.0,,1.0
ACTB,,0.9087868653086044,0.9950394433153054
ACTG1,1.0,,
ACTN4,1.0,,1.0
ACVR1C,,,1.0
ACVR2B,,,1.0
ADA2,1.0,,1.0
ADAM19,1.0,,1.0
ADAM22,,,1.0
ADAM33,0.69935921818767,0.5246940559440559,
ADAM9,,,1.0
ADAMTS1,,1.0,
ADAMTS14,,0.4160839160839161,
ADAMTS4,1.0,,1.0
ADAMTS7,1.0,,
ADAMTS9,1.0,,
ADAMTSL4,,,1.0
ADAR,1.0,,1.0
ADCY7,1.0,,1.0
ADD3,,,1.0
ADGRA2,,,1.0
ADGRA3,1.0,1.0,1.0
ADGRG5,0.5733042467736346,,0.6060204855385578
ADM,1.0,,
ADM2,,1.0,
ADORA2B,1.0,,1.0
ADPRH,,,1.0
ADSL,0.6711613509643066,,0.6954909497282379
AEBP1,,,1.0
AFF1,,,1.0
AFF2,1.0,,1.0
AGAP9,0.5685267113838542,,
AGFG2,1.0,,
AGMAT,0.589583256249923,,0.6954909497282379
AGO1,1.0,,
AGPAT2,,,0.623550003715293
AGT,,,1.0
AGTPBP1,,1.0,
AHNAK,1.0,,1.0
AHRR,0.6862635081813163,,0.7175719017824281
AIF1,1.0,,1.0
AK5,,,1.0
