,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.014261857545439635,,0.01327957756529185
AADAT,0.7730018114223023,,0.7617943032577178
ABCA1,,,0.7082441368155653
ABCA5,,1.0,1.0
ABCB1,0.18375854914316453,0.2528380710198892,0.19793134622031958
ABCD4,1.0,,1.0
ABHD14B,1.0,,1.0
ABHD2,,,1.0
ABI3,0.5423040404453044,,0.4760664093188365
ABI3BP,0.0511328136746197,,0.03072960097753486
ABL1,0.3279559753818724,0.3753792220049889,
ABLIM1,1.0,,1.0
ACACB,,,1.0
ACAP3,,,0.896802640772956
ACAT2,,,1.0
ACBD4,1.0,,
ACER3,1.0,,
ACKR3,,,0.06542431175862261
ACO1,,0.5518786146588838,
ACSL4,,0.06135041429159076,
ACSL5,0.014261857545439635,,0.02112660067205522
ACSL6,0.014261857545439635,,0.025702408190887455
ACSS3,,,1.0
ACTA2,0.0464500777000777,,0.049577089577089575
ACTB,,0.47554518020839265,0.34040607280043894
ACTG1,0.4320492267787691,0.5222795637542181,
ACTN1,,0.40461233681572667,
ACTN4,1.0,,0.9405863052171164
ACTR10,1.0,,
ACTR2,1.0,,
ACVR1C,,,0.36049822753423866
ACVR2B,,,0.267327443798032
ADA2,0.201375071209782,,0.19793134622031958
ADAM19,0.014261857545439635,,0.01327957756529185
ADAM22,,,0.03602986161125696
ADAM33,0.025825525825525827,0.043456543456543456,
ADAM9,0.019907176157176156,0.043456543456543456,0.02112660067205522
ADAMTS1,,0.06135041429159076,
ADAMTS10,0.019907176157176156,,
ADAMTS12,,0.0851393504454729,0.06178413731283823
ADAMTS14,0.019907176157176156,0.043456543456543456,
ADAMTS4,0.08517387904574535,,0.049577089577089575
ADAMTS7,0.0464500777000777,,
ADAMTS8,,0.06135041429159076,
ADAMTS9,0.025825525825525827,0.043456543456543456,
ADAMTSL4,,,0.07789696337182371
ADAR,0.3190212013741426,,0.3093922569184938
ADCY4,0.06409139640846959,,0.06542431175862261
ADCY7,0.05548322645096839,,0.08428105228105229
ADCY9,,,0.06945066427825049
ADD3,,,0.39716901709038016
ADGRA2,,,0.3861863835232677
ADGRA3,0.11184489810444008,0.23176823176823177,0.1204998704998705
ADGRB1,,,0.7509470921235627
ADGRG5,0.5477044480734518,,0.5470527217990577
ADM,0.0511328136746197,,0.04518745143745144
ADM2,,1.0,1.0
