,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.13983577398211544,,0.1267596040323313
AADAT,0.28810385594305193,,0.26866197386428603
ABCA1,,,0.1701174642351113
ABCA5,,0.19049443706977953,0.1701174642351113
ABCB1,1.0,1.0,1.0
ABCD4,0.8048624452470606,,0.8117375582164315
ABHD14B,1.0,,1.0
ABHD2,,,1.0
ABI3,1.0,,1.0
ABI3BP,0.24587108797635115,,0.26866197386428603
ABL1,1.0,1.0,
ABLIM1,1.0,,1.0
ACACB,,,0.2486748919869939
ACAP3,,,1.0
ACAT2,,,0.46780330059550834
ACBD4,0.9644294842942349,,
ACER3,0.5393575217184444,,
ACKR3,,,0.4561925469488495
ACO1,,0.8656192292555928,
ACSL4,,0.3111853181783252,
ACSL5,0.42076075185318884,,0.48685005652846386
ACSL6,1.0,,1.0
ACSS3,,,0.8161628371628372
ACTA2,0.8941165976880263,,0.8988690208873696
ACTB,,0.9493583339737185,0.9361748375957969
ACTG1,0.9066718114337162,0.9219603925486279,
ACTN1,,1.0,
ACTN4,1.0,,1.0
ACTR10,0.16226226603585095,,
ACTR2,0.5321687914280506,,
ACVR1C,,,1.0
ACVR2B,,,1.0
ADA2,0.9119582172213753,,0.9077574050498239
ADAM19,0.8565742232103369,,0.8319609732759881
ADAM22,,,0.9931106867815729
ADAM33,0.19804030166724465,0.19049443706977953,
ADAM9,1.0,0.9954802906344757,1.0
ADAMTS1,,0.19049443706977953,
ADAMTS10,0.5931790362328535,,
ADAMTS12,,0.3828082030329222,0.40492651288105835
ADAMTS14,0.6916922461476916,0.6953046953046953,
ADAMTS4,0.7724461167574941,,0.767695286986215
ADAMTS7,0.5769784355771617,,
ADAMTS8,,0.9493583339737185,
ADAMTS9,0.2800310229616142,0.2661713286713287,
ADAMTSL4,,,0.7878038031569249
ADAR,1.0,,1.0
ADCY4,0.9448080009877762,,0.9212409454344939
ADCY7,0.7824046668316991,,0.8250625114530439
ADCY9,,,0.9136731855003681
ADD3,,,1.0
ADGRA2,,,0.8319609732759881
ADGRA3,0.42258401664342254,0.45916347803140256,0.4315283320518923
ADGRB1,,,0.8661906275542639
ADGRG5,0.14156214156214156,,0.13092541261555346
ADM,0.18134420324201347,,0.2026551647404728
ADM2,,1.0,1.0
ADORA2B,0.6392886073737137,,0.6311897978564646
ADPRH,1.0,,1.0
ADSL,0.3192436853764085,,0.3248984025683055
ADTRP,1.0,,1.0
AEBP1,,,0.6725013609494357
AES,1.0,,
AFF1,,,1.0
AFF2,1.0,,1.0
AGAP9,0.6488401517370231,,0.5972369599312605
AGFG2,1.0,,1.0
AGMAT,0.161176173224366,,0.1608871897333436
AGO1,1.0,1.0,
AGPAT2,,,0.7994682801985032
AGPAT3,,0.19049443706977953,0.1267596040323313
