,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.025059151374940847,,0.02007121509196198
AADAT,1.0,,1.0
ABCA1,,,0.2684237958837501
ABCA5,,1.0,1.0
ABCB1,0.7168656859088379,0.6753692735835594,0.6674060117098092
ABCB8,,,0.6530581854261581
ABCD4,1.0,,1.0
ABHD14B,1.0,,1.0
ABHD2,,,1.0
ABI3,0.11686676959404231,,0.09626194700821566
ABI3BP,0.025059151374940847,,0.027640930498073358
ABL1,0.11686676959404231,0.11735139860139861,
ABLIM1,0.4242420462624776,,0.41543254376423183
ABRACL,1.0,,
ACACB,1.0,,1.0
ACAP3,0.1912997716569145,,0.18091750768916126
ACAT2,,1.0,1.0
ACBD4,1.0,,1.0
ACER3,1.0,,1.0
ACIN1,1.0,,
ACKR3,,,0.08047819081094038
ACO1,,1.0,
ACOT8,1.0,,
ACSL4,,1.0,
ACSL5,1.0,,1.0
ACSL6,1.0,,1.0
ACSS3,,,1.0
ACTA2,0.022890570967494046,,0.02386757978863242
ACTB,,0.4221872801754458,0.31938668360393596
ACTG1,0.7274114774114774,0.7537652221196526,
ACTL6A,1.0,,
ACTN1,,0.028234922971765077,0.02386757978863242
ACTN2,,,0.027640930498073358
ACTN4,0.08709583099827004,,0.04784007201589619
ACTR10,1.0,,1.0
ACTR2,0.8562055969781291,,
ACVR1C,,,0.09003179561555197
ACVR2B,0.06552163432897377,,0.04784007201589619
ADA2,0.40270546484585606,,0.3033117373357286
ADAM12,,,0.016232090057593414
ADAM19,0.022890570967494046,,0.016232090057593414
ADAM22,,0.02282823559419304,0.016232090057593414
ADAM33,0.025059151374940847,0.017588968408640538,
ADAM9,0.022890570967494046,0.017588968408640538,0.016232090057593414
ADAMTS1,,0.017588968408640538,0.016232090057593414
ADAMTS10,0.025059151374940847,,
ADAMTS12,,0.017588968408640538,0.016232090057593414
ADAMTS14,0.025059151374940847,0.017588968408640538,
ADAMTS4,0.025059151374940847,,0.016232090057593414
ADAMTS7,0.022890570967494046,,
ADAMTS8,,0.017588968408640538,
ADAMTS9,0.022890570967494046,0.017588968408640538,
ADAMTSL4,,,0.03556737380266792
ADAR,1.0,,1.0
ADCK1,,,1.0
ADCY3,,,0.37752277933546813
ADCY4,0.37470103860636406,,0.3430079237532654
ADCY7,0.34789244571853273,,0.31938668360393596
ADCY9,0.260532900751779,,0.21057300908047177
ADCYAP1,0.25388877050926917,,
ADD3,0.07277002473509024,,0.07139723744889796
ADGRA2,,,0.1771264687376538
ADGRA3,0.11686676959404231,0.14901764901764902,0.12036486064479844
ADGRB1,,,0.0544057169824041
ADGRG5,0.5508670738028536,,0.5528186099614671
ADM,0.07277002473509024,,0.08047819081094038
ADM2,,0.6374305966142702,0.4850763107557859
ADORA1,0.15870795870795873,,
ADORA2B,0.32018293039463647,,0.30886645821710756
ADPRH,1.0,,1.0
ADRA2C,,,0.1771264687376538
ADSL,1.0,,1.0
ADTRP,0.21517793540749064,,0.19249300122214114
AEBP1,,0.017588968408640538,0.016232090057593414
AES,1.0,,1.0
AFF1,1.0,,1.0
AFF2,0.29413057984486557,,0.30724649942890986
AGAP9,1.0,,1.0
AGFG2,1.0,,1.0
AGMAT,1.0,,1.0
AGO1,1.0,1.0,
AGO3,1.0,,1.0
AGPAT2,,,1.0
AGPAT3,,0.193037088434578,0.1513763619026777
AGT,,,0.06105156978943387
AGTPBP1,0.519044896403387,0.5324299760389986,
AHCYL2,,,1.0
AHI1,1.0,,
AHNAK,0.9073753602527581,,0.8515344439843668
AHRR,1.0,,1.0
AIF1,0.033064158064158064,,0.016232090057593414
AIF1L,1.0,,
AK2,1.0,,1.0
AK5,,,1.0
AKAP1,0.4415450471316393,,0.3606873208507529
AKAP10,1.0,,1.0
AKAP11,,1.0,
AKAP12,0.25833644377600423,,0.22491638795986624
AKAP7,0.22318306693306691,,0.1750715772163493
AKAP8L,1.0,1.0,1.0
AKIRIN2,1.0,,1.0
AKNA,1.0,,1.0
AKR1B1,1.0,,1.0
AKT2,,,0.19249300122214114
ALAS1,,,1.0
ALDH1A2,,,1.0
ALDH1A3,,,1.0
ALDH1L1,1.0,,1.0
ALDH2,1.0,,1.0
ALDH6A1,1.0,,
ALDOA,1.0,,1.0
ALDOC,1.0,1.0,
ALG13,1.0,,1.0
ALG8,,1.0,
ALG9,1.0,,
ALKBH2,,,1.0
ALKBH5,1.0,,1.0
ALOX5,0.09577204404790612,,
ALOX5AP,0.033064158064158064,0.017588968408640538,0.016232090057593414
ALPK1,1.0,,
AMBRA1,,,1.0
AMER2,,0.45301365301365304,
AMFR,,,1.0
AMMECR1,0.07565527692646337,,
AMOT,0.5330834809362417,,0.5055414199060608
AMOTL1,0.8996989632441136,0.9429378313993698,
AMOTL2,,0.767332459640152,
AMPD3,1.0,,1.0
AMZ1,0.3808991008991009,,
ANAPC10,,1.0,
ANGEL1,1.0,1.0,
ANGPT1,0.022890570967494046,,0.02007121509196198
ANGPTL2,,0.051441708975955555,0.03900937771905514
ANGPTL4,0.05356393606393607,,0.0781588250169938
ANKDD1A,,1.0,1.0
ANKFY1,1.0,,1.0
ANKH,0.563830905936169,,
ANKRD11,,1.0,
ANKRD13B,1.0,,0.9884482233524943
ANKRD28,1.0,,1.0
ANKRD29,0.2509390747948307,,0.22701486239392377
ANKRD34A,0.48536899993210675,,
ANKRD37,1.0,,1.0
ANKRD40,0.22318306693306691,0.23751820698385584,
ANKRD44,1.0,,
ANKRD46,,0.11735139860139861,
ANKRD55,0.965795992625261,,
ANKS6,1.0,,
ANO6,,0.9436834675840411,
ANO8,1.0,,1.0
ANP32B,,,1.0
ANTXR1,0.03640090796054099,0.017588968408640538,
ANXA1,0.17537478195785405,,0.16749178799040293
ANXA11,1.0,,1.0
ANXA2,0.39307901400924655,,0.3302684710247735
ANXA3,,0.09912913173782739,0.08047819081094038
ANXA4,,,0.10241549980963663
ANXA6,0.6684833790850983,0.7268964801432335,0.6889908410916815
AOAH,0.0492117701420027,,0.05769975551287679
AOC2,,1.0,
AP1G2,,1.0,
AP1S1,,1.0,1.0
AP1S2,0.7706423423285461,,0.7267561428799214
AP3B2,,,1.0
AP3D1,1.0,,
APBA2,0.0492117701420027,,0.04784007201589619
APBB1,0.028340706912135482,,
APBB1IP,0.22704364359343324,,0.19849468713105076
APBB3,,,0.1645979020979021
APCDD1,1.0,,
APLN,,,1.0
APLP2,,0.4304184187905118,
APOBEC3C,0.3375939463959024,,0.30886645821710756
APOBEC3F,0.05736432242456339,,0.031328774852090915
APOC1,,0.051441708975955555,
APOD,0.06552163432897377,,0.031328774852090915
APOL2,0.5147963850495496,,0.453628667982735
APOL3,0.05356393606393607,,0.031328774852090915
APOL6,0.18699729273747404,,0.20583671647501436
APOO,,1.0,
APRT,,,1.0
AQP1,,0.7176222470340117,
AQP3,0.3495012809092231,,0.3379456830968823
ARAP1,0.028340706912135482,,0.031328774852090915
ARAP2,0.3396737408932531,,0.3013314554298161
ARF1,1.0,,
ARF3,1.0,,
ARF6,0.4920117557361906,,0.4550721484818906
ARFGAP1,1.0,,1.0
ARHGAP21,,,0.7036604293462149
ARHGAP27,0.18973357469598068,,0.1513763619026777
