,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.029528912645795765,,0.03783716283716284
ABCA5,,,0.03783716283716284
ABCB1,0.9561066548514249,,0.9520197484536265
ABCD4,,,0.9521042755464121
ABHD14B,,,0.49013994135945355
ABI3,0.8303894900280443,,0.7860551886738466
ABI3BP,0.07270636340403783,,0.07615026482951011
ABL1,0.9581906271753281,1.0,
ABLIM1,,,1.0
ACAP3,,,0.43774013405249845
ACBD4,1.0,,
ACSL5,0.12520519128448643,,0.12911259356756988
ACTA2,0.13153788360399932,,0.0976442911926783
ACTB,,1.0,
ACTN4,0.8984886081660275,,0.8546185675523216
ACVR2B,,,0.5024694181320687
ADA2,0.31242040402345744,,0.3042988757274472
ADAM19,0.141537177681756,,
ADAM33,0.1455184815184815,0.2687712287712288,
ADAM9,,,0.2399229435060054
ADAMTS1,,0.14735264735264736,
ADAMTS14,,0.21611721611721613,
ADAMTS4,0.5222263558747491,,0.5182366271860436
ADAMTS7,0.06932092297945958,,
ADAMTS9,0.4114129981367669,,
ADAMTSL4,,,0.9349781954572374
ADAR,0.8970822687636847,,0.8546185675523216
ADCY7,0.6328928803155607,,0.6094452992263211
ADD3,,,1.0
ADGRA2,,,0.5055024815503858
ADGRA3,0.15579235579235579,0.25370281892021024,
ADGRG5,0.8713681528052786,,0.8004015215553677
ADM,0.021450247865342206,,
ADM2,,1.0,
ADORA2B,0.11261380129304659,,0.0976442911926783
AEBP1,,,0.07207078635650065
AFF2,1.0,,1.0
AGAP9,0.2308176671813035,,
AGFG2,1.0,,
AGMAT,1.0,,1.0
AGO1,1.0,,
AGPAT2,,,0.9900633277256653
AGT,,,0.1447323168634644
AHNAK,1.0,,1.0
AHRR,1.0,,1.0
AIF1,0.029528912645795765,,0.025224775224775224
AKAP10,0.0651704982915174,,0.07207078635650065
AKAP11,,0.7723311171587034,
AKAP12,,,0.03783716283716284
AKAP7,1.0,,
AKAP8L,,0.9794617147558323,0.9348672317188058
AKNA,0.2894930003683319,,0.2778381039250604
ALDH1A3,,,0.8104215784215785
ALDH1L1,1.0,,1.0
ALDOA,0.7007549827221958,,
ALDOC,1.0,,
ALG13,0.0528773552029366,,0.05087349625164751
ALG8,,0.8327801231027037,
ALKBH5,0.7627056487815981,,
ALOX5AP,0.0594438241497065,0.14467350830987194,0.06440368142495802
AMOT,1.0,,1.0
AMPD3,0.10879073080030018,,0.0896880896880897
ANGPT1,,,0.13963714856572
ANGPTL2,,0.45291550554708454,0.3371628371628372
ANGPTL4,,,0.39147919055540303
ANKRD13B,1.0,,1.0
ANKRD28,1.0,,1.0
ANKRD29,,,1.0
ANKRD37,0.7242918371950631,,0.6261469027426473
ANO6,,1.0,
ANO8,,,0.7503626222007336
ANTXR1,0.042499556518248105,0.10609390609390609,
ANXA1,0.5399572598088368,,0.4932844932844933
ANXA11,0.3661518661518661,,0.28629772431425327
ANXA2,0.3466046148972978,,0.3234933005925373
ANXA3,,0.5846953046953047,
ANXA6,,,0.7503626222007336
AOAH,0.13153788360399932,,0.1458782181673748
AP1S2,1.0,,1.0
AP3B2,,,1.0
APBB1IP,1.0,,1.0
APOBEC3C,0.1850707432102781,,0.19900514710203293
APOBEC3F,0.19382584628486269,,0.2140283958465777
APOD,,,0.39522689292274543
APOL2,0.19072374993427624,,
APOL3,0.179907634453089,,0.17913246174115738
APOL6,0.12740707568293777,,0.14229360383206538
APRT,,,0.7270923284551906
AQP3,0.6515695189164576,,0.6261469027426473
ARAP1,,,1.0
ARAP2,1.0,,1.0
ARF6,1.0,,1.0
ARHGAP27,1.0,,
ARHGAP30,1.0,,1.0
ARHGAP9,1.0,,1.0
ARHGDIA,,,1.0
ARHGDIB,0.09473859473859474,,0.09424641292773162
ARHGEF1,1.0,,1.0
ARHGEF26,1.0,,1.0
ARHGEF3,,,1.0
ARHGEF40,1.0,1.0,
ARHGEF6,1.0,,1.0
ARL4C,0.5387373820209641,,
ARL4D,1.0,,1.0
ARMCX4,0.9561066548514249,,0.8815067828935318
ARPC2,1.0,,
ARPC5,1.0,,
ARPIN,1.0,,
ARPP21,1.0,,
ARRB1,,,0.2894646337269288
ARRDC2,0.17580357786543355,,0.18212834097310632
ARRDC4,,,0.24586173320350538
ART3,0.9248226665730254,,
ASAP2,0.9728924921232613,,
ATG4B,,,0.2850888723464901
ATL3,0.8692656668668661,,
ATP10A,1.0,,1.0
ATP11C,1.0,,
ATP1B2,1.0,,1.0
ATP5S,0.9446945100354192,,
ATP7B,1.0,,
ATP8A1,,1.0,
ATXN1,0.22095772565992003,,0.1643432325250507
B2M,0.054883047986496264,,0.06440368142495802
B3GALNT2,,1.0,
B3GAT2,1.0,,1.0
B3GNT2,1.0,,1.0
B3GNT9,,,1.0
B4GALT1,,,0.3721101593442019
B4GALT2,,,0.8848075001921156
BACE2,,,0.24163538726645523
BACH2,0.09810494074453466,,
BAMBI,,0.11051448551448552,0.03737003737003737
BATF3,0.0469778155728569,,0.04850918312456774
