,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.04718738052071385,,0.0481999481999482
AADAT,1.0,,1.0
ABCA1,,,0.14513739049055036
ABCA5,,1.0,1.0
ABCB1,0.18756983756983756,0.2247977586323451,0.15492840492840493
ABCD4,1.0,,0.9476682609425973
ABHD14B,1.0,,1.0
ABHD2,,,1.0
ABI3,0.3185148185148185,,0.2856071464767117
ABI3BP,0.04514383254540735,,0.04364180420518449
ABL1,0.16155596980339249,0.26915020463407563,
ABLIM1,0.637029637029637,,0.595490286044032
ACACB,,,1.0
ACAP3,,,0.9076783723522853
ACAT2,,,1.0
ACBD4,1.0,,
ACER3,1.0,,
ACKR3,,,0.056337601792147245
ACO1,,1.0,
ACSL4,,0.0604612778525822,
ACSL5,0.04514383254540735,,0.04364180420518449
ACSL6,0.04514383254540735,,0.04364180420518449
ACSS3,,,0.5281650168013805
ACTA2,0.10644039504799,,0.08491268347037577
ACTB,,1.0,1.0
ACTG1,1.0,1.0,
ACTN1,,0.15309461181020814,
ACTN4,0.5163121129830477,,0.46144143626158013
ACTR10,1.0,,
ACTR2,1.0,,
ACVR1C,,,0.04364180420518449
ACVR2B,,,0.04364180420518449
ADA2,0.3309867843000373,,0.31114252276078
ADAM19,1.0,,0.9824331399134549
ADAM22,,,0.19887082123710975
ADAM33,0.1624812434529034,0.2301008344173812,
ADAM9,0.09979576559211024,0.15660015660015658,0.1046269747568449
ADAMTS1,,0.08343656343656344,
ADAMTS10,0.9302754052998911,,
ADAMTS12,,0.9164474493987388,0.810167948131792
ADAMTS14,0.4319584525063977,0.5066997779548387,
ADAMTS4,0.6048034318622554,,0.563500658633402
ADAMTS7,0.7321295608891658,,
ADAMTS8,,0.9164474493987388,
ADAMTS9,0.05902977331548761,0.07725607725607726,
ADAMTSL4,,,0.4625613620828932
ADAR,0.981910572776415,,0.9008382526564345
ADCY4,0.32628347262493607,,0.25326619488296137
ADCY7,0.28231995277449823,,0.24335785979621596
ADCY9,,,0.31114252276078
ADD3,,,1.0
ADGRA2,,,0.19115544488678815
ADGRA3,0.04718738052071385,0.08691308691308691,0.0444416141627297
ADGRB1,,,0.05093536600385915
ADGRG5,0.10290478752017214,,0.09893432509840493
ADM,0.04514383254540735,,0.04364180420518449
ADM2,,0.4097331240188383,0.3515286311557949
ADORA2B,0.05259877736941957,,0.0481999481999482
ADPRH,0.9927498901857876,,0.8948280525308784
ADSL,1.0,,1.0
ADTRP,0.15958988819114078,,0.11547458752427697
AEBP1,,,0.04364180420518449
AES,1.0,,
AFF1,,,0.6432470483103395
AFF2,0.09555444555444556,,0.07034587034587035
AGAP9,1.0,,1.0
AGFG2,1.0,,1.0
AGMAT,1.0,,1.0
AGO1,1.0,1.0,
AGPAT2,,,1.0
AGPAT3,,1.0,1.0
AGT,,,0.07034587034587035
AGTPBP1,0.9601340062435162,1.0,
AHNAK,1.0,,1.0
AHRR,1.0,,1.0
AIF1,0.0485047946976881,,0.0444416141627297
AIF1L,1.0,,
AK2,1.0,,
AK5,,,0.2552850134939687
AKAP10,1.0,,1.0
AKAP11,,1.0,
AKAP12,1.0,,1.0
AKAP7,1.0,,1.0
AKAP8L,1.0,1.0,1.0
AKIRIN2,,,1.0
AKNA,1.0,,1.0
AKR1B1,1.0,,1.0
AKT2,,,0.6328570687001228
ALDH1A3,,,1.0
ALDH1L1,1.0,,1.0
ALDOA,1.0,,
ALDOC,1.0,1.0,
ALG13,1.0,,1.0
ALG8,,0.6456400742115027,
ALG9,0.48216697888182775,,
ALKBH5,1.0,,1.0
ALOX5,0.22719238803154887,,
ALOX5AP,0.06825317539603254,0.07264377413631146,0.059449271658573985
ALPK1,1.0,,
AMMECR1,0.16402559516331974,,
AMOT,1.0,,1.0
AMOTL1,,1.0,
AMPD3,1.0,,1.0
ANGEL1,0.9864270710278314,,
ANGPT1,0.07618959113975725,,0.05362906324444786
ANGPTL2,,0.3303657668298553,0.19887082123710975
ANGPTL4,,,0.2108610239600655
ANKDD1A,,0.3303657668298553,0.24126255423965348
ANKRD11,,1.0,
ANKRD13B,1.0,,1.0
ANKRD28,1.0,,1.0
ANKRD29,,,0.67237322263229
ANKRD34A,1.0,,
ANKRD37,0.5091317948460805,,0.4653391900114189
ANKRD40,1.0,1.0,
ANKRD44,1.0,,
ANKRD46,,0.31388040530897676,
ANKRD55,0.35264140621283474,,
ANKS6,1.0,,
ANO6,,0.6785791528059569,
ANO8,,,0.056337601792147245
ANTXR1,0.05482632121976384,0.08691308691308691,
ANXA1,0.6399618793174604,,0.654106103320763
ANXA11,1.0,,1.0
ANXA2,0.37330308175789223,,0.3357478101413411
ANXA3,,1.0,0.9127911799391945
ANXA6,0.8090008730765034,,0.7192433828797465
AOAH,0.14014652014652015,,0.11232309357309357
AOC2,,1.0,
AP1S1,,1.0,
AP1S2,1.0,,1.0
AP3B2,,,1.0
AP3D1,1.0,,
APBA2,0.16763937816569394,,0.18964480335717793
APBB1IP,0.7850196266246953,,0.7432856276325868
APBB3,,,0.19887082123710975
APCDD1,0.8932263388785128,,
APOBEC3C,0.4540439426345467,,0.4209804882999497
APOBEC3F,0.8903292553144185,,0.8566124549504051
APOD,,,0.435983214841052
APOL2,0.2805840163099543,,0.2512352512352512
APOL3,0.08334967213471887,,0.07338713917661287
APOL6,0.19286218368787175,,0.17569200558891282
APRT,,,1.0
AQP3,0.1624812434529034,,0.1345663859949574
ARAP1,1.0,,1.0
ARAP2,1.0,,1.0
ARF1,1.0,,
ARF3,1.0,,
ARF6,1.0,,1.0
ARFGAP1,1.0,,
ARHGAP21,,,1.0
ARHGAP27,1.0,,1.0
ARHGAP30,1.0,,1.0
ARHGAP31,,,1.0
ARHGAP9,1.0,,1.0
ARHGDIA,,,1.0
ARHGDIB,0.09867035138774269,,0.11075732777860438
ARHGEF1,1.0,,1.0
ARHGEF25,1.0,,
ARHGEF26,1.0,,1.0
ARHGEF3,1.0,,1.0
ARHGEF40,1.0,1.0,
ARHGEF6,1.0,,1.0
ARL10,1.0,,1.0
ARL4C,1.0,,1.0
ARL4D,1.0,,1.0
ARL6IP5,0.13804705452560984,,
ARMCX4,1.0,,1.0
ARPC2,1.0,,1.0
ARPC3,1.0,,1.0
ARPC5,1.0,,
ARPIN,0.602432986140188,0.6786364320610897,
ARPP21,0.9527586116507399,,
ARRB1,1.0,,0.9803040269589567
ARRDC2,0.49940486421728336,,0.454705535428427
ARRDC4,0.721684738296034,,0.6117430265340232
ARSD,,1.0,
ART3,1.0,1.0,1.0
ARVCF,,,0.06337980201616565
ASAH1,,0.3031851869061171,
ASAP2,1.0,,0.9808964042092875
ASAP3,1.0,,
ASNS,1.0,,1.0
ASPHD2,0.9773854716711862,,
ASRGL1,,,1.0
ATAD1,,1.0,
ATF2,,0.6953046953046953,
ATF3,,,0.11075732777860438
ATG4B,,1.0,1.0
ATL3,0.8567624800992253,,0.7833661484146921
ATOH8,,1.0,
ATP10A,0.8877685750812623,,0.8200545919678812
ATP10B,0.3180194610987768,,
ATP10D,1.0,,
ATP11A,0.415454111106285,,
ATP11C,0.11596413295442422,,
ATP1B2,0.32391337476083243,,0.35904043046900186
ATP1B3,0.48340781106180847,,0.3708648864089279
ATP5S,0.3710581389413506,,0.3297248454137949
ATP6V1B2,1.0,,
ATP7B,0.7385649285212604,,
ATP8A1,,0.3260468345214108,0.2062390985220567
ATXN1,0.04514383254540735,,0.05362906324444786
AUH,,1.0,
AUNIP,0.6982414233810882,,
AXL,,0.05489247594510752,
B2M,0.04514383254540735,,0.0481999481999482
B3GALNT1,,,0.9154229834623748
B3GALNT2,0.7697726548424724,0.758106409719313,
B3GAT2,0.5409191805700534,,0.5082080549208577
B3GNT2,0.45072851676625264,,0.44961084864349676
B3GNT5,0.7677376619061285,,
B3GNT9,,1.0,1.0
B4GALT1,0.1437544756128827,0.1796203796203796,0.17569200558891282
B4GALT2,0.11269320360229451,,0.08491268347037577
BACE2,0.16763937816569394,,0.11232309357309357
BACH2,0.8419068005417542,,0.7720624135903273
BAHCC1,,,1.0
BAMBI,,0.07264377413631146,0.0444416141627297
BATF3,0.2246367667420299,0.29144508186424356,0.19505740161477866
BBIP1,1.0,,1.0
BBS2,1.0,,1.0
BCAM,0.12590703414232826,0.16324545020197193,0.06694967082778717
BCAT1,1.0,,
BCL10,0.05902977331548761,,
BCL2L1,0.5205395627390512,,
BCL6,0.15109036262882417,0.19468531468531472,0.1345663859949574
BDKRB2,,,0.05362906324444786
BEND7,1.0,,1.0
BEST1,,,1.0
BET1L,1.0,,1.0
BEX1,,,0.39372782605865314
BEX5,,1.0,1.0
BGN,,,0.09316879020751459
BHLHE22,0.4586613386613386,,0.4146782585444295
BHLHE40,0.6377677941988488,,0.6003057417744243
BICDL1,,1.0,
BICRA,1.0,,
BIRC2,0.05482632121976384,,
BLOC1S6,0.16402559516331974,,
BLVRB,,,1.0
BMP1,,0.09327258107745914,
BMP3,0.04514383254540735,,
BMP7,0.04718738052071385,0.05489247594510752,0.04364180420518449
BMPR1B,,,0.04364180420518449
BNC2,,,0.7180908070695734
BNIP3,0.09867035138774269,,
BNIP3L,0.415454111106285,0.36486285991236483,
BOC,,0.05489247594510752,0.04364180420518449
BPNT1,1.0,,
BRD9,1.0,,
BRSK2,0.43481178222322636,,0.47906939396301096
BRWD1,,1.0,
BSDC1,,0.7749526015779886,
BSG,,,0.13228502266963804
BSPRY,0.9536926252042531,,0.8567469396962485
BST2,0.06417835895447836,,0.056337601792147245
BTBD1,1.0,,
BTBD11,0.7697726548424724,,0.7481005050726166
BTF3L4,1.0,,
BTG2,0.8707784151332537,,0.811165070670774
BTN2A1,0.12590703414232826,,0.11075732777860438
BTN2A2,0.09229690763781674,,0.06694967082778717
BTN3A1,0.08966986093085799,,0.04364180420518449
BTN3A2,0.08966986093085799,,0.09893432509840493
BUD31,1.0,,
C11orf54,1.0,,
C11orf68,1.0,,1.0
C11orf87,0.8580399192644089,,0.8036631955940313
C12orf45,1.0,,1.0
C12orf66,1.0,1.0,
C15orf39,0.24773374773374776,,0.2273562350961732
C15orf40,1.0,,1.0
C16orf89,,1.0,
