,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.12399688223864049,,0.11169427587338036
ABCB1,0.25074925074925075,,0.27965710179148917
ABCD4,,,0.5828825905552248
ABHD14B,,,0.4019050256674019
ABI3,1.0,,1.0
ABI3BP,0.7827442827442826,,0.7545903877781607
ACAP3,,,0.7781338832840978
ACSL5,0.12399688223864049,,0.11169427587338036
ACTA2,0.29770935778002916,,0.28782755705832624
ACTN4,,,1.0
ADA2,0.12399688223864049,,0.11169427587338036
ADAM19,0.12399688223864049,,
ADAM9,,,0.11169427587338036
ADAMTS14,,0.22377622377622378,
ADAMTS4,0.23268680472070302,,0.2222826678272223
ADAMTSL4,,,0.11169427587338036
ADAR,0.5938798044061201,,
ADCY7,1.0,,1.0
ADGRA2,,,1.0
ADGRA3,0.4215007512594644,,
ADGRG5,0.15623607162068698,,
ADM,0.16119594691023265,,
AEBP1,,,0.42301928840390374
AFF2,0.8678710178710178,,
AGO1,1.0,,
AGT,,,0.8870164041190197
AHNAK,0.563311107497154,,
AHRR,0.8312831633657148,,0.8542570831230626
AKAP10,0.28455813849072276,,
AKAP11,,0.8361368361368361,
AKAP12,,,0.6722013070461758
AKAP8L,,,1.0
AKNA,,,1.0
ALDH1A3,,,0.1122176792279885
ALDH1L1,0.1774533159148544,,0.18417494108101842
ALDOA,0.3550983178312371,,
ALDOC,0.6296716676180962,,
ALG13,0.7418411627897794,,
ALG8,,0.27622377622377625,
ALKBH5,0.7418411627897794,,
ALOX5AP,0.12399688223864049,,0.11169427587338036
AMOT,1.0,,
AMPD3,0.6332954350771722,,0.6268301722847178
ANGPTL2,,0.29836829836829837,
ANGPTL4,,,0.12683926243248278
ANKRD13B,,,0.18417494108101842
ANKRD28,,,0.688267340136499
ANKRD37,0.3805488629018041,,0.4249381387842926
ANTXR1,0.3805488629018041,0.37617554858934166,
ANXA1,0.1314607722374713,,0.12643109103286093
ANXA11,0.771273473608104,,0.7932237974791166
ANXA2,,,0.20444840133959308
ANXA6,,,0.6487155875908932
AOAH,0.2788254216825645,,0.2520827386898815
AP1S2,1.0,,1.0
APBB1IP,1.0,,1.0
APOBEC3C,0.39648385802231956,,0.3740589307599617
APOBEC3F,1.0,,1.0
APOD,,,0.11169427587338036
APOL2,0.22665980307901704,,
APOL3,0.12399688223864049,,0.11169427587338036
APOL6,0.16958186322348173,,0.18417494108101842
AQP3,0.17630806693306691,,0.18417494108101842
ARAP2,1.0,,1.0
ARF6,1.0,,
ARHGAP30,1.0,,1.0
ARHGAP9,1.0,,1.0
ARHGDIB,0.18716212017647427,,0.18417494108101842
ARHGEF1,1.0,,1.0
ARHGEF26,1.0,,1.0
ARHGEF3,,,1.0
ARHGEF40,,1.0,
ARHGEF6,0.7197432197432198,,0.7260810937940982
ARL4C,1.0,,
ARL4D,,,1.0
ARMCX4,,,0.5718882659756696
ARPC2,1.0,,
ARPP21,1.0,,
ARRDC2,0.5069495721669635,,0.5263525947736474
ART3,0.4715582924538149,,
ATG4B,,,0.15007051771757654
ATP10A,1.0,,1.0
ATP1B2,0.8312831633657148,,0.8647184437738853
ATP8A1,,0.46503496503496505,
ATXN1,0.37497365020300805,,0.3807932681652818
B2M,0.3881861578654582,,0.4249381387842926
B3GALNT2,,0.2877122877122877,
B3GAT2,,,1.0
B3GNT2,0.12399688223864049,,0.12369448733085096
B4GALT1,,,0.9870534090187268
BACE2,,,0.24230563956591353
BAMBI,,0.2573426573426573,0.156620358059207
BATF3,0.12399688223864049,,0.11228577247994724
BBS2,,,0.17234765234765234
BCAM,0.56549482999599,,
BCL6,0.12399688223864049,,0.11169427587338036
BDKRB2,,,0.16063103563103565
BEND7,1.0,,
BET1L,,,1.0
BGN,,,0.5922579958112952
BHLHE22,0.9577725845582988,,
BHLHE40,0.5181754112870504,,0.4840736186890033
BMP7,1.0,,
BOC,,0.2703962703962704,
BRSK2,,,0.8436532152607309
BST2,0.16766967971787247,,0.1654831654831655
BTBD1,1.0,,
BTBD11,1.0,,1.0
BTN2A1,0.17390673842286747,,
BTN2A2,0.40976097073658047,,0.4569010870786019
BTN3A1,0.8395873789132217,,0.8721339512414564
BTN3A2,0.33838976557423156,,0.33767692161852747
C1QL1,0.34608203298299145,,0.29780031289465253
C1R,0.12399688223864049,,0.11169427587338036
C1orf226,1.0,,
C3,0.18716212017647427,,0.21302939484757666
C3AR1,0.21347571347571348,,
C9orf64,,,1.0
CABIN1,0.27033903596403597,,0.25286218206572186
CACNG5,0.6792926900685521,,0.688267340136499
CAD,0.8312831633657148,,
CADPS,0.7418411627897794,,
CALHM2,1.0,,1.0
CAP1,0.7478314249351432,,0.7216904716904717
CAPG,0.40976097073658047,,0.4249381387842926
CAPRIN2,,,0.3186627498895157
CARMIL2,1.0,,
CASP1,0.12399688223864049,,0.11169427587338036
CASP10,0.12399688223864049,,0.11169427587338036
CASP7,0.12399688223864049,,
CAST,0.6506369447545918,,0.6102364971711706
CAVIN1,,,0.47276452361198124
CBS,0.29880224305311415,,
CCDC80,,,0.11169427587338036
CCDC85C,0.8797004100871503,,
CCL19,0.17630806693306691,,0.18417494108101842
CCL2,0.147983164376607,,0.1122176792279885
CCL28,0.15623607162068698,,
CCL4,0.17390673842286747,,
CCL5,0.12399688223864049,,0.11169427587338036
CCND3,0.32239189382046524,,0.31731328373119416
CCR1,0.1314607722374713,,
CCR2,0.16814949756126227,,0.1454118400683286
CCR5,0.15166285327575652,,0.13606393606393605
CD164,,,0.565161401098901
CD2,0.37033735495273956,,0.39101430131330467
CD200R1,0.4715582924538149,,0.4758415741561809
CD27,0.18347506152384202,,0.18417494108101842
CD274,0.5953162483774729,,0.6248862248862249
CD276,,0.27622377622377625,
CD300A,1.0,,
CD37,0.1314607722374713,,0.1122176792279885
CD3E,0.7418411627897794,,0.7421669239851058
CD4,0.3805488629018041,,0.42465814440336735
CD44,0.12399688223864049,,0.11169427587338036
CD47,0.3805488629018041,,
CD48,0.17630806693306691,,0.18417494108101842
CD53,0.16766967971787247,,0.18417494108101842
CD6,0.3795328538530956,,0.4474174474174474
CD74,0.12399688223864049,,0.11169427587338036
CD84,1.0,,1.0
CD86,0.12399688223864049,,
CD8A,0.4805513896422987,,0.5251273925013978
CDC42EP1,,,0.3919722661444516
CDC42SE2,1.0,,
CDH13,1.0,,1.0
CDH2,1.0,,
CDH6,1.0,,1.0
CDK10,,,0.3751077689433854
CDK5RAP2,,0.27622377622377625,
CDK6,0.3805488629018041,,
CDKN2D,0.16264816264816265,,
CEACAM21,0.44388509662661096,,0.45946227685358115
CEBPD,0.12399688223864049,,0.11169427587338036
CEMIP,1.0,,1.0
CEP78,0.6367711236132289,,0.6538352158790115
CFB,,,0.7159628526371123
CFLAR,0.12399688223864049,,0.11169427587338036
CGAS,0.28316550369782306,,0.27818739964488953
CHD7,0.3423691692922462,,
CHI3L1,,,0.11169427587338036
CHI3L2,0.12399688223864049,,0.11169427587338036
CHPF,1.0,,1.0
CIB1,0.16040577069988834,,0.12683926243248278
CISH,0.6099306099306099,,0.5773995235533698
CLCN6,,,1.0
CLDND1,1.0,,
CLEC2B,0.4715582924538149,,0.48353299592969007
CLIC5,0.525154091191827,,0.5248702909993233
CLN6,,0.27622377622377625,
CLSTN2,,,1.0
CLVS2,,,0.3838290088290089
CMPK2,0.24872707937224067,,
CMTM7,0.29880224305311415,,0.2882270401354371
CNKSR2,,,1.0
CNR1,,,1.0
CNTNAP1,1.0,,1.0
COL4A5,0.22665980307901704,0.27622377622377625,
COL4A6,0.29770935778002916,0.2877122877122877,
COQ10B,0.542604936047559,,
