,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.04985590325904462,,0.05182674468388754
AADAT,1.0,,1.0
ABCA1,,,0.13666641577600483
ABCA5,,1.0,1.0
ABCB1,0.16543287221253322,0.23238512639434297,0.17589683044228496
ABCB8,,,1.0
ABCD4,1.0,,1.0
ABHD14B,1.0,,1.0
ABHD2,,,1.0
ABI3,0.2634018642422004,,0.30304421115876967
ABI3BP,0.04578114193498809,,0.047656776720816134
ABL1,0.19525584825269368,0.234093179547725,
ABLIM1,0.6723363092239173,,0.6215470733054143
ABRACL,1.0,,
ACACB,1.0,,1.0
ACAP3,1.0,,0.9342863461839365
ACAT2,,1.0,1.0
ACBD4,1.0,,1.0
ACER3,1.0,,1.0
ACIN1,1.0,,
ACKR3,,,0.08561350154270508
ACO1,,1.0,
ACOT8,1.0,,
ACSL4,,0.0587905245439492,
ACSL5,0.04761238761238761,,0.047656776720816134
ACSL6,0.04578114193498809,,0.047656776720816134
ACSS3,,,0.6285701708363578
ACTA2,0.07702003878474467,,0.0822646741014088
ACTB,,1.0,1.0
ACTG1,1.0,1.0,
ACTL6A,1.0,,
ACTN1,,0.14347280626350392,0.13343897481828515
ACTN2,,,0.39875318646870367
ACTN4,0.552869188075975,,0.5260821949946107
ACTR10,1.0,,1.0
ACTR2,1.0,,
ACVR1C,,,0.047656776720816134
ACVR2B,0.055795766733266736,,0.047656776720816134
ADA2,0.357243009197612,,0.3277516875647717
ADAM12,,,0.22560155893489225
ADAM19,1.0,,1.0
ADAM22,,0.26711877334283973,0.23415973946477925
ADAM33,0.16543287221253322,0.1992578849721707,
ADAM9,0.15288381343427215,0.14347280626350392,0.12435968287032118
ADAMTS1,,0.09148990544339382,0.07706264323911384
ADAMTS10,0.9860099610301063,,
ADAMTS12,,0.9476826675270256,0.879827432520641
ADAMTS14,0.5064036840352629,0.5350252964193983,
ADAMTS4,0.645868333429548,,0.5513276592075842
ADAMTS7,0.7510810222987344,,
ADAMTS8,,0.9606440071556351,
ADAMTS9,0.05313882546025403,0.09148990544339382,
ADAMTSL4,,,0.47550952041970007
ADAR,0.9893731670259003,,0.9706621271903172
ADCK1,,,1.0
ADCY3,,,0.15739974311402882
ADCY4,0.2891440543262406,,0.3052019409162266
ADCY7,0.2551862805741508,,0.2549147510587099
ADCY9,0.369661394506115,,0.40568085760393446
ADCYAP1,0.07957502107919935,,
ADD3,1.0,,1.0
ADGRA2,,,0.23049567881782648
ADGRA3,0.0645591696439154,0.0587905245439492,0.05182674468388754
ADGRB1,,,0.0822646741014088
ADGRG5,0.13563450302153643,,0.10952066801123404
ADM,0.04578114193498809,,0.047656776720816134
ADM2,,0.4512605042016806,0.37538957716341315
ADORA1,0.15129169895525035,,
ADORA2B,0.055795766733266736,,0.047656776720816134
ADPRH,1.0,,0.9884482233524943
ADRA2C,,,0.05550842600022929
ADSL,1.0,,1.0
ADTRP,0.16446420591498312,,0.15287629712265047
AEBP1,,0.04768564768564769,0.047656776720816134
AES,1.0,,1.0
AFF1,0.7607488929802979,,0.7014933118829222
AFF2,0.12322046483537168,,0.08842125616319166
AGAP9,1.0,,1.0
AGFG2,1.0,,1.0
AGMAT,1.0,,1.0
AGO1,1.0,1.0,
AGO3,1.0,,1.0
AGPAT2,,,1.0
AGPAT3,,1.0,1.0
AGT,,,0.06910232624518339
AGTPBP1,0.9830897847092178,1.0,
AHCYL2,,,1.0
AHI1,1.0,,
AHNAK,1.0,,1.0
AHRR,1.0,,1.0
AIF1,0.04985590325904462,,0.047656776720816134
AIF1L,1.0,,
AK2,1.0,,1.0
AK5,,,0.23673945102516528
AKAP1,0.16543287221253322,,0.20242095566770893
AKAP10,1.0,,1.0
AKAP11,,1.0,
AKAP12,1.0,,1.0
AKAP7,1.0,,1.0
AKAP8L,1.0,1.0,1.0
AKIRIN2,1.0,,1.0
AKNA,1.0,,1.0
AKR1B1,1.0,,1.0
AKT2,,,0.6755932333865784
ALAS1,,,0.4073669974093703
ALDH1A2,,,0.7704678264878934
ALDH1A3,,,1.0
ALDH1L1,1.0,,1.0
ALDH2,1.0,,1.0
ALDH6A1,1.0,,
ALDOA,1.0,,1.0
ALDOC,1.0,1.0,
ALG13,1.0,,1.0
ALG8,,0.6769658912516056,
ALG9,0.5064036840352629,,
ALKBH2,,,1.0
ALKBH5,1.0,,1.0
ALOX5,0.22823047159330342,,
ALOX5AP,0.0645591696439154,0.07732807732807732,0.05550842600022929
ALPK1,1.0,,
AMBRA1,,,1.0
AMER2,,0.4829700214315599,
AMFR,,,1.0
AMMECR1,0.19838494838494838,,
AMOT,1.0,,1.0
AMOTL1,1.0,1.0,
AMOTL2,,0.04768564768564769,
AMPD3,1.0,,1.0
AMZ1,0.7695591953833713,,
ANAPC10,,1.0,
ANGEL1,1.0,1.0,
ANGPT1,0.07957502107919935,,0.09242986313050008
ANGPTL2,,0.3187681883334057,0.22735983362686357
ANGPTL4,0.2551862805741508,,0.18799138081649294
ANKDD1A,,0.3203343419170757,0.24059186886412018
ANKFY1,1.0,,1.0
ANKH,0.34227133585285063,,
ANKRD11,,1.0,
ANKRD13B,1.0,,1.0
ANKRD28,1.0,,1.0
ANKRD29,0.7935397935397935,,0.7000053672497347
ANKRD34A,1.0,,
ANKRD37,0.5632380238058471,,0.5354111537317644
ANKRD40,1.0,1.0,
ANKRD44,1.0,,
ANKRD46,,0.3146177131139537,
ANKRD55,0.4105499291128034,,
ANKS6,1.0,,
ANO6,,0.6760208764982035,
ANO8,0.07702003878474467,,0.06608145952408247
ANP32B,,,1.0
ANTXR1,0.06979014470871149,0.07152847152847153,
ANXA1,0.6928329304283503,,0.5991184318423807
ANXA11,1.0,,1.0
ANXA2,0.40539532930837285,,0.37208944901252594
ANXA3,,1.0,1.0
ANXA4,,,1.0
ANXA6,0.8198018439521124,0.8509421612869889,0.7930421943472514
AOAH,0.13563450302153643,,0.13666641577600483
AOC2,,1.0,
AP1G2,,1.0,
AP1S1,,1.0,1.0
AP1S2,1.0,,1.0
AP3B2,,,1.0
AP3D1,1.0,,
APBA2,0.1901453179408451,,0.1738124261060041
APBB1,0.07957502107919935,,
APBB1IP,0.8403418764334257,,0.7870301829318224
APBB3,,,0.1852066852066852
APCDD1,0.932326251154703,,
APLN,,,0.5719922535564994
APLP2,,0.14630823721732814,
APOBEC3C,0.49979854399743906,,0.47061664514021584
APOBEC3F,0.932326251154703,,0.9014038109130134
APOC1,,0.07152847152847153,
APOD,0.49409081484553186,,0.39875318646870367
APOL2,0.2800728683081624,,0.2717507211889234
APOL3,0.07257985916522502,,0.08842125616319166
APOL6,0.23353074451171085,,0.21340424281600756
APOO,,1.0,
APRT,,,1.0
AQP1,,0.6079920079920079,
AQP3,0.15288381343427215,,0.15287629712265047
ARAP1,1.0,,1.0
ARAP2,1.0,,1.0
ARF1,1.0,,
ARF3,1.0,,
ARF6,1.0,,1.0
ARFGAP1,1.0,,1.0
ARHGAP21,,,1.0
ARHGAP27,1.0,,1.0
ARHGAP29,,,1.0
ARHGAP30,1.0,,1.0
ARHGAP31,,1.0,1.0
ARHGAP33,,,1.0
ARHGAP9,1.0,,1.0
ARHGDIA,,,1.0
ARHGDIB,0.09822944046245018,,0.11517054374197232
ARHGEF1,1.0,,1.0
ARHGEF25,1.0,,
ARHGEF26,1.0,,1.0
ARHGEF28,1.0,,1.0
ARHGEF3,1.0,,1.0
ARHGEF39,1.0,,
ARHGEF40,1.0,1.0,
ARHGEF6,1.0,,1.0
ARID1A,,1.0,
ARID5B,,0.6193098041199308,
ARL10,1.0,,1.0
ARL13B,,,1.0
ARL4C,1.0,,1.0
ARL4D,1.0,,1.0
ARL6IP5,0.15982956972356266,,
ARMC7,,,1.0
ARMC9,,1.0,
ARMCX1,,1.0,
ARMCX4,1.0,,1.0
ARPC2,1.0,,1.0
ARPC3,1.0,,1.0
ARPC5,1.0,,
ARPIN,0.6323151575877046,0.6604636239672735,
ARPP21,0.9860099610301063,1.0,
ARRB1,1.0,,1.0
ARRB2,,,0.7690886519338404
ARRDC1,1.0,,
ARRDC2,0.4793373106084017,,0.4964829891516109
ARRDC3,,0.5217255272200327,
ARRDC4,0.720243940790595,,0.6710023953219739
ARSD,1.0,1.0,
ART3,1.0,1.0,1.0
ARVCF,,,0.0822646741014088
ASAH1,,0.28100470957613816,
ASAP2,1.0,,1.0
ASAP3,1.0,,
ASB13,0.4444563604423581,,
ASIC2,0.4129064715189117,,
ASNS,1.0,,1.0
ASNSD1,1.0,,
ASPHD2,0.9924027779449466,,
ASPSCR1,,,1.0
ASRGL1,,,1.0
ASXL2,,,1.0
ATAD1,,1.0,
ATAD5,1.0,,
ATE1,,,0.41410585213106227
ATF2,,0.781602503456808,0.7059417266671153
ATF3,,,0.14439292051232352
ATG4B,1.0,1.0,1.0
ATG5,1.0,,
ATG9B,,,1.0
ATIC,,,1.0
ATL3,0.8988052763562968,,0.8244275917943124
ATOH8,,1.0,1.0
ATP10A,0.9467929778895408,,0.8633706718813101
ATP10B,0.3213680159944904,,0.33591408591408595
ATP10D,1.0,,
ATP11A,0.4547558310504225,0.45622998702177586,
ATP11C,0.1295901678966195,0.15658935658935658,
ATP1B1,1.0,,
