,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.07099765905736055,,0.05168590274973253
AADAT,1.0,,1.0
AARS2,,1.0,
ABCA1,0.1982017982017982,,0.16622876428161548
ABCA5,,1.0,1.0
ABCB1,0.19277552418762794,0.2694738097723172,0.18169905974784026
ABCB8,,,1.0
ABCC8,,,0.6791335599385134
ABCD1,1.0,,
ABCD4,1.0,,1.0
ABHD14B,1.0,,1.0
ABHD2,,,1.0
ABHD6,,0.7333243679397525,
ABI3,0.3223351043420248,,0.2855995355995356
ABI3BP,0.05125908574184437,,0.04778827729647402
ABL1,0.2448825305968163,0.2068001928141788,
ABLIM1,0.6673125869105768,,0.6442176607922465
ABRACL,1.0,,
ACAA1,,,1.0
ACACB,1.0,,1.0
ACADM,,1.0,
ACAP3,1.0,,0.9780376281681765
ACAT2,,1.0,1.0
ACBD4,1.0,,1.0
ACER3,1.0,,1.0
ACIN1,1.0,,
ACKR1,,0.060444409958973065,
ACKR3,,,0.08520081171438165
ACO1,,1.0,
ACOT8,1.0,,
ACOT9,,,1.0
ACP2,,0.5258663666430657,
ACSF2,,,1.0
ACSL4,,0.060444409958973065,
ACSL5,0.05125908574184437,,0.04778827729647402
ACSL6,0.05125908574184437,,0.04778827729647402
ACSS3,0.6526156770059209,,0.5882565147271029
ACTA1,,0.8198921194579661,
ACTA2,0.10869130869130869,,0.07287712287712288
ACTB,,1.0,1.0
ACTG1,1.0,1.0,
ACTL6A,1.0,1.0,
ACTN1,,0.15440908298051156,0.12593166833166833
ACTN2,,,0.45298394475725373
ACTN4,0.5887182124805888,,0.5252629522484348
ACTR10,1.0,,1.0
ACTR2,1.0,,
ACTR3,1.0,,
ACVR1C,,0.060444409958973065,0.05091851380060987
ACVR2B,0.05125908574184437,,0.05168590274973253
ACYP2,,,0.9433994199050453
ADA2,0.4154177417993893,,0.3218153764777559
ADAM11,,0.549846415266976,
ADAM12,,,0.2011712246087246
ADAM19,1.0,,1.0
ADAM22,,0.321170892599464,0.26592576015208813
ADAM23,0.36796500323334935,,0.34223219128879506
ADAM33,0.1646454811011773,0.1831110066404184,
ADAM9,0.1619918542995466,0.1444799925812584,0.15677055502636897
ADAMTS1,,0.11557749181511559,0.08923729331892598
ADAMTS10,1.0,,
ADAMTS12,,0.9531383824788939,0.9212768363711761
ADAMTS14,0.48438585804439466,0.5443139091532285,
ADAMTS4,0.6195975653068473,,0.6019001241673306
ADAMTS7,0.7485531095982403,0.794434731934732,
ADAMTS8,,0.8777742202776591,
ADAMTS9,0.054802340516626226,0.06595099815438799,
ADAMTSL4,,0.6355029053990991,0.5126528643770023
ADAR,1.0,,0.9893851272264796
ADCK1,1.0,,1.0
ADCY3,,,0.15677055502636897
ADCY4,0.28736895562671216,,0.3186402342246498
ADCY7,0.28736895562671216,,0.24838593359303418
ADCY8,,,0.12833707173329814
ADCY9,0.3855694145083212,,0.4008957643535247
ADCYAP1,0.07350890867374385,,
ADD3,1.0,,1.0
ADGRA1,,,0.43439409699953285
ADGRA2,,,0.25671663215116286
ADGRA3,0.059223644881015405,0.07513865444899928,0.06494001048456495
ADGRB1,,,0.08114797408159294
ADGRG3,,,1.0
ADGRG5,0.14914851035252374,,0.1166033966033966
ADM,0.05125908574184437,,0.04778827729647402
ADM2,,0.43701438949819077,0.44143483478663537
ADNP,0.4445930468310936,,0.4038459101873736
ADORA1,0.1759454506040242,,
ADORA2B,0.061938061938061936,,0.049408218899744324
ADPGK,,,1.0
ADPRH,1.0,,1.0
ADRA1A,,,0.049408218899744324
ADRA2C,0.07099765905736055,,0.04778827729647402
ADSL,1.0,,1.0
ADSSL1,,1.0,
ADTRP,0.184441850616149,,0.13147350316868203
