,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.7018551740037151,,0.7103213242453749
AADAT,0.6428166428166427,,0.6458571368751009
AARS2,,0.7255601541315826,
ABCA1,0.8069028214166095,,0.7914257688013343
ABCA5,,1.0,0.976836214931453
ABCB1,0.7047175047175047,0.7819100330948672,0.7287712287712288
ABCB8,,,0.7103213242453749
ABCC8,,,1.0
ABCD1,1.0,,
ABCD4,1.0,,1.0
ABHD14B,1.0,,1.0
ABHD2,,,1.0
ABHD6,,1.0,
ABI3,1.0,,1.0
ABI3BP,0.8532284042488124,,0.8133352957342528
ABL1,1.0,1.0,
ABLIM1,1.0,,1.0
ABRACL,1.0,,
ACAA1,,,1.0
ACACB,1.0,,1.0
ACADM,,0.8243185386042529,
ACAP3,1.0,,1.0
ACAT2,,1.0,1.0
ACBD4,1.0,,0.9844804318488529
ACER3,0.8898624311468347,,0.8133352957342528
ACIN1,1.0,,
ACKR1,,0.7819100330948672,
ACKR3,,,1.0
ACO1,,1.0,
ACOT8,1.0,,
ACOT9,,,0.7339643729192423
ACP2,,0.7255601541315826,
ACSF2,,,1.0
ACSL4,,1.0,
ACSL5,1.0,,1.0
ACSL6,1.0,,1.0
ACSS3,0.708525119740073,,0.73637844410287
ACTA1,,1.0,
ACTA2,1.0,,1.0
ACTB,,0.8665160696822966,0.8197527567010543
ACTG1,0.7263645445463627,0.8253867344776435,
ACTL6A,1.0,1.0,
ACTN1,,0.8253867344776435,0.7836249771733642
ACTN2,,,1.0
ACTN4,1.0,,1.0
ACTR10,1.0,,1.0
ACTR2,1.0,,
ACTR3,0.9285038461030323,,
ACVR1C,,0.892315561899807,0.8414315153445587
ACVR2B,0.991008991008991,,0.9482153534198143
ACYP2,,,1.0
ADA2,1.0,,1.0
ADAM11,,1.0,
ADAM12,,,1.0
ADAM19,1.0,,1.0
ADAM22,,1.0,1.0
ADAM23,1.0,,1.0
ADAM33,0.7506157209127505,0.8253867344776435,
ADAM9,1.0,1.0,1.0
ADAMTS1,,0.816856901963285,0.7581177212049696
ADAMTS10,1.0,,
ADAMTS12,,1.0,1.0
ADAMTS14,1.0,1.0,
ADAMTS4,0.7045454545454546,,0.7129774250517286
ADAMTS7,0.8153871445010685,0.8704851849181746,
ADAMTS8,,1.0,
ADAMTS9,1.0,1.0,
ADAMTSL4,,0.7819100330948672,0.7339643729192423
ADAR,1.0,,1.0
ADCK1,1.0,,1.0
ADCY3,,,0.73637844410287
ADCY4,0.7047175047175047,,0.692591096846416
ADCY7,0.6860831476216092,,0.7328425764179954
ADCY8,,,0.7443979022926391
ADCY9,0.7152679956027236,,0.73637844410287
ADCYAP1,0.547036963036963,,
ADD3,1.0,,1.0
ADGRA1,,,0.6083655474959823
ADGRA2,,,1.0
ADGRA3,1.0,1.0,1.0
ADGRB1,,,1.0
ADGRG3,,,0.8871997567649741
ADGRG5,0.547036963036963,,0.6083655474959823
ADM,1.0,,1.0
ADM2,,0.9565971553801168,0.8871997567649741
ADNP,0.6632137093675555,,0.6727119034811342
ADORA1,1.0,,
ADORA2B,1.0,,1.0
ADPGK,,,0.692591096846416
ADPRH,1.0,,1.0
ADRA1A,,,1.0
ADRA2C,1.0,,1.0
ADSL,1.0,,1.0
ADSSL1,,1.0,
ADTRP,0.6428166428166427,,0.6458571368751009
AEBP1,,0.8656156677547052,0.8071954292426733
AES,1.0,,1.0
AFF1,1.0,,1.0
AFF2,1.0,,1.0
AGAP2,,1.0,
AGAP9,0.7263645445463627,,0.75333655108936
AGFG2,0.6428166428166427,,0.6458571368751009
AGMAT,1.0,,1.0
AGO1,0.8253956286301299,0.8656156677547052,
AGO3,0.8037543851497341,,0.8022784132294218
AGPAT2,,1.0,1.0
AGPAT3,,0.9785106838152023,0.8871997567649741
AGT,,,0.6083655474959823
AGTPBP1,0.9285038461030323,0.9497482109727007,
AGTRAP,,,1.0
AHCY,1.0,,
