,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,1.0,,1.0
ABCA5,,,1.0
ABCB1,1.0,,1.0
ABCD4,,,1.0
ABHD14B,,,1.0
ABI3,1.0,,1.0
ABI3BP,1.0,,1.0
ABL1,1.0,1.0,
ABLIM1,,,1.0
ACAP3,,,1.0
ACBD4,1.0,,
ACSL5,0.9789654789654789,,0.8625245722019915
ACTA2,1.0,,1.0
ACTB,,1.0,
ACTN4,1.0,,1.0
ACVR2B,,,1.0
ADA2,1.0,,1.0
ADAM19,1.0,,
ADAM33,1.0,1.0,
ADAM9,,,1.0
ADAMTS1,,0.17682317682317683,
ADAMTS14,,1.0,
ADAMTS4,1.0,,1.0
ADAMTS7,0.989218573634158,,
ADAMTS9,1.0,,
ADAMTSL4,,,1.0
ADAR,1.0,,1.0
ADCY7,1.0,,1.0
ADD3,,,1.0
ADGRA2,,,1.0
ADGRA3,1.0,1.0,
ADGRG5,1.0,,1.0
ADM,1.0,,
ADM2,,1.0,
ADORA2B,1.0,,1.0
AEBP1,,,1.0
AFF2,1.0,,1.0
AGAP9,1.0,,
AGFG2,1.0,,
AGMAT,1.0,,1.0
AGO1,1.0,,
AGPAT2,,,1.0
AGT,,,1.0
AHNAK,1.0,,1.0
AHRR,1.0,,1.0
AIF1,1.0,,1.0
AKAP10,0.9473859473859474,,0.7847707847707848
AKAP11,,1.0,
AKAP12,,,1.0
AKAP7,1.0,,
AKAP8L,,1.0,1.0
AKNA,1.0,,1.0
ALDH1A3,,,1.0
ALDH1L1,1.0,,1.0
ALDOA,1.0,,
ALDOC,1.0,,
ALG13,1.0,,1.0
ALG8,,1.0,
ALKBH5,1.0,,
ALOX5AP,1.0,1.0,1.0
AMOT,1.0,,1.0
AMPD3,1.0,,1.0
ANGPT1,,,1.0
ANGPTL2,,1.0,1.0
ANGPTL4,,,1.0
ANKRD13B,0.9789654789654789,,0.8625245722019915
ANKRD28,1.0,,1.0
ANKRD29,,,1.0
