,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.6894909012556071,,0.7136096227005317
AADAT,0.6115484515484515,,0.614180462394748
ABCA1,,,0.7950537583366957
ABCA5,,1.0,0.9027816563839619
ABCB1,0.7030761880260208,0.7512487512487512,0.7301576311477301
ABCD4,1.0,,1.0
ABHD14B,1.0,,1.0
ABHD2,,,1.0
ABI3,1.0,,1.0
ABI3BP,0.8374434554209834,,0.8190367137735559
ABL1,1.0,1.0,
ABLIM1,1.0,,1.0
ACACB,,,1.0
ACAP3,,,1.0
ACAT2,,,1.0
ACBD4,0.9542080297325054,,
ACER3,0.8754020173375011,,
ACKR3,,,1.0
ACO1,,1.0,
ACSL4,,1.0,
ACSL5,1.0,,1.0
ACSL6,1.0,,1.0
ACSS3,,,0.7301576311477301
ACTA2,1.0,,1.0
ACTB,,0.8763307698218942,0.8353572103572103
ACTG1,0.7361592489143509,0.8044847714269203,
ACTN1,,0.8701972873752015,
ACTN4,1.0,,1.0
ACTR10,1.0,,
ACTR2,1.0,,
ACVR1C,,,0.8353572103572103
ACVR2B,,,0.9257025914446165
ADA2,1.0,,1.0
ADAM19,1.0,,1.0
ADAM22,,,1.0
ADAM33,0.7634871332141803,0.8044847714269203,
ADAM9,1.0,1.0,1.0
ADAMTS1,,0.8464578899361508,
ADAMTS10,1.0,,
ADAMTS12,,1.0,1.0
ADAMTS14,1.0,1.0,
ADAMTS4,0.6974777047769748,,0.7136096227005317
ADAMTS7,0.818516091938654,,
ADAMTS8,,1.0,
ADAMTS9,1.0,1.0,
ADAMTSL4,,,0.7301576311477301
ADAR,1.0,,1.0
ADCY4,0.6903172872754623,,0.7301576311477301
ADCY7,0.6894909012556071,,0.7301576311477301
ADCY9,,,0.7301576311477301
ADD3,,,1.0
ADGRA2,,,1.0
ADGRA3,1.0,1.0,1.0
ADGRB1,,,1.0
ADGRG5,0.5761370981959217,,0.614180462394748
ADM,1.0,,1.0
ADM2,,0.9443690637720488,0.8543532803074787
ADORA2B,1.0,,1.0
ADPRH,1.0,,1.0
ADSL,1.0,,1.0
ADTRP,0.6115484515484515,,0.6639788782645926
AEBP1,,,0.8190367137735559
AES,1.0,,
AFF1,,,1.0
AFF2,1.0,,1.0
AGAP9,0.7361592489143509,,0.7340297243209865
AGFG2,0.6486119940665396,,0.644702072121427
AGMAT,1.0,,1.0
AGO1,0.818516091938654,0.8763307698218942,
AGPAT2,,,1.0
AGPAT3,,0.9928586697145648,0.843444095840262
AGT,,,0.614180462394748
AGTPBP1,0.9108659063410196,0.9804757454527038,
AHNAK,1.0,,1.0
AHRR,0.8898507742257743,,0.8521062271062271
AIF1,1.0,,1.0
AIF1L,0.7606324024234472,,
AK2,0.5761370981959217,,
AK5,,,1.0
AKAP10,1.0,,1.0
AKAP11,,1.0,
AKAP12,1.0,,1.0
AKAP7,0.6486119940665396,,0.6831782675156168
AKAP8L,0.763498756145815,0.8446664446664447,0.7720537219343903
AKIRIN2,,,0.7301576311477301
AKNA,1.0,,1.0
AKR1B1,0.7361592489143509,,0.7404601129529497
AKT2,,,1.0
ALDH1A3,,,1.0
ALDH1L1,1.0,,1.0
ALDOA,0.721835440101694,,
ALDOC,0.6630308467043161,0.6751509360205011,
ALG13,1.0,,1.0
ALG8,,1.0,
ALG9,0.5761370981959217,,
ALKBH5,0.7361592489143509,,0.7707493511513611
ALOX5,0.8155602359424016,,
ALOX5AP,1.0,1.0,1.0
ALPK1,1.0,,
AMMECR1,1.0,,
AMOT,0.818516091938654,,0.8353572103572103
AMOTL1,,0.7655374928102201,
AMPD3,1.0,,1.0
ANGEL1,0.7361592489143509,,
ANGPT1,0.5761370981959217,,0.614180462394748
ANGPTL2,,0.7512487512487512,0.7301576311477301
ANGPTL4,,,0.7950537583366957
ANKDD1A,,1.0,1.0
ANKRD11,,1.0,
ANKRD13B,0.9460567800993334,,0.8999319521058653
ANKRD28,1.0,,1.0
ANKRD29,,,1.0
ANKRD34A,1.0,,
ANKRD37,1.0,,1.0
ANKRD40,0.5761370981959217,0.5214785214785215,
ANKRD44,1.0,,
ANKRD46,,0.6301198801198802,
ANKRD55,0.8878287067263446,,
ANKS6,1.0,,
ANO6,,0.6301198801198802,
ANO8,,,1.0
ANTXR1,0.8206011545706201,0.8701972873752015,
ANXA1,1.0,,1.0
ANXA11,1.0,,1.0
ANXA2,1.0,,1.0
ANXA3,,1.0,0.9257345130797676
ANXA6,1.0,,1.0
AOAH,1.0,,1.0
AOC2,,0.9187954902240617,
AP1S1,,1.0,
AP1S2,1.0,,1.0
AP3B2,,,1.0
AP3D1,1.0,,
APBA2,0.9581987456987456,,0.9256918325068533
APBB1IP,1.0,,1.0
APBB3,,,0.8521062271062271
APCDD1,0.5761370981959217,,
APOBEC3C,0.9115297778002088,,0.8574119943982957
APOBEC3F,0.7959226128562513,,0.7804883795449834
APOD,,,0.6831782675156168
APOL2,0.6894909012556071,,0.7301576311477301
APOL3,1.0,,1.0
APOL6,0.7361592489143509,,0.7393074761495814
APRT,,,1.0
AQP3,1.0,,1.0
ARAP1,1.0,,1.0
ARAP2,1.0,,1.0
ARF1,1.0,,
ARF3,1.0,,
ARF6,1.0,,1.0
ARFGAP1,0.7011908954354998,,
ARHGAP21,,,1.0
ARHGAP27,1.0,,1.0
ARHGAP30,1.0,,1.0
ARHGAP31,,,1.0
ARHGAP9,1.0,,1.0
ARHGDIA,,,1.0
ARHGDIB,1.0,,1.0
ARHGEF1,1.0,,1.0
ARHGEF25,1.0,,
ARHGEF26,1.0,,1.0
ARHGEF3,1.0,,1.0
ARHGEF40,1.0,1.0,
ARHGEF6,1.0,,1.0
ARL10,1.0,,1.0
ARL4C,1.0,,1.0
ARL4D,1.0,,1.0
ARL6IP5,1.0,,
ARMCX4,0.7011908954354998,,0.7301576311477301
ARPC2,1.0,,1.0
ARPC3,1.0,,1.0
ARPC5,1.0,,
ARPIN,1.0,1.0,
ARPP21,1.0,,
ARRB1,0.8731699335147611,,0.8353572103572103
ARRDC2,0.5761370981959217,,0.614180462394748
ARRDC4,0.7030761880260208,,0.7393074761495814
