,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.9288453482001868,,0.9605438808978632
AADAT,1.0,,1.0
ABCA1,,,0.9513923576423575
ABCA5,,,1.0
ABCB1,1.0,,1.0
ABCD4,,,1.0
ABHD14B,1.0,,1.0
ABHD2,,,1.0
ABI3,1.0,,1.0
ABI3BP,1.0,,1.0
ABL1,1.0,1.0,
ABLIM1,,,1.0
ACAP3,,,1.0
ACBD4,1.0,,
ACER3,1.0,,
ACKR3,,,1.0
ACSL5,0.8527900670757814,,0.9383022041249889
ACSL6,,,0.9647132528488461
ACTA2,1.0,,1.0
ACTB,,1.0,1.0
ACTG1,1.0,,
ACTN4,1.0,,1.0
ACVR1C,,,1.0
ACVR2B,,,1.0
ADA2,1.0,,1.0
ADAM19,0.9363969363969364,,0.9720748001998002
ADAM22,,,1.0
ADAM33,1.0,1.0,
ADAM9,,,1.0
ADAMTS1,,0.11421911421911421,
ADAMTS14,,1.0,
ADAMTS4,1.0,,1.0
ADAMTS7,0.9288453482001868,,
ADAMTS9,1.0,,
ADAMTSL4,,,1.0
ADAR,1.0,,1.0
ADCY7,1.0,,1.0
ADD3,,,1.0
ADGRA2,,,1.0
ADGRA3,1.0,1.0,1.0
ADGRG5,1.0,,1.0
ADM,1.0,,
ADM2,,1.0,
ADORA2B,1.0,,1.0
ADPRH,,,1.0
ADSL,1.0,,1.0
AEBP1,,,1.0
AFF1,,,1.0
AFF2,1.0,,1.0
AGAP9,1.0,,
AGFG2,1.0,,
AGMAT,1.0,,1.0
AGO1,1.0,,
AGPAT2,,,1.0
AGT,,,1.0
AGTPBP1,,1.0,
AHNAK,1.0,,1.0
AHRR,1.0,,1.0
AIF1,1.0,,1.0
AK5,,,1.0
AKAP10,0.8527900670757814,,0.6066849816849818
AKAP11,,1.0,
AKAP12,1.0,,1.0
AKAP7,1.0,,1.0
AKAP8L,1.0,1.0,1.0
AKNA,1.0,,1.0
AKR1B1,,,1.0
ALDH1A3,,,1.0
ALDH1L1,1.0,,1.0
ALDOA,1.0,,
ALDOC,1.0,1.0,
ALG13,0.9330526616240903,,0.9513923576423575
ALG8,,1.0,
ALKBH5,1.0,,1.0
ALOX5,1.0,,
ALOX5AP,1.0,1.0,1.0
AMOT,1.0,,1.0
AMPD3,1.0,,1.0
ANGEL1,1.0,,
ANGPT1,1.0,,1.0
ANGPTL2,,1.0,1.0
ANGPTL4,,,1.0
ANKDD1A,,,1.0
ANKRD11,,1.0,
ANKRD13B,0.8527900670757814,,0.9513923576423575
ANKRD28,1.0,,1.0
ANKRD29,,,1.0
ANKRD34A,1.0,,
ANKRD37,1.0,,1.0
ANKRD40,,1.0,
ANKRD44,1.0,,
ANKS6,1.0,,
ANO6,,1.0,
ANO8,,,0.9513923576423575
ANTXR1,1.0,1.0,
ANXA1,0.8527900670757814,,0.8603896103896105
ANXA11,0.9330526616240903,,0.9616451924144231
ANXA2,1.0,,1.0
ANXA3,,0.8938887199756765,
ANXA6,1.0,,1.0
AOAH,0.8527900670757814,,0.9383022041249889
AP1S2,1.0,,1.0
AP3B2,,,1.0
APBB1IP,1.0,,1.0
APOBEC3C,1.0,,1.0
APOBEC3F,1.0,,1.0
APOD,,,1.0
APOL2,1.0,,
APOL3,1.0,,1.0
APOL6,1.0,,1.0
APRT,,,1.0
AQP3,1.0,,1.0
ARAP1,,,1.0
ARAP2,1.0,,1.0
ARF6,1.0,,1.0
ARHGAP21,,,1.0
ARHGAP27,1.0,,1.0
ARHGAP30,1.0,,1.0
ARHGAP31,,,1.0
ARHGAP9,1.0,,1.0
ARHGDIA,,,1.0
ARHGDIB,1.0,,1.0
ARHGEF1,1.0,,1.0
ARHGEF26,1.0,,1.0
ARHGEF3,1.0,,1.0
ARHGEF40,1.0,1.0,
ARHGEF6,1.0,,1.0
ARL10,,,1.0
ARL4C,1.0,,1.0
ARL4D,1.0,,1.0
ARL6IP5,1.0,,
ARMCX4,1.0,,1.0
ARPC2,1.0,,1.0
ARPC3,1.0,,
ARPC5,0.9288453482001868,,
ARPIN,1.0,,
ARPP21,1.0,,
ARRB1,,,1.0
ARRDC2,1.0,,1.0
ARRDC4,,,1.0
ARSD,,1.0,
ART3,1.0,1.0,
ASAP2,1.0,,1.0
ASPHD2,1.0,,
ATF2,,1.0,
ATF3,,,1.0
ATG4B,,,0.18909661766804622
ATL3,1.0,,
ATP10A,1.0,,1.0
ATP11A,1.0,,
ATP11C,1.0,,
ATP1B2,1.0,,1.0
ATP1B3,,,1.0
ATP5S,1.0,,1.0
ATP6V1B2,0.8527900670757814,,
ATP7B,1.0,,
ATP8A1,,1.0,
ATXN1,1.0,,1.0
AXL,,1.0,
B2M,1.0,,1.0
B3GALNT2,1.0,1.0,
B3GAT2,1.0,,1.0
B3GNT2,1.0,,1.0
B3GNT5,1.0,,
B3GNT9,,,1.0
B4GALT1,,1.0,1.0
B4GALT2,,,0.9513923576423575
BACE2,,,0.6066849816849818
BACH2,1.0,,
BAMBI,,1.0,1.0
BATF3,1.0,,1.0
BBIP1,1.0,,1.0
BBS2,,,1.0
BCAM,1.0,,
BCL6,1.0,,1.0
BDKRB2,,,1.0
BEND7,1.0,,
BET1L,,,0.4412254412254413
BGN,,,1.0
BHLHE22,1.0,,1.0
BHLHE40,1.0,,1.0
BICDL1,,1.0,
BLVRB,,,1.0
