,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.12847656545135538,,0.14755086183657615
AADAT,0.33827668681683276,,0.37954778785228616
ABCA1,,,1.0
ABCA5,,0.626267349671605,0.5436476880520201
ABCB1,0.334081332201633,0.40060601650005623,0.36186848865420296
ABCD4,0.7081087333718913,,0.6401945602372042
ABHD14B,0.46915774932418486,,0.46679727199207716
ABHD2,,,1.0
ABI3,1.0,,1.0
ABI3BP,0.8777098118519262,,0.8478588426369106
ABL1,0.27051943490299657,0.3531706388849246,
ABLIM1,1.0,,1.0
ACACB,,,0.8435892205525712
ACAP3,,,0.8637459259220918
ACAT2,,,0.45663108821003556
ACBD4,1.0,,
ACER3,1.0,,
ACKR3,,,0.48531789495644917
ACO1,,0.25108225108225113,
ACSL4,,0.4025448235974552,
ACSL5,0.12847656545135538,,0.16547327018531208
ACSL6,0.14405192797152597,,0.16901280537644175
ACSS3,,,0.14755086183657615
ACTA2,0.3542838623052527,,0.3503231842784082
ACTB,,1.0,1.0
ACTG1,1.0,1.0,
ACTN1,,1.0,
ACTN4,1.0,,1.0
ACTR10,1.0,,
ACTR2,1.0,,
ACVR1C,,,1.0
ACVR2B,,,0.7374652771322703
ADA2,0.12932180601353535,,0.16547327018531208
ADAM19,0.12847656545135538,,0.14755086183657615
ADAM22,,,0.18591408591408592
ADAM33,0.12847656545135538,0.17382617382617382,
ADAM9,0.12847656545135538,0.18962855326491687,0.14755086183657615
ADAMTS1,,0.14899386327957756,
ADAMTS10,0.12847656545135538,,
ADAMTS12,,0.25108225108225113,0.17539064708876032
ADAMTS14,0.12932180601353535,0.2472194472194472,
ADAMTS4,0.26592982489208905,,0.2889205389205389
ADAMTS7,0.16059570681419422,,
ADAMTS8,,0.18962855326491687,
ADAMTS9,0.13553822064460364,0.2185243328100471,
ADAMTSL4,,,0.13943556443556443
ADAR,0.7365251381478563,,0.6575487670224512
ADCY4,1.0,,1.0
ADCY7,1.0,,1.0
ADCY9,,,1.0
ADD3,,,1.0
ADGRA2,,,1.0
ADGRA3,0.501598139393415,0.5735587369828614,0.5096486525057954
ADGRB1,,,0.5030616442381148
ADGRG5,0.18166244401985848,,0.2152060158491027
ADM,0.22172854769539851,,0.18998519728446733
ADM2,,0.9604208740899389,0.9071245157839664
ADORA2B,0.48036881596664205,,0.4744548100997477
ADPRH,1.0,,1.0
ADSL,0.8659359921410755,,0.8210927313261245
ADTRP,1.0,,1.0
AEBP1,,,0.47073552336710234
AES,0.7198898915860416,,
AFF1,,,0.5328165069862487
AFF2,0.9459890109890109,,0.9439179829106716
AGAP9,0.4073314506006813,,0.417784462728283
AGFG2,1.0,,1.0
AGMAT,0.609458878251589,,0.5947587088526686
AGO1,1.0,1.0,
AGPAT2,,,0.13943556443556443
AGPAT3,,1.0,1.0
AGT,,,0.9805159098248851
AGTPBP1,1.0,1.0,
AHNAK,0.6650002028706749,,0.6757041726240905
AHRR,0.9314145450509087,,0.9341495942481164
AIF1,0.20409687399978663,,0.16547327018531208
AIF1L,0.8312106455873517,,
AK2,0.783382489769525,,
AK5,,,1.0
AKAP10,0.3427496416626851,,0.3319894391322963
AKAP11,,0.9270729270729271,
AKAP12,0.7741119639853817,,0.7363655951891246
AKAP7,0.34715823744600727,,0.39172533152466266
AKAP8L,1.0,1.0,1.0
AKIRIN2,,,0.836695576748627
AKNA,1.0,,1.0
AKR1B1,0.12932180601353535,,0.16166442253398774
AKT2,,,0.6264496373192026
ALDH1A3,,,0.16547327018531208
ALDH1L1,0.24069129862580746,,0.23369089011547112
ALDOA,0.43341285807039237,,
ALDOC,0.7257798960585339,0.7215426083350611,
ALG13,0.851071595071595,,0.840032121993593
ALG8,,0.3952759569197925,
ALG9,0.46644429489617767,,
ALKBH5,0.8506988105560809,,0.836695576748627
ALOX5,0.12847656545135538,,
ALOX5AP,0.12847656545135538,0.14899386327957756,0.13943556443556443
ALPK1,1.0,,
AMMECR1,0.598042834763389,,
AMOT,1.0,,1.0
AMOTL1,,1.0,
AMPD3,0.7098903195440447,,0.7140580812222602
ANGEL1,0.7958409471014514,,
ANGPT1,0.45735461120076504,,0.4486614441365573
ANGPTL2,,0.42241629338403536,0.4187521743432287
ANGPTL4,,,0.17231061621305524
ANKDD1A,,0.7278971028971029,0.6757041726240905
ANKRD11,,0.9600231094206999,
ANKRD13B,0.2161350554207697,,0.2152060158491027
ANKRD28,0.7744646024529407,,0.6953036882472367
ANKRD29,,,1.0
ANKRD34A,1.0,,
ANKRD37,0.46644429489617767,,0.4725749111223972
ANKRD40,0.12847656545135538,0.2185243328100471,
ANKRD44,1.0,,
ANKRD46,,0.48965119387654604,
ANKRD55,1.0,,
ANKS6,0.7791362483670176,,
ANO6,,0.8640319680319679,
ANO8,,,0.18591408591408592
ANTXR1,0.4608299501916523,0.5645874125874126,
ANXA1,0.17091039042258555,,0.18195846706485003
ANXA11,0.8650191913349808,,0.836695576748627
ANXA2,0.27721289699311674,,0.25499438217642706
ANXA3,,0.33873818489203106,0.23104929752328596
ANXA6,0.7365251381478563,,0.7062866781459746
AOAH,0.3223066615923758,,0.3187098615670044
AOC2,,1.0,
AP1S1,,1.0,
AP1S2,1.0,,1.0
AP3B2,,,1.0
AP3D1,1.0,,
APBA2,1.0,,1.0
APBB1IP,1.0,,1.0
APBB3,,,0.709041709041709
APCDD1,0.12847656545135538,,
APOBEC3C,0.45942251205409096,,0.4720371826754805
APOBEC3F,1.0,,1.0
APOD,,,0.13943556443556443
APOL2,0.27051943490299657,,0.3085548904876636
APOL3,0.150627697425727,,0.16901280537644175
APOL6,0.22172854769539851,,0.1970820698735893
APRT,,,0.49299117768774764
AQP3,0.22330658471962822,,0.2427076839609477
ARAP1,1.0,,1.0
ARAP2,1.0,,1.0
ARF1,1.0,,
ARF3,1.0,,
ARF6,1.0,,1.0
ARFGAP1,1.0,,
ARHGAP21,,,1.0
ARHGAP27,1.0,,1.0
ARHGAP30,1.0,,1.0
ARHGAP31,,,1.0
ARHGAP9,1.0,,1.0
ARHGDIA,,,1.0
ARHGDIB,0.22172854769539851,,0.22821788989453662
ARHGEF1,1.0,,1.0
ARHGEF25,1.0,,
ARHGEF26,1.0,,1.0
ARHGEF3,1.0,,1.0
ARHGEF40,1.0,1.0,
ARHGEF6,0.8312106455873517,,0.8210927313261245
ARL10,1.0,,1.0
ARL4C,1.0,,1.0
ARL4D,1.0,,1.0
ARL6IP5,0.22172854769539851,,
ARMCX4,0.6532372494761876,,0.6557054350084974
ARPC2,1.0,,1.0
ARPC3,1.0,,1.0
ARPC5,1.0,,
ARPIN,1.0,1.0,
ARPP21,1.0,,
ARRB1,1.0,,1.0
ARRDC2,0.6197542570423926,,0.5741778313534915
ARRDC4,0.9362729707267523,,0.9409715386820865
ARSD,,0.6074223174594922,
ART3,0.5490292103984036,0.6157679958417966,0.5057248451030835
ARVCF,,,0.8538515210958885
ASAH1,,0.25108225108225113,
ASAP2,1.0,,1.0
ASAP3,1.0,,
ASNS,0.5392086066243369,,0.5479806589591792
ASPHD2,0.33111144975551754,,
ASRGL1,,,0.5046239474810903
ATAD1,,0.42732267732267737,
ATF2,,0.25108225108225113,
ATF3,,,0.18998519728446733
ATG4B,,0.2626706626706627,0.19393915437080905
ATL3,0.18166244401985848,,0.16901280537644175
ATOH8,,0.8012375436198151,
ATP10A,1.0,,1.0
ATP10B,1.0,,
ATP10D,1.0,,
ATP11A,0.7930125948817537,,
ATP11C,0.4418865376155508,,
ATP1B2,0.9515861106581901,,0.9164561579499338
ATP1B3,0.3750430456915098,,0.40943558888093967
ATP5S,0.8162854560654744,,0.806924649508817
ATP6V1B2,0.12847656545135538,,
ATP7B,0.12847656545135538,,
ATP8A1,,0.593743335316369,0.5479806589591792
ATXN1,0.43420854183186014,,0.4634380112640983
AUH,,1.0,
AUNIP,0.27051943490299657,,
AXL,,0.9897866839043309,
B2M,0.4790740594555308,,0.48531789495644917
B3GALNT1,,,1.0
B3GALNT2,0.3648138201553263,0.3952759569197925,
B3GAT2,1.0,,1.0
B3GNT2,0.12932180601353535,,0.16547327018531208
B3GNT5,1.0,,
B3GNT9,,0.2626706626706627,0.18730150446568358
B4GALT1,1.0,1.0,1.0
B4GALT2,1.0,,0.998157258753805
BACE2,0.3126525825912329,,0.33933833157134125
BACH2,0.27721289699311674,,0.2797318422318422
BAHCC1,,,0.9468822675300409
BAMBI,,0.25969211511380186,0.2152060158491027
BATF3,0.14360783724945575,0.25108225108225113,0.16547327018531208
BBIP1,1.0,,1.0
BBS2,0.20014782514782514,,0.16547327018531208
BCAM,0.7081087333718913,0.7215426083350611,0.6317468938828162
BCAT1,0.7365251381478563,,
BCL10,0.12847656545135538,,
BCL2L1,0.12847656545135538,,
BCL6,0.12847656545135538,0.24429624429624433,0.17231061621305524
BDKRB2,,,0.2008131241580719
BEND7,1.0,,1.0
BEST1,,,0.7780005103285028
BET1L,1.0,,1.0
BEX1,,,1.0
BEX5,,1.0,1.0
BGN,,,0.6519835106445095
BHLHE22,1.0,,0.998157258753805
BHLHE40,0.5744574951675544,,0.5599294822824235
BICDL1,,1.0,
BICRA,1.0,,
BIRC2,0.12847656545135538,,
BLOC1S6,1.0,,
BLVRB,,,0.4174807421980281
BMP1,,0.42241629338403536,
BMP3,1.0,,
BMP7,1.0,1.0,1.0
BMPR1B,,,0.6672849971605159
BNC2,,,0.56657479253076
BNIP3,0.12847656545135538,,
BNIP3L,0.12847656545135538,0.14899386327957756,
BOC,,0.25108225108225113,0.182866314013855
BPNT1,1.0,,
BRD9,0.6765837648190589,,
BRSK2,0.9515861106581901,,0.9387137452711224
BRWD1,,0.7859109728798114,
BSDC1,,0.8336078090846484,
BSG,,,0.182866314013855
