,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,1.0,,1.0
AADAT,0.6447746782093287,,0.7329305310074541
ABCA1,,,1.0
ABCA5,,1.0,1.0
ABCB1,1.0,1.0,1.0
ABCD4,0.5733266733266733,,0.6677196043393228
ABHD14B,1.0,,1.0
ABHD2,,,1.0
ABI3,1.0,,1.0
ABI3BP,1.0,,1.0
ABL1,1.0,1.0,
ABLIM1,1.0,,1.0
ACACB,,,0.8855149589746746
ACAP3,,,1.0
ACAT2,,,0.8618832623686993
ACBD4,0.504152289428363,,
ACER3,1.0,,
ACKR3,,,0.5328747685435583
ACO1,,0.3918990100808282,
ACSL4,,0.3918990100808282,
ACSL5,0.504152289428363,,0.4873476038524582
ACSL6,1.0,,1.0
ACSS3,,,1.0
ACTA2,1.0,,1.0
ACTB,,0.7830956921866012,0.9926266293881173
ACTG1,1.0,1.0,
ACTN1,,1.0,
ACTN4,1.0,,1.0
ACTR10,0.504152289428363,,
ACTR2,0.7940439841848294,,
ACVR1C,,,1.0
ACVR2B,,,1.0
ADA2,1.0,,1.0
ADAM19,1.0,,1.0
ADAM22,,,1.0
ADAM33,0.6447746782093287,0.5292617829931263,
ADAM9,1.0,1.0,1.0
ADAMTS1,,1.0,
ADAMTS10,0.9686855384301356,,
ADAMTS12,,1.0,1.0
ADAMTS14,0.504152289428363,0.3743948359332974,
ADAMTS4,1.0,,1.0
ADAMTS7,1.0,,
ADAMTS8,,0.53141144569716,
ADAMTS9,1.0,1.0,
ADAMTSL4,,,0.9942361985840247
ADAR,1.0,,1.0
ADCY4,1.0,,1.0
ADCY7,1.0,,1.0
ADCY9,,,1.0
ADD3,,,1.0
ADGRA2,,,1.0
ADGRA3,1.0,1.0,1.0
ADGRB1,,,1.0
ADGRG5,0.504152289428363,,0.5032260972110597
ADM,1.0,,1.0
ADM2,,1.0,1.0
ADORA2B,1.0,,1.0
ADPRH,1.0,,1.0
ADSL,0.6222149943080176,,0.7253697122549582
ADTRP,1.0,,1.0
AEBP1,,,1.0
AES,1.0,,
AFF1,,,1.0
