,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.020886217607529085,,0.018407335239018406
AADAT,1.0,,1.0
ABCA1,,,0.2586206444474161
ABCA5,,1.0,1.0
ABCB1,0.665636663446083,0.7083010447496428,0.5929358707136485
ABCD4,1.0,,1.0
ABHD14B,1.0,,1.0
ABHD2,,,1.0
ABI3,0.102306686889128,,0.09347635604618845
ABI3BP,0.03306382199115763,,0.024543113652024544
ABL1,0.09343101343101344,0.13906093906093905,
ABLIM1,0.4123928702876071,,0.3424733161575267
ACACB,,,1.0
ACAP3,,,0.16487793552013735
ACAT2,,,1.0
ACBD4,1.0,,
ACER3,1.0,,
ACKR3,,,0.052866564714905945
ACO1,,1.0,
ACSL4,,1.0,
ACSL5,1.0,,1.0
ACSL6,1.0,,1.0
ACSS3,,,1.0
ACTA2,0.029176929940288716,,0.01849891402130208
ACTB,,0.3876477504796089,0.26317708265760215
ACTG1,0.6433999333999335,0.7168980088234745,
ACTN1,,0.026073926073926074,
ACTN4,0.06722423305337878,,0.04975802786021764
ACTR10,1.0,,
ACTR2,0.8311597585058735,,
ACVR1C,,,0.06088889276662203
ACVR2B,,,0.04975802786021764
ADA2,0.32808393323414786,,0.267984267984268
ADAM19,0.018554261272707873,,0.018407335239018406
ADAM22,,,0.01849891402130208
ADAM33,0.018554261272707873,0.021393990624759857,
ADAM9,0.018554261272707873,0.029587433842752992,0.018407335239018406
ADAMTS1,,0.019314019314019316,
ADAMTS10,0.018554261272707873,,
ADAMTS12,,0.019314019314019316,0.018407335239018406
ADAMTS14,0.018554261272707873,0.019314019314019316,
ADAMTS4,0.020886217607529085,,0.024543113652024544
ADAMTS7,0.018554261272707873,,
ADAMTS8,,0.019314019314019316,
ADAMTS9,0.018554261272707873,0.019314019314019316,
ADAMTSL4,,,0.02825442035168479
ADAR,1.0,,1.0
ADCY4,0.35085359702884045,,0.32755215622773337
ADCY7,0.3152599225591926,,0.29342500933410026
ADCY9,,,0.16487793552013735
ADD3,,,0.05848982478195961
ADGRA2,,,0.18124563767104387
ADGRA3,0.11652981165176288,0.12505480131379412,0.09929113244030371
ADGRB1,,,0.055433099011080664
ADGRG5,0.5149640778383293,,0.4693769457765067
ADM,0.05517579533327565,,0.046247285053255205
ADM2,,0.5879757826066552,0.5026861550466701
ADORA2B,0.2780297803268707,,0.24151220903588969
ADPRH,1.0,,1.0
ADSL,1.0,,1.0
ADTRP,0.20634680933684255,,0.16875711278131852
AEBP1,,,0.018407335239018406
AES,1.0,,
AFF1,,,1.0
AFF2,0.29181297744171997,,0.2659338084595817
AGAP9,1.0,,1.0
AGFG2,1.0,,1.0
AGMAT,1.0,,1.0
AGO1,1.0,1.0,
AGPAT2,,,1.0
AGPAT3,,0.19336876141609868,0.1492087366886725
AGT,,,0.02825442035168479
AGTPBP1,0.5139062618054214,0.487751054915234,
AHNAK,0.860559917219957,,0.767180883328192
AHRR,1.0,,1.0
AIF1,0.018554261272707873,,0.020811278273964843
AIF1L,1.0,,
AK2,1.0,,
AK5,,,1.0
AKAP10,1.0,,1.0
AKAP11,,1.0,
AKAP12,0.24953708711670497,,0.20305510092744136
AKAP7,0.19658756083713924,,0.19443736778980333
AKAP8L,1.0,1.0,1.0
AKIRIN2,,,1.0
AKNA,1.0,,1.0
AKR1B1,1.0,,1.0
AKT2,,,0.1792939997687772
ALDH1A3,,,1.0
ALDH1L1,1.0,,1.0
ALDOA,1.0,,
ALDOC,1.0,1.0,
ALG13,1.0,,1.0
ALG8,,1.0,
ALG9,1.0,,
ALKBH5,1.0,,1.0
ALOX5,0.14472323792712144,,
ALOX5AP,0.018554261272707873,0.019314019314019316,0.018407335239018406
ALPK1,1.0,,
AMMECR1,0.07078107078107078,,
AMOT,0.5117753175654262,,0.46888023870402723
AMOTL1,,0.911359826614064,
AMPD3,1.0,,1.0
ANGEL1,1.0,,
ANGPT1,0.02429350310706243,,0.01849891402130208
ANGPTL2,,0.051985397779790304,0.020811278273964843
ANGPTL4,,,0.055433099011080664
