,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,1.0,,1.0
ABCB1,1.0,,1.0
ABCD4,,,0.8458028458028458
ABHD14B,,,1.0
ABI3,1.0,,1.0
ABI3BP,1.0,,1.0
ACAP3,,,1.0
ACSL5,0.6565071292344019,,0.7795329670329669
ACTA2,1.0,,1.0
ACTN4,,,1.0
ADA2,1.0,,1.0
ADAM19,1.0,,
ADAM9,,,1.0
ADAMTS14,,0.41958041958041964,
ADAMTS4,1.0,,1.0
ADAMTSL4,,,1.0
ADAR,1.0,,
ADCY7,1.0,,1.0
ADGRA2,,,1.0
ADGRA3,1.0,,
ADGRG5,0.6565071292344019,,
ADM,1.0,,
AEBP1,,,1.0
AFF2,1.0,,
AGO1,1.0,,
AGT,,,1.0
AHNAK,1.0,,
AHRR,0.8493119783442364,,0.977470805057012
AKAP10,1.0,,
AKAP11,,1.0,
AKAP12,,,1.0
AKAP8L,,,1.0
AKNA,,,1.0
ALDH1A3,,,0.8432131249032657
ALDH1L1,0.6565071292344019,,0.7795329670329669
ALDOA,0.6565071292344019,,
ALDOC,1.0,,
ALG13,1.0,,
ALG8,,0.41958041958041964,
ALKBH5,0.6565071292344019,,
ALOX5AP,1.0,,1.0
AMOT,1.0,,
AMPD3,0.6582167832167832,,0.7795329670329669
ANGPTL2,,1.0,
ANGPTL4,,,1.0
ANKRD13B,,,0.7795329670329669
ANKRD28,,,1.0
ANKRD37,1.0,,1.0
ANTXR1,1.0,0.8503496503496504,
ANXA1,1.0,,1.0
ANXA11,0.8441891441891441,,0.8432131249032657
ANXA2,,,1.0
ANXA6,,,1.0
AOAH,1.0,,1.0
AP1S2,1.0,,1.0
APBB1IP,1.0,,1.0
APOBEC3C,1.0,,1.0
APOBEC3F,1.0,,1.0
APOD,,,0.8852352466810297
APOL2,1.0,,
APOL3,1.0,,1.0
APOL6,1.0,,1.0
AQP3,1.0,,1.0
ARAP2,1.0,,1.0
ARF6,1.0,,
ARHGAP30,1.0,,1.0
ARHGAP9,1.0,,1.0
ARHGDIB,1.0,,1.0
ARHGEF1,1.0,,1.0
ARHGEF26,0.6565071292344019,,0.8432131249032657
ARHGEF3,,,1.0
ARHGEF40,,1.0,
ARHGEF6,1.0,,1.0
ARL4C,1.0,,
ARL4D,,,1.0
ARMCX4,,,1.0
ARPC2,1.0,,
ARPP21,1.0,,
ARRDC2,1.0,,1.0
ART3,0.6565071292344019,,
ATG4B,,,1.0
ATP10A,1.0,,1.0
ATP1B2,1.0,,1.0
ATP8A1,,1.0,
ATXN1,0.922567998039696,,1.0
