,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.07928071928071928,,0.08188440772710436
AADAT,1.0,,1.0
AARS2,,1.0,
ABCA1,0.11218969709535746,,0.10552343584017791
ABCA5,,0.16101140239071274,0.04858474858474859
ABCB1,1.0,1.0,1.0
ABCB8,,,1.0
ABCC8,,,1.0
ABCD1,1.0,,
ABCD4,1.0,,1.0
ABHD14B,0.6960158485582214,,0.6194555444555445
ABHD2,,,1.0
ABHD6,,1.0,
ABI3,1.0,,0.9888992027802227
ABI3BP,0.1463990554899646,,0.1534255218465745
ABL1,1.0,1.0,
ABLIM1,1.0,,1.0
ABRACL,1.0,,
ACAA1,,,1.0
ACACB,1.0,,1.0
ACADM,,1.0,
ACAP3,0.6888324789964134,,0.6183513456240729
ACAT2,,1.0,1.0
ACBD4,1.0,,1.0
ACER3,1.0,,1.0
ACIN1,1.0,,
ACKR1,,0.16101140239071274,
ACKR3,,,0.12404616659935809
ACO1,,1.0,
ACOT8,1.0,,
ACOT9,,,1.0
ACP2,,0.7622582545659469,
ACSF2,,,1.0
ACSL4,,1.0,
ACSL5,0.26891701263560563,,0.22130225795147263
ACSL6,1.0,,1.0
ACSS3,1.0,,1.0
ACTA1,,1.0,
ACTA2,0.14213674771443696,,0.21742346051738318
ACTB,,1.0,1.0
ACTG1,0.30427568167440233,0.4549604241911934,
ACTL6A,0.32898249291691917,0.4549604241911934,
ACTN1,,0.76436032161223,0.6031210169141203
ACTN2,,,1.0
ACTN4,1.0,,1.0
ACTR10,1.0,,1.0
ACTR2,1.0,,
ACTR3,1.0,,
ACVR1C,,1.0,1.0
ACVR2B,0.7235778478141004,,0.6781230352658925
ACYP2,,,1.0
ADA2,0.44187153718656136,,0.4221540654467484
ADAM11,,0.400228343085486,
ADAM12,,,0.3294827777586399
ADAM19,0.21363068069654897,,0.21824165139673163
ADAM22,,0.47661429479611295,0.3831808790211453
ADAM23,0.20010758472296933,,0.1985506753308611
ADAM33,0.2568321730625396,0.373031926750935,
ADAM9,0.36676594433603776,0.4850312478219455,0.32577056854513503
ADAMTS1,,0.22639179002815368,0.14803165584415584
ADAMTS10,0.18264329527128165,,
ADAMTS12,,0.289570894222057,0.16913461964656504
ADAMTS14,0.19368253895941193,0.2964654393225822,
ADAMTS4,0.7735642997778919,,0.7214768852621446
ADAMTS7,0.18642743395218642,0.2829897375351921,
ADAMTS8,,0.4555444555444556,
ADAMTS9,0.6240551900929259,0.746925996255755,
ADAMTSL4,,1.0,1.0
ADAR,1.0,,1.0
ADCK1,1.0,,1.0
ADCY3,,,0.7845537178870512
ADCY4,0.6665979760150164,,0.5888085424509265
ADCY7,0.8115633229372994,,0.7829773532252872
ADCY8,,,0.2534856447899926
ADCY9,0.7578877815098288,,0.6873637725910453
ADCYAP1,1.0,,
ADD3,1.0,,1.0
ADGRA1,,,0.766605309584033
ADGRA2,,,0.7079107411517384
ADGRA3,0.23492583710567363,0.38911088911088915,0.2045673624620993
ADGRB1,,,1.0
ADGRG3,,,1.0
ADGRG5,1.0,,1.0
ADM,0.04955044955044955,,0.061370208738629785
ADM2,,1.0,1.0
ADNP,1.0,,1.0
ADORA1,0.2903886810863555,,
ADORA2B,0.20249719320926754,,0.2045673624620993
ADPGK,,,1.0
ADPRH,1.0,,1.0
ADRA1A,,,0.3117120503259117
ADRA2C,0.2516848231133945,,0.1985506753308611
ADSL,1.0,,1.0
ADSSL1,,0.8710097594712979,
ADTRP,0.9657164181526131,,0.9329991542380922
AEBP1,,0.23742359335579677,0.06575379507710336
AES,1.0,,1.0
AFF1,0.7484131329522806,,0.7134075823351718
AFF2,1.0,,1.0
AGAP2,,1.0,
AGAP9,0.34704595015879064,,0.3539745968317397
AGFG2,1.0,,1.0
AGMAT,1.0,,1.0
AGO1,1.0,1.0,
AGO3,1.0,,1.0
AGPAT2,,1.0,1.0
AGPAT3,,1.0,1.0
AGT,,,0.21824165139673163
AGTPBP1,1.0,1.0,
AGTRAP,,,1.0
AHCY,1.0,,
AHCYL2,0.08642520270427248,,0.06575379507710336
AHI1,1.0,,1.0
AHNAK,1.0,,1.0
AHRR,1.0,,1.0
AIF1,0.05946053946053947,,0.06575379507710336
AIF1L,1.0,,
AIMP1,,1.0,
AIP,1.0,,
AK2,1.0,,1.0
AK5,,,0.8644734575769059
AKAP1,0.7141394687786441,,0.6321509939187226
AKAP10,0.11218969709535746,,0.10101779408710101
AKAP11,,0.9883798689036004,
AKAP12,0.04955044955044955,,0.061370208738629785
AKAP6,,0.4143778299622456,
AKAP7,1.0,,1.0
AKAP8L,1.0,1.0,1.0
AKIRIN2,1.0,,1.0
AKNA,0.39920503524743806,,0.41901529691328765
AKR1B1,1.0,,1.0
AKR7A3,,,1.0
AKT1,1.0,,
AKT2,1.0,,1.0
ALAD,,,1.0
ALAS1,,,1.0
ALDH1A2,,,0.6012756142345775
ALDH1A3,,,1.0
ALDH1L1,1.0,,1.0
ALDH2,1.0,,1.0
ALDH3A2,1.0,,
ALDH6A1,1.0,,
ALDOA,0.9117929378940798,,0.8705382763133522
ALDOC,1.0,1.0,
ALG13,0.0670607587900821,,0.09254237825666396
ALG8,0.9681219473367281,1.0,
ALG9,1.0,,
