,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.8951048951048951,,0.9212173108277005
AADAT,0.9830809190809191,,0.9686772854474718
AARS2,,1.0,
ABCA1,0.8951048951048951,,0.9212173108277005
ABCA5,,1.0,1.0
ABCB1,1.0,1.0,1.0
ABCB8,,,1.0
ABCC8,,,1.0
ABCD1,1.0,,
ABCD4,1.0,,1.0
ABHD14B,1.0,,1.0
ABHD2,,,1.0
ABHD6,,1.0,
ABI3,1.0,,1.0
ABI3BP,1.0,,1.0
ABL1,1.0,1.0,
ABLIM1,1.0,,1.0
ABRACL,0.9831438402866974,,
ACAA1,,,1.0
ACACB,0.7770411406775043,,0.7007415661261814
ACADM,,0.7664305391578119,
ACAP3,1.0,,1.0
ACAT2,,0.8451655871010709,0.9499637742449244
ACBD4,1.0,,1.0
ACER3,1.0,,1.0
ACIN1,1.0,,
ACKR1,,1.0,
ACKR3,,,1.0
ACO1,,0.9678724636707831,
ACOT8,0.7798103535808454,,
ACOT9,,,1.0
ACP2,,0.858039396500935,
ACSF2,,,1.0
ACSL4,,0.6183131936556595,
ACSL5,0.8311688311688312,,0.901374940848625
ACSL6,0.9373556379925806,,0.9212173108277005
ACSS3,1.0,,1.0
ACTA1,,1.0,
ACTA2,1.0,,1.0
ACTB,,1.0,1.0
ACTG1,1.0,1.0,
ACTL6A,1.0,1.0,
ACTN1,,1.0,1.0
ACTN2,,,1.0
ACTN4,1.0,,1.0
ACTR10,1.0,,1.0
ACTR2,1.0,,
ACTR3,1.0,,
ACVR1C,,1.0,1.0
ACVR2B,1.0,,1.0
ACYP2,,,1.0
ADA2,1.0,,1.0
ADAM11,,0.23945285483747022,
ADAM12,,,1.0
ADAM19,0.9373556379925806,,0.9403499726080371
ADAM22,,1.0,1.0
ADAM23,1.0,,1.0
ADAM33,1.0,0.858039396500935,
ADAM9,1.0,0.9478566377442782,1.0
ADAMTS1,,0.17293817293817293,0.22423730116037807
ADAMTS10,0.818917609336771,,
ADAMTS12,,0.8147825329033382,0.9403499726080371
ADAMTS14,0.9640060212267296,0.8523381380524238,
ADAMTS4,1.0,,1.0
ADAMTS7,0.9226635433531986,0.810203495135002,
ADAMTS8,,0.810203495135002,
ADAMTS9,1.0,0.9272429697961614,
ADAMTSL4,,1.0,1.0
ADAR,1.0,,1.0
ADCK1,1.0,,1.0
ADCY3,,,1.0
ADCY4,1.0,,1.0
ADCY7,1.0,,1.0
ADCY8,,,1.0
ADCY9,1.0,,1.0
ADCYAP1,1.0,,
ADD3,1.0,,1.0
ADGRA1,,,1.0
ADGRA2,,,1.0
ADGRA3,1.0,1.0,1.0
ADGRB1,,,1.0
ADGRG3,,,1.0
ADGRG5,1.0,,1.0
ADM,1.0,,1.0
ADM2,,0.9678724636707831,1.0
ADNP,1.0,,1.0
ADORA1,1.0,,
ADORA2B,1.0,,1.0
ADPGK,,,1.0
ADPRH,1.0,,1.0
ADRA1A,,,1.0
ADRA2C,1.0,,1.0
ADSL,1.0,,1.0
ADSSL1,,0.858039396500935,
ADTRP,1.0,,1.0
AEBP1,,1.0,1.0
AES,1.0,,1.0
AFF1,1.0,,1.0
AFF2,1.0,,1.0
AGAP2,,0.969534632034632,
AGAP9,1.0,,1.0
AGFG2,1.0,,1.0
AGMAT,1.0,,1.0
AGO1,1.0,1.0,
AGO3,1.0,,1.0
AGPAT2,,1.0,1.0
AGPAT3,,1.0,1.0
AGT,,,1.0
AGTPBP1,1.0,1.0,
AGTRAP,,,1.0
AHCY,1.0,,
AHCYL2,1.0,,1.0
AHI1,1.0,,1.0
AHNAK,1.0,,1.0
AHRR,1.0,,1.0
AIF1,1.0,,1.0
AIF1L,1.0,,
AIMP1,,1.0,
AIP,0.8951048951048951,,
AK2,0.8951048951048951,,0.9337381368631368
AK5,,,1.0
AKAP1,0.9479216435738175,,0.96873248702517
AKAP10,0.7770411406775043,,0.6435901760577085
AKAP11,,1.0,
AKAP12,1.0,,1.0
AKAP6,,1.0,
AKAP7,1.0,,1.0
AKAP8L,1.0,1.0,1.0
AKIRIN2,1.0,,1.0
AKNA,1.0,,1.0
AKR1B1,1.0,,1.0
AKR7A3,,,1.0
AKT1,1.0,,
AKT2,1.0,,1.0
ALAD,,,1.0
ALAS1,,,1.0
ALDH1A2,,,1.0
ALDH1A3,,,1.0
ALDH1L1,1.0,,1.0
ALDH2,1.0,,1.0
ALDH3A2,1.0,,
ALDH6A1,1.0,,
ALDOA,1.0,,1.0
ALDOC,1.0,1.0,
ALG13,0.8951048951048951,,0.9474025974025975
ALG8,1.0,1.0,
ALG9,0.818917609336771,,
ALKBH2,,,1.0
ALKBH5,1.0,,1.0
ALOX5,1.0,,1.0
ALOX5AP,1.0,1.0,1.0
ALPK1,1.0,,
AMBRA1,,,0.22423730116037807
AMD1,,,1.0
AMER2,,1.0,
AMFR,,,1.0
AMMECR1,1.0,,
AMOT,1.0,,1.0
AMOTL1,1.0,1.0,
AMOTL2,,1.0,
AMPD3,1.0,,1.0
AMZ1,1.0,,
ANAPC10,,1.0,
ANGEL1,1.0,1.0,
ANGPT1,1.0,,1.0
ANGPTL2,,1.0,1.0
ANGPTL4,1.0,,1.0
ANKDD1A,,1.0,1.0
ANKFY1,0.8576039345270116,,0.9212173108277005
ANKH,1.0,,
ANKMY2,,0.8766176352383249,
ANKRA2,,1.0,
ANKRD11,,1.0,
ANKRD13A,,,1.0
ANKRD13B,0.8430972013061566,,0.9141982278076952
ANKRD28,1.0,,1.0
ANKRD29,1.0,,1.0
ANKRD34A,1.0,,
