,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,1.0,,1.0
ABCB1,1.0,,1.0
ABCD4,,,1.0
ABHD14B,,,1.0
ABI3,1.0,,1.0
ABI3BP,1.0,,1.0
ACAP3,,,1.0
ACSL5,1.0,,0.8844155844155845
ACTA2,1.0,,1.0
ACTN4,,,1.0
ADA2,1.0,,1.0
ADAM19,1.0,,
ADAM9,,,1.0
ADAMTS14,,1.0,
ADAMTS4,1.0,,1.0
ADAMTSL4,,,1.0
ADAR,1.0,,
ADCY7,1.0,,1.0
ADGRA2,,,1.0
ADGRA3,1.0,,
ADGRG5,1.0,,
ADM,1.0,,
AEBP1,,,1.0
AFF2,1.0,,
AGO1,1.0,,
AGT,,,1.0
AHNAK,1.0,,
AHRR,1.0,,1.0
AKAP10,1.0,,
AKAP11,,1.0,
AKAP12,,,1.0
AKAP8L,,,1.0
AKNA,,,1.0
ALDH1A3,,,1.0
ALDH1L1,1.0,,1.0
ALDOA,1.0,,
ALDOC,1.0,,
ALG13,1.0,,
ALG8,,1.0,
ALKBH5,1.0,,
ALOX5AP,1.0,,1.0
AMOT,1.0,,
AMPD3,1.0,,1.0
ANGPTL2,,1.0,
ANGPTL4,,,1.0
ANKRD13B,,,0.8722047183585645
ANKRD28,,,1.0
ANKRD37,1.0,,1.0
ANTXR1,1.0,1.0,
ANXA1,1.0,,0.8722047183585645
ANXA11,1.0,,1.0
ANXA2,,,1.0
ANXA6,,,1.0
AOAH,1.0,,0.8722047183585645
AP1S2,1.0,,1.0
APBB1IP,1.0,,1.0
APOBEC3C,1.0,,1.0
APOBEC3F,1.0,,1.0
APOD,,,1.0
APOL2,1.0,,
APOL3,1.0,,1.0
APOL6,1.0,,1.0
AQP3,1.0,,1.0
ARAP2,1.0,,1.0
ARF6,1.0,,
ARHGAP30,1.0,,1.0
ARHGAP9,1.0,,1.0
ARHGDIB,1.0,,1.0
ARHGEF1,1.0,,1.0
ARHGEF26,1.0,,1.0
ARHGEF3,,,1.0
ARHGEF40,,1.0,
ARHGEF6,1.0,,1.0
ARL4C,1.0,,
ARL4D,,,1.0
ARMCX4,,,1.0
ARPC2,1.0,,
ARPP21,1.0,,
ARRDC2,1.0,,1.0
ART3,1.0,,
ATG4B,,,0.1700799200799201
ATP10A,1.0,,1.0
ATP1B2,1.0,,1.0
ATP8A1,,1.0,
ATXN1,1.0,,1.0
B2M,1.0,,1.0
B3GALNT2,,1.0,
B3GAT2,,,1.0
B3GNT2,1.0,,1.0
B4GALT1,,,1.0
BACE2,,,0.4709905479136249
