,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.13213453213453213,,0.13250385977658705
AADAT,0.33588396336487936,,0.29789188913276504
AARS2,,0.5677770505356713,
ABCA1,0.16425563386889352,,0.19433899433899435
ABCA5,,0.1617084214486812,0.16753361580947787
ABCB1,1.0,1.0,1.0
ABCB8,,,0.19726138523131007
ABCC8,,,0.3227947520962853
ABCD1,0.30337009928846664,,
ABCD4,0.8456777104059024,,0.8098499571168382
ABHD14B,1.0,,1.0
ABHD2,,,1.0
ABHD6,,0.846916082708102,
ABI3,1.0,,1.0
ABI3BP,0.32670626077219483,,0.2835685715063147
ABL1,1.0,1.0,
ABLIM1,1.0,,1.0
ABRACL,0.2117987553343754,,
ACAA1,,,0.4863572943321107
ACACB,0.26974209222729933,,0.2606001067539529
ACADM,,0.3214948985440789,
ACAP3,1.0,,1.0
ACAT2,,0.5011748251748251,0.5129181668771111
ACBD4,0.9882079480722781,,0.9541770905151188
ACER3,0.5702806284624466,,0.5815065763252293
ACIN1,1.0,,
ACKR1,,0.2683523373178546,
ACKR3,,,0.49086657144508383
ACO1,,0.9202712181435586,
ACOT8,0.7400576468008319,,
ACOT9,,,0.9464133151915957
ACP2,,0.16877098804809648,
ACSF2,,,0.37030620782467166
ACSL4,,0.3234168428973624,
ACSL5,0.45614450837519394,,0.455482017982018
ACSL6,1.0,,1.0
ACSS3,0.8582511827794846,,0.8136856741210134
ACTA1,,1.0,
ACTA2,0.9328852965216602,,0.9138091520971797
ACTB,,0.9426825897414133,0.9613229467162051
ACTG1,0.9012436838523796,0.9426825897414133,
ACTL6A,0.759912356551012,0.7616638680468467,
ACTN1,,1.0,1.0
ACTN2,,,0.4686631696277998
ACTN4,1.0,,1.0
ACTR10,0.16857369434689023,,0.18045763760049477
ACTR2,0.5801680334054434,,
ACTR3,1.0,,
ACVR1C,,1.0,1.0
ACVR2B,1.0,,1.0
ACYP2,,,0.16397352647352648
ADA2,0.935275620688626,,0.9150641626117679
ADAM11,,0.24961830622207978,
ADAM12,,,0.8067020471427471
ADAM19,0.8786455180507226,,0.8561162932714128
ADAM22,,0.9805268107154899,0.9808517424925407
ADAM23,0.28682263932727753,,0.2835685715063147
ADAM33,0.19613719613719613,0.21468186985428364,
ADAM9,1.0,1.0,1.0
ADAMTS1,,0.20671515984015987,0.18720728812471932
ADAMTS10,0.590944675377393,,
ADAMTS12,,0.4023183083235302,0.39466967349004883
ADAMTS14,0.6821432287368075,0.698176109604681,
ADAMTS4,0.791481428270726,,0.7892621212779315
ADAMTS7,0.6773985508162724,0.6350289710289709,
ADAMTS8,,0.9426825897414133,
ADAMTS9,0.29577283779685154,0.2835157407648114,
ADAMTSL4,,0.8407067385169574,0.776056050972439
ADAR,1.0,,1.0
ADCK1,0.19883301411963833,,0.18720728812471932
ADCY3,,,0.8123394862664562
ADCY4,0.9431313738647848,,0.9179916226548352
ADCY7,0.8488996789691672,,0.8115117723841263
ADCY8,,,0.5551289865369288
ADCY9,0.915869801839951,,0.903217923602315
ADCYAP1,0.47580871011833353,,
ADD3,1.0,,1.0
ADGRA1,,,0.5319894258441745
ADGRA2,,,0.7769665204534945
ADGRA3,0.4386986452820732,0.4352140750245016,0.43059870961394997
ADGRB1,,,0.8722439511121028
ADGRG3,,,0.5302652107553144
ADGRG5,0.14502570600131576,,0.13250385977658705
ADM,0.19530834129374278,,0.21217390204731976
ADM2,,1.0,1.0
ADNP,1.0,,1.0
ADORA1,0.8307552731873559,,
ADORA2B,0.6641358641358641,,0.67305139977358
ADPGK,,,0.13250385977658705
ADPRH,1.0,,1.0
ADRA1A,,,0.6038736637738301
ADRA2C,0.3804533197673039,,0.4287906636661085
ADSL,0.3323598300627397,,0.38324193289228253
ADSSL1,,1.0,
ADTRP,1.0,,1.0
AEBP1,,0.6750001116618106,0.6636518105049574
AES,1.0,,1.0
AFF1,1.0,,1.0
AFF2,1.0,,1.0
AGAP2,,1.0,
AGAP9,0.6694075155613617,,0.657657720889571
AGFG2,1.0,,1.0
AGMAT,0.16857369434689023,,0.16753361580947787
AGO1,1.0,1.0,
AGO3,0.9910089910089911,,0.9464133151915957
AGPAT2,,0.8407067385169574,0.8368051546443505
AGPAT3,,0.1482327196612911,0.13250385977658705
AGT,,,0.8741751037424114
AGTPBP1,0.3318727783844063,0.3271505564499195,
AGTRAP,,,1.0
AHCY,1.0,,
AHCYL2,0.3836163836163836,,0.42548284044062096
AHI1,1.0,,1.0
AHNAK,0.5054145854145854,,0.49038811655634085
AHRR,1.0,,1.0
AIF1,0.20819516617835945,,0.22171068368251465
AIF1L,0.6894307541457002,,
AIMP1,,0.9558865571727307,
AIP,0.18427853138596942,,
AK2,0.2871975966788131,,0.3205591659199906
AK5,,,0.8098499571168382
AKAP1,0.8806925912677305,,0.8710133240253722
AKAP10,0.2871975966788131,,0.28117945047078907
AKAP11,,0.4352140750245016,
AKAP12,0.432502205698082,,0.4456394180532111
AKAP6,,0.4575736067940968,
AKAP7,1.0,,1.0
AKAP8L,1.0,0.9981714072156004,0.9999967669870583
AKIRIN2,0.5674544633448744,,0.5140944326990838
AKNA,1.0,,1.0
AKR1B1,0.38013130879887275,,0.37295939354762886
AKR7A3,,,0.13250385977658705
AKT1,1.0,,
AKT2,1.0,,1.0
ALAD,,,0.16397352647352648
ALAS1,,,0.21217390204731976
ALDH1A2,,,0.13250385977658705
ALDH1A3,,,0.13250385977658705
ALDH1L1,0.1564751038435249,,0.13250385977658705
ALDH2,0.1564751038435249,,0.14894594456638252
ALDH3A2,0.16425563386889352,,
ALDH6A1,0.1564751038435249,,
ALDOA,0.3610104181532753,,0.3881498935846762
ALDOC,0.33938664075650377,0.2835157407648114,
ALG13,0.32670626077219483,,0.3547217213363859
ALG8,0.26974209222729933,0.2683523373178546,
ALG9,0.43021449139096196,,
ALKBH2,,,0.776056050972439
ALKBH5,0.6251108017298093,,0.5544998479781088
ALOX5,0.432502205698082,,0.41696321244627393
ALOX5AP,0.19290633031091045,0.20671515984015987,0.202140924768662
ALPK1,1.0,,
AMBRA1,,,0.25514966434003633
AMD1,,,1.0
AMER2,,0.6132231708191642,
AMFR,,,0.46843926974220135
AMMECR1,0.5940910300771893,,
AMOT,1.0,,1.0
AMOTL1,1.0,1.0,
AMOTL2,,0.15564435564435564,
AMPD3,0.3323598300627397,,0.3148697991903567
AMZ1,0.7697289012357506,,
ANAPC10,,1.0,
ANGEL1,0.18427853138596942,0.20671515984015987,
ANGPT1,0.6918795490224062,,0.6715146028647173
ANGPTL2,,1.0,1.0
ANGPTL4,0.2117987553343754,,0.22610076903705711
ANKDD1A,,1.0,1.0
ANKFY1,0.6821432287368075,,0.6920082884474575
ANKH,0.7395164145703327,,
ANKMY2,,0.5718117008439589,
ANKRA2,,0.996444792321081,
ANKRD11,,1.0,
ANKRD13A,,,1.0
ANKRD13B,1.0,,0.999007479007479
ANKRD28,1.0,,1.0
ANKRD29,0.9281985620013788,,0.8875729688450538
ANKRD34A,1.0,,
ANKRD37,1.0,1.0,1.0
ANKRD39,0.42017839642542726,,0.4159148931876204
ANKRD40,0.5940887956526532,0.5955778914962588,
ANKRD44,1.0,,
ANKRD46,,0.6736845244307931,
ANKRD52,,,0.43199041332063504
ANKRD55,0.16386762843455757,,
ANKRD9,0.6319237248107541,,
ANKS1B,,,0.41377803781895856
ANKS3,,,0.7494205863245255
ANKS6,0.35229510374019046,,
ANO10,,0.6359395771160478,
ANO5,,,0.5943616451230664
ANO6,,0.24077579878684852,0.21217390204731976
ANO8,0.3418306353253403,,0.4044489541871741
ANP32B,,,1.0
ANTXR1,0.18427853138596942,0.19644433236666248,
ANXA1,0.7547882301055784,,0.7469400405688493
ANXA11,0.19688920351172007,,0.202140924768662
ANXA2,1.0,,1.0
ANXA3,,1.0,1.0
ANXA4,,,0.5957658825615091
ANXA6,0.7362803261720229,0.7573018379469993,0.7267067210409988
AOAH,0.5083107747123652,,0.5018965018965019
AOC2,,0.17686858595949506,0.16788447154939304
AP1G2,,0.43213297758752306,0.41377803781895856
AP1S1,,1.0,1.0
AP1S2,1.0,,1.0
AP3B2,,,1.0
AP3D1,1.0,0.9776819818836626,
APBA1,0.721737060267127,,
APBA2,0.8236873947434573,,0.8055338679525935
APBB1,0.590944675377393,,
APBB1IP,1.0,,1.0
APBB3,,,1.0
APCDD1,0.9981942207262897,,
APEH,,0.24693575655114117,
APLN,0.21290218732673977,,0.2650077195531741
APLP2,,0.30248903040422476,
APOBEC3C,0.9431313738647848,,0.932827172827173
APOBEC3F,1.0,,1.0
APOC1,,0.2523962523962524,
APOD,0.19688920351172007,,0.202140924768662
APOE,0.1564751038435249,0.15564435564435564,
APOL2,0.23965576906753375,,0.2881832995901437
APOL3,0.3418306353253403,,0.3598870265536932
APOL6,0.6641358641358641,,0.6215989892460481
APOO,,0.8391095457110127,
APPBP2,0.2023065691704745,,
APRT,,,0.7518272648946652
AQP1,,0.15564435564435564,
AQP3,0.13513758968304423,,0.13250385977658705
ARAP1,1.0,,1.0
ARAP2,1.0,,1.0
ARF1,1.0,,
ARF3,1.0,,1.0
ARF6,1.0,,1.0
ARFGAP1,1.0,,1.0
ARFIP1,0.44293404112817203,,
ARHGAP1,,,1.0
ARHGAP21,,,1.0
ARHGAP27,1.0,,1.0
ARHGAP29,,,1.0
ARHGAP30,0.734080734080734,,0.7178474630294759
ARHGAP31,,1.0,1.0
ARHGAP33,,,1.0
ARHGAP9,1.0,,1.0
ARHGDIA,,,1.0
ARHGDIB,0.46282798282798293,,0.4419862544862545
ARHGEF1,1.0,,1.0
ARHGEF12,,1.0,
ARHGEF16,1.0,,
ARHGEF25,1.0,,
ARHGEF26,1.0,,1.0
ARHGEF28,1.0,,1.0
ARHGEF3,1.0,,1.0
ARHGEF37,,1.0,
ARHGEF39,1.0,,
ARHGEF40,1.0,1.0,
ARHGEF6,1.0,,1.0
ARHGEF9,,,1.0
ARID1A,,1.0,
ARID5B,,0.6057225346565448,
ARL10,1.0,,1.0
ARL13B,0.7031265312634134,,0.6981596148876915
ARL16,,,1.0
ARL4C,1.0,,1.0
ARL4D,1.0,,1.0
ARL6IP5,0.30875657006310275,,0.3148697991903567
ARMC7,0.7745199169893878,,0.7756626751264821
ARMC9,,0.17686858595949506,
ARMCX1,,1.0,
ARMCX4,0.833290420919287,,0.873473097299812
