,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,0.015977311279324703,,0.016232090057593414
AADAT,0.8384571403439328,,0.7797395385582424
ABCA1,,,0.702906723543009
ABCA5,,1.0,1.0
ABCB1,0.20366515613663902,0.28932864887921067,0.1821348528879177
ABCB8,,,1.0
ABCD4,1.0,,1.0
ABHD14B,1.0,,1.0
ABHD2,,,1.0
ABI3,0.5551335865869488,,0.5222210625195699
ABI3BP,0.03039088571003465,,0.0474231650702239
ABL1,0.3362073019704974,0.4107298951048951,
ABLIM1,1.0,,1.0
ABRACL,1.0,,
ACACB,1.0,,1.0
ACAP3,1.0,,0.9850811883574357
ACAT2,,1.0,1.0
ACBD4,1.0,,1.0
ACER3,1.0,,1.0
ACIN1,1.0,,
ACKR3,,,0.08529002483662433
ACO1,,0.5735165735165736,
ACOT8,1.0,,
ACSL4,,0.053646353646353645,
ACSL5,0.015977311279324703,,0.016232090057593414
ACSL6,0.015977311279324703,,0.02455412607696872
ACSS3,,,1.0
ACTA2,0.06960875381928013,,0.05257785692568301
ACTB,,0.49604505083957146,0.3723080679602419
ACTG1,0.4309485770159928,0.5852329488693124,
ACTL6A,1.0,,
ACTN1,,0.4925537096355602,0.3764110454005924
ACTN2,,,1.0
ACTN4,1.0,,1.0
ACTR10,1.0,,1.0
ACTR2,1.0,,
ACVR1C,,,0.4209725972475418
ACVR2B,0.30166627265863905,,0.2608965378644679
ADA2,0.22898879704687325,,0.20685235816814765
ADAM12,,,0.02455412607696872
ADAM19,0.015977311279324703,,0.036784508267398
ADAM22,,0.07555824457232908,0.05257785692568301
ADAM33,0.03705244172170242,0.06437562437562437,
ADAM9,0.015977311279324703,0.04291708291708292,0.016232090057593414
ADAMTS1,,0.04291708291708292,0.016232090057593414
ADAMTS10,0.03039088571003465,,
ADAMTS12,,0.07555824457232908,0.036784508267398
ADAMTS14,0.015977311279324703,0.04291708291708292,
ADAMTS4,0.09251111582717801,,0.08529002483662433
ADAMTS7,0.04251106036820322,,
ADAMTS8,,0.06437562437562437,
ADAMTS9,0.023339405692346868,0.053646353646353645,
ADAMTSL4,,,0.0705686886058239
ADAR,0.35512001810344346,,0.3208322289954943
ADCK1,,,1.0
ADCY3,,,0.0705686886058239
ADCY4,0.0879384467774969,,0.0759763796413011
ADCY7,0.06960875381928013,,0.0705686886058239
ADCY9,0.09251111582717801,,0.06183872945236582
ADCYAP1,0.27874340849024387,,
ADD3,0.4612271002162699,,0.42212343090498966
ADGRA2,,,0.4615416566376055
ADGRA3,0.17913571576937912,0.2481143856143856,0.16649654693132954
ADGRB1,,,0.7655509779476721
ADGRG5,0.608765454919301,,0.5681384653082766
ADM,0.046678811384693736,,0.030875507471252152
ADM2,,1.0,1.0
ADORA1,0.34390434250181795,,
ADORA2B,0.11059112037107147,,0.04169967963071411
ADPRH,1.0,,1.0
ADRA2C,,,0.04169967963071411
ADSL,0.6057050353192167,,0.5458277131428882
ADTRP,0.5537527689701603,,0.5113433660527849
AEBP1,,0.403976590211408,0.3160112849634195
AES,1.0,,1.0
AFF1,1.0,,1.0
AFF2,0.12265486270170113,,0.10195425183715583
AGAP9,1.0,,1.0
AGFG2,1.0,,1.0
AGMAT,1.0,,1.0
AGO1,1.0,1.0,
AGO3,1.0,,1.0
AGPAT2,,,1.0
AGPAT3,,0.07555824457232908,0.036784508267398
AGT,,,0.0474231650702239
AGTPBP1,1.0,1.0,
AHCYL2,,,1.0
AHI1,1.0,,
AHNAK,1.0,,1.0
AHRR,1.0,,1.0
AIF1,0.015977311279324703,,0.016232090057593414
AIF1L,0.5926436432765546,,
AK2,1.0,,1.0
AK5,,,1.0
AKAP1,0.1891577414833229,,0.1436781040741437
AKAP10,0.12265486270170113,,0.10637279387279387
AKAP11,,1.0,
AKAP12,1.0,,1.0
AKAP7,0.19648106212405636,,0.16034793935346422
AKAP8L,1.0,1.0,1.0
AKIRIN2,0.2510176897932,,0.21099094766299936
AKNA,1.0,,1.0
AKR1B1,1.0,,1.0
AKT2,,,1.0
ALAS1,,,1.0
ALDH1A2,,,0.7525369804903915
ALDH1A3,,,1.0
ALDH1L1,1.0,,1.0
ALDH2,1.0,,1.0
ALDH6A1,1.0,,
ALDOA,1.0,,1.0
ALDOC,1.0,1.0,
ALG13,1.0,,1.0
ALG8,,0.5678260201337125,
ALG9,0.46242246961671424,,
ALKBH2,,,1.0
ALKBH5,1.0,,1.0
ALOX5,0.015977311279324703,,
ALOX5AP,0.015977311279324703,0.04291708291708292,0.016232090057593414
ALPK1,1.0,,
AMBRA1,,,1.0
AMER2,,0.49223894385184713,
AMFR,,,0.7951500554240281
AMMECR1,0.5396070596070597,,
AMOT,1.0,,1.0
AMOTL1,1.0,1.0,
AMOTL2,,1.0,
AMPD3,1.0,,1.0
AMZ1,1.0,,
ANAPC10,,1.0,
ANGEL1,1.0,1.0,
ANGPT1,0.12645322345091398,,0.15116133866133866
ANGPTL2,,0.36222751607367,0.25684050462811525
ANGPTL4,0.36020375772782925,,0.2953491555933889
ANKDD1A,,0.6253632082203511,0.48169869754854117
ANKFY1,1.0,,1.0
ANKH,0.17278689052882604,,
ANKRD11,,0.7856266955793022,
ANKRD13B,1.0,,1.0
ANKRD28,1.0,,1.0
ANKRD29,1.0,,1.0
ANKRD34A,1.0,,
ANKRD37,0.3065949202312839,,0.3425585403607382
ANKRD40,1.0,1.0,
ANKRD44,1.0,,
ANKRD46,,0.7701704236357703,
ANKRD55,0.12645322345091398,,
ANKS6,1.0,,
ANO6,,0.6461605621269486,
ANO8,1.0,,1.0
ANP32B,,,1.0
ANTXR1,0.12265486270170113,0.22737527373288965,
ANXA1,0.36996111996111997,,0.3303576123124995
ANXA11,1.0,,1.0
ANXA2,0.4199315912513882,,0.44045286609941786
ANXA3,,0.11802197802197803,0.06681164139727676
ANXA4,,,0.13100649350649352
ANXA6,1.0,1.0,1.0
AOAH,0.04251106036820322,,0.036784508267398
AOC2,,1.0,
AP1G2,,0.9073074576430281,
AP1S1,,1.0,1.0
AP1S2,1.0,,1.0
AP3B2,,,1.0
AP3D1,1.0,,
APBA2,1.0,,1.0
APBB1,1.0,,
APBB1IP,1.0,,1.0
APBB3,,,1.0
APCDD1,0.47834875404968863,,
APLN,,,1.0
APLP2,,0.4553011564081675,
APOBEC3C,0.38477816533007075,,0.3779033466533467
APOBEC3F,0.23848032459631757,,0.20421796746300058
APOC1,,0.053646353646353645,
APOD,0.5151682030953102,,0.5286908936760568
APOL2,0.21522204732536837,,0.2195209249349377
APOL3,0.03039088571003465,,0.036784508267398
APOL6,0.05223929675340333,,0.05707566769513672
APOO,,1.0,
APRT,,,1.0
AQP1,,0.23842823842823846,
AQP3,0.1576905999982923,,0.13653282201669298
ARAP1,1.0,,1.0
ARAP2,1.0,,1.0
ARF1,1.0,,
ARF3,1.0,,
ARF6,1.0,,1.0
ARFGAP1,1.0,,1.0
ARHGAP21,,,1.0
ARHGAP27,1.0,,1.0
ARHGAP29,,,1.0
ARHGAP30,1.0,,1.0
ARHGAP31,,1.0,1.0
ARHGAP33,,,1.0
ARHGAP9,1.0,,1.0
ARHGDIA,,,1.0
ARHGDIB,0.015977311279324703,,0.030875507471252152
ARHGEF1,1.0,,1.0
ARHGEF25,1.0,,
ARHGEF26,1.0,,1.0
ARHGEF28,1.0,,1.0
ARHGEF3,1.0,,1.0
ARHGEF39,1.0,,
ARHGEF40,1.0,1.0,
ARHGEF6,1.0,,1.0
ARID1A,,1.0,
ARID5B,,0.621006500662661,
ARL10,1.0,,1.0
ARL13B,,,1.0
ARL4C,1.0,,1.0
ARL4D,1.0,,1.0
ARL6IP5,0.1852622086085121,,
ARMC7,,,1.0
ARMC9,,0.7010925582354154,
ARMCX1,,1.0,
ARMCX4,1.0,,1.0
ARPC2,1.0,,1.0
ARPC3,1.0,,1.0
ARPC5,1.0,,
ARPIN,1.0,1.0,
ARPP21,1.0,1.0,
ARRB1,1.0,,1.0
ARRB2,,,0.6205426486478163
ARRDC1,1.0,,
ARRDC2,0.31144945280283626,,0.2936613182179349
ARRDC3,,0.28932864887921067,
ARRDC4,0.6171976171976172,,0.5923056535301434
ARSD,1.0,1.0,
ART3,0.7964332841269943,0.9356656137039931,0.7593220732755617
