,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,1.0,,1.0
ABCA5,,,1.0
ABCB1,1.0,,1.0
ABCD4,,,0.7796748705839615
ABHD14B,,,1.0
ABI3,1.0,,1.0
ABI3BP,1.0,,1.0
ABL1,1.0,1.0,
ABLIM1,,,1.0
ACAP3,,,1.0
ACBD4,0.6257962221264973,,
ACSL5,0.6090338233195377,,0.6985322369937754
ACTA2,1.0,,1.0
ACTB,,1.0,
ACTN4,1.0,,1.0
ACVR2B,,,1.0
ADA2,1.0,,1.0
ADAM19,1.0,,
ADAM33,0.7037724180581323,0.6719280719280719,
ADAM9,,,1.0
ADAMTS1,,1.0,
ADAMTS14,,0.4420579420579421,
ADAMTS4,1.0,,1.0
ADAMTS7,1.0,,
ADAMTS9,1.0,,
ADAMTSL4,,,1.0
ADAR,1.0,,1.0
ADCY7,1.0,,1.0
ADD3,,,1.0
ADGRA2,,,1.0
ADGRA3,1.0,1.0,
ADGRG5,0.6257962221264973,,0.6985322369937754
ADM,1.0,,
ADM2,,1.0,
ADORA2B,1.0,,1.0
AEBP1,,,1.0
AFF2,1.0,,1.0
AGAP9,0.6090338233195377,,
AGFG2,1.0,,
AGMAT,0.7037724180581323,,0.7346162609320503
AGO1,1.0,,
AGPAT2,,,0.6985322369937754
AGT,,,1.0
AHNAK,1.0,,1.0
AHRR,0.757908757908758,,0.7346162609320503
AIF1,1.0,,1.0
AKAP10,1.0,,1.0
AKAP11,,1.0,
AKAP12,,,1.0
AKAP7,1.0,,
AKAP8L,,1.0,1.0
AKNA,1.0,,1.0
ALDH1A3,,,0.7346162609320503
ALDH1L1,0.6257962221264973,,0.6985322369937754
ALDOA,0.6090338233195377,,
ALDOC,1.0,,
ALG13,1.0,,1.0
ALG8,,0.4420579420579421,
ALKBH5,0.6257962221264973,,
ALOX5AP,1.0,1.0,1.0
AMOT,1.0,,1.0
AMPD3,0.6257962221264973,,0.6985322369937754
ANGPT1,,,1.0
