,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,1.0,,1.0
AADAT,0.5511791579207309,,0.5744274142064197
AARS2,,0.37913368682599446,
ABCA1,1.0,,1.0
ABCA5,,1.0,1.0
ABCB1,1.0,1.0,1.0
ABCB8,,,0.4207339052699877
ABCC8,,,1.0
ABCD1,0.3946495981894212,,
ABCD4,0.5511791579207309,,0.5819491863447908
ABHD14B,0.9810323904283635,,0.9838827079420008
ABHD2,,,1.0
ABHD6,,1.0,
ABI3,1.0,,1.0
ABI3BP,1.0,,1.0
ABL1,1.0,1.0,
ABLIM1,1.0,,1.0
ABRACL,0.649765329010612,,
ACAA1,,,0.43977574149987947
ACACB,0.839311253363951,,0.799917760339924
ACADM,,0.37913368682599446,
ACAP3,1.0,,1.0
ACAT2,,0.6225774225774227,0.7400145436611075
ACBD4,0.4031223014273862,,0.43977574149987947
ACER3,1.0,,1.0
ACIN1,1.0,,
ACKR1,,1.0,
ACKR3,,,0.46710559470203383
ACO1,,0.39459132416878895,
ACOT8,0.5227300172355117,,
ACOT9,,,0.4207339052699877
ACP2,,0.39459132416878895,
ACSF2,,,0.3886779886779887
ACSL4,,0.39459132416878895,
ACSL5,0.40101294054782427,,0.4207339052699877
ACSL6,1.0,,1.0
ACSS3,1.0,,1.0
ACTA1,,1.0,
ACTA2,1.0,,1.0
ACTB,,0.7370744198330405,0.8371146007740671
ACTG1,1.0,1.0,
ACTL6A,1.0,1.0,
ACTN1,,1.0,1.0
ACTN2,,,1.0
ACTN4,1.0,,1.0
ACTR10,0.37162837162837165,,0.4207339052699877
ACTR2,0.7337683593002742,,
ACTR3,1.0,,
ACVR1C,,1.0,1.0
ACVR2B,1.0,,1.0
ACYP2,,,0.4207339052699877
ADA2,1.0,,1.0
ADAM11,,1.0,
ADAM12,,,0.557965472027972
ADAM19,1.0,,1.0
ADAM22,,1.0,1.0
ADAM23,1.0,,1.0
ADAM33,0.5499240643749314,0.5605049712192569,
ADAM9,1.0,1.0,1.0
ADAMTS1,,1.0,1.0
ADAMTS10,0.9354489903688988,,
ADAMTS12,,1.0,1.0
ADAMTS14,0.37162837162837165,0.37913368682599446,
ADAMTS4,1.0,,1.0
ADAMTS7,1.0,1.0,
ADAMTS8,,0.5045023941575666,
ADAMTS9,1.0,1.0,
ADAMTSL4,,0.8168807434466182,0.8479585333517918
ADAR,1.0,,1.0
ADCK1,0.40101294054782427,,0.4207339052699877
ADCY3,,,1.0
ADCY4,1.0,,1.0
ADCY7,1.0,,1.0
ADCY8,,,1.0
ADCY9,1.0,,1.0
ADCYAP1,1.0,,
ADD3,1.0,,1.0
ADGRA1,,,1.0
ADGRA2,,,1.0
ADGRA3,1.0,1.0,1.0
ADGRB1,,,1.0
ADGRG3,,,0.4944574412928843
ADGRG5,0.4203245030831238,,0.43977574149987947
ADM,1.0,,1.0
ADM2,,1.0,1.0
ADNP,1.0,,1.0
ADORA1,1.0,,
ADORA2B,1.0,,1.0
ADPGK,,,0.4207339052699877
ADPRH,1.0,,1.0
ADRA1A,,,0.5411971994250475
ADRA2C,1.0,,1.0
ADSL,0.5786784643927502,,0.5677318935745902
ADSSL1,,0.6849873842538878,
ADTRP,1.0,,1.0
AEBP1,,1.0,1.0
AES,1.0,,1.0
AFF1,1.0,,1.0
AFF2,1.0,,1.0
AGAP2,,1.0,
AGAP9,0.40101294054782427,,0.4207339052699877
AGFG2,1.0,,1.0
AGMAT,0.5383258716592051,,0.5336539890315634
AGO1,1.0,1.0,
AGO3,1.0,,1.0
AGPAT2,,0.42725901549430956,0.48329039381670963
AGPAT3,,0.4585373133090976,0.5244428468727534
AGT,,,1.0
AGTPBP1,1.0,1.0,
AGTRAP,,,0.43977574149987947
AHCY,0.7615836218575944,,
AHCYL2,1.0,,1.0
AHI1,1.0,,1.0
AHNAK,1.0,,1.0
AHRR,0.6107576633892424,,0.5744274142064197
AIF1,1.0,,1.0
AIF1L,1.0,,
AIMP1,,0.6276666113178374,
AIP,0.915861389795039,,
AK2,0.408929360602223,,0.4420415649923847
AK5,,,1.0
AKAP1,1.0,,1.0
AKAP10,1.0,,1.0
AKAP11,,1.0,
AKAP12,1.0,,1.0
AKAP6,,1.0,
AKAP7,1.0,,1.0
AKAP8L,1.0,1.0,1.0
AKIRIN2,1.0,,1.0
AKNA,1.0,,1.0
AKR1B1,0.6325589304312708,,0.6661701345655965
AKR7A3,,,0.6967138433414094
AKT1,1.0,,
AKT2,1.0,,1.0
ALAD,,,0.4207339052699877
ALAS1,,,0.4207339052699877
ALDH1A2,,,0.5677318935745902
ALDH1A3,,,0.5411971994250475
ALDH1L1,0.421978021978022,,0.46443725765759664
ALDH2,0.4201016374929418,,0.45645457745101875
ALDH3A2,0.4603900036970903,,
ALDH6A1,0.40101294054782427,,
ALDOA,0.38539238539238535,,0.4207339052699877
ALDOC,0.9275567273238984,0.8480621942160403,
ALG13,1.0,,1.0
ALG8,0.37162837162837165,0.37913368682599446,
ALG9,0.408929360602223,,
ALKBH2,,,1.0
ALKBH5,0.4377463027769776,,0.45866720691895513
ALOX5,1.0,,1.0
ALOX5AP,1.0,1.0,1.0
ALPK1,1.0,,
AMBRA1,,,1.0
AMD1,,,0.9705755074418669
AMER2,,1.0,
AMFR,,,1.0
AMMECR1,1.0,,
AMOT,1.0,,1.0
AMOTL1,1.0,1.0,
AMOTL2,,0.47183525136281046,
AMPD3,0.4401157754632075,,0.46710559470203383
AMZ1,1.0,,
ANAPC10,,0.47183525136281046,
ANGEL1,0.40101294054782427,0.3891108891108891,
ANGPT1,1.0,,1.0
ANGPTL2,,1.0,1.0
ANGPTL4,1.0,,1.0
ANKDD1A,,1.0,1.0
ANKFY1,0.6651366651366653,,0.6134352603917821
ANKH,1.0,,
ANKMY2,,1.0,
ANKRA2,,1.0,
ANKRD11,,1.0,
ANKRD13A,,,1.0
ANKRD13B,0.446375154590452,,0.4207339052699877
ANKRD28,1.0,,1.0
ANKRD29,0.9225434986559107,,0.9489386491728411
ANKRD34A,1.0,,
ANKRD37,1.0,1.0,1.0
ANKRD39,1.0,,1.0
ANKRD40,1.0,1.0,
ANKRD44,1.0,,
ANKRD46,,0.6698617837858344,
ANKRD52,,,1.0
ANKRD55,1.0,,
ANKRD9,0.37162837162837165,,
ANKS1B,,,1.0
ANKS3,,,1.0
ANKS6,1.0,,
ANO10,,0.7986118684808641,
ANO5,,,1.0
ANO6,,0.9857475857475857,1.0
ANO8,0.37162837162837165,,0.4207339052699877
ANP32B,,,0.7400145436611075
ANTXR1,0.8125760250112581,0.7294700658969799,
ANXA1,0.9731730586623725,,0.9488584271192967
ANXA11,0.5696493287734163,,0.5439047325839779
ANXA2,1.0,,1.0
ANXA3,,1.0,1.0
ANXA4,,,1.0
ANXA6,1.0,1.0,1.0
AOAH,1.0,,1.0
AOC2,,0.4446981589838732,0.47658064006837847
AP1G2,,1.0,1.0
AP1S1,,1.0,1.0
AP1S2,1.0,,1.0
AP3B2,,,1.0
AP3D1,0.6556139113566373,0.5643245643245643,
APBA1,1.0,,
APBA2,1.0,,1.0
APBB1,1.0,,
APBB1IP,1.0,,1.0
APBB3,,,1.0
APCDD1,1.0,,
APEH,,0.45619897344035276,
