,FDR corrected P-value Ctrl Tc vs. wo Tc,FDR corrected P-value IBD Tc vs. Ctrl Tc,FDR corrected P-value IBD Tc vs. wo Tc
A2M,1.0,,1.0
AADAT,0.6278556608226938,,0.592586900279208
ABCA1,,,1.0
ABCA5,,1.0,1.0
ABCB1,1.0,1.0,1.0
ABCB8,,,0.4714184120963782
ABCD4,0.5275967275967276,,0.6110100425889899
ABHD14B,0.9955317409862865,,1.0
ABHD2,,,1.0
ABI3,1.0,,1.0
ABI3BP,1.0,,1.0
ABL1,1.0,1.0,
ABLIM1,1.0,,1.0
ABRACL,0.6456752357373476,,
ACACB,0.8305376295729994,,0.8833415388439311
ACAP3,1.0,,1.0
ACAT2,,0.7180358103435026,0.7523449832610138
ACBD4,0.4221788064152597,,0.47854284752680465
ACER3,1.0,,1.0
ACIN1,1.0,,
ACKR3,,,0.47854284752680465
ACO1,,0.40378975862846833,
ACOT8,0.5418801147701404,,
ACSL4,,0.40378975862846833,
ACSL5,0.4173813199787226,,0.4714184120963782
ACSL6,1.0,,1.0
ACSS3,,,1.0
ACTA2,1.0,,1.0
ACTB,,0.8172967971625691,0.8759605778836548
ACTG1,1.0,1.0,
ACTL6A,1.0,,
ACTN1,,1.0,1.0
ACTN2,,,1.0
ACTN4,1.0,,1.0
ACTR10,0.4173813199787226,,0.4714184120963782
ACTR2,0.7566968745540174,,
ACVR1C,,,1.0
ACVR2B,1.0,,1.0
ADA2,1.0,,1.0
ADAM12,,,0.6383180983665245
ADAM19,1.0,,1.0
ADAM22,,1.0,1.0
ADAM33,0.5965357148651812,0.5336251050536764,
ADAM9,1.0,1.0,1.0
ADAMTS1,,1.0,1.0
ADAMTS10,0.9389833040859434,,
ADAMTS12,,1.0,1.0
ADAMTS14,0.4173813199787226,0.3831882403310975,
ADAMTS4,1.0,,1.0
ADAMTS7,1.0,,
ADAMTS8,,0.5335947474984908,
ADAMTS9,1.0,1.0,
ADAMTSL4,,,0.866008185363024
ADAR,1.0,,1.0
ADCK1,,,0.47854284752680465
ADCY3,,,1.0
ADCY4,1.0,,1.0
ADCY7,1.0,,1.0
ADCY9,1.0,,1.0
ADCYAP1,1.0,,
ADD3,1.0,,1.0
ADGRA2,,,1.0
ADGRA3,1.0,1.0,1.0
ADGRB1,,,1.0
ADGRG5,0.4221788064152597,,0.47854284752680465
ADM,1.0,,1.0
ADM2,,1.0,1.0
ADORA1,1.0,,
ADORA2B,1.0,,1.0
ADPRH,1.0,,1.0
ADRA2C,,,1.0
ADSL,0.5867723825470305,,0.7164172130764558
ADTRP,1.0,,1.0
AEBP1,,1.0,1.0
AES,1.0,,1.0
AFF1,1.0,,1.0
AFF2,1.0,,1.0
AGAP9,0.4173813199787226,,0.4714184120963782
AGFG2,1.0,,1.0
AGMAT,0.5238688887713957,,0.6062407249742342
AGO1,1.0,1.0,
AGO3,1.0,,1.0
AGPAT2,,,0.5394605394605395
AGPAT3,,0.47268815100982936,0.5778911354132593
AGT,,,1.0
AGTPBP1,1.0,1.0,
AHCYL2,,,1.0
AHI1,1.0,,
AHNAK,1.0,,1.0
AHRR,0.6289409280675656,,0.6293247568757773
AIF1,1.0,,1.0
