,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.7590959764872809,0.7198499824198147,,0.7407208176438945
AAGAB,1.0,,1.0,
ABAT,,,1.0,
ABCA1,0.813250150425943,,0.8405478818701959,
ABCA2,,0.6077978625148436,,
ABCA5,1.0,0.9706591281059366,,
ABCA8,0.8297901559357086,0.792797638951485,0.8405478818701959,0.9303739738522349
ABCB1,0.7590959764872809,0.7237762237762237,,
ABCC1,,,0.8223043332213638,
ABCC9,1.0,,,
ABCG1,1.0,,,
ABI3,,1.0,1.0,
ABI3BP,0.8727348600766323,,,
ABLIM1,,1.0,,
ABLIM2,1.0,,,
ABRACL,,1.0,1.0,
ABT1,,0.6004340487099108,,
ABTB1,,1.0,,
ACACA,,1.0,,
ACADM,,,0.8065161383239186,
ACADSB,1.0,,,
ACAN,0.7590959764872809,0.7237762237762237,,
ACKR1,,,0.7796074892849085,
ACKR3,1.0,1.0,,
ACO2,,1.0,,
ACOT9,0.7910089910089911,,0.7807024436237918,
ACSL1,0.8738511488511489,0.7751409880442138,,
ACSL3,,1.0,,
ACSL4,1.0,,1.0,
ACSL5,,1.0,1.0,1.0
ACSL6,,1.0,1.0,
ACSS1,1.0,,,1.0
ACSS3,0.8016983016983016,,0.7796074892849085,
ACTA2,1.0,,1.0,
ACTB,0.8784158425306751,0.8242644929035462,0.877891339429801,
ACTG1,,,0.7807024436237918,
ACTN1,,0.7628371628371629,0.8129013843299557,
ACTN4,,1.0,1.0,
ACTR3,0.9350469170108449,,0.9221773632187108,
ACVR2A,,0.8692318917038019,,
ADA,0.9680319680319681,,0.9595882006723663,0.933216783216783
ADA2,,1.0,,
ADAM17,0.9005378183460375,,0.8653247892791618,
ADAM19,1.0,,1.0,
ADAM33,0.813250150425943,,,
ADAMTS10,1.0,,,
ADAMTS12,,1.0,,
ADAMTS4,,,0.7170211986965914,
ADAMTS9,1.0,,,
ADAMTSL3,1.0,,0.9922826177806258,
ADARB2,1.0,,1.0,
ADCY1,1.0,,1.0,
ADCY2,0.7590959764872809,0.7237762237762237,,
ADCY7,,0.7237762237762237,0.7221869040050858,
ADCY8,0.8016983016983016,,0.7835233259890795,
ADCYAP1,,,0.5837640620249316,
ADCYAP1R1,0.5567349317349318,0.6048582995951417,0.5837640620249316,
ADD2,,,1.0,
ADD3,1.0,,,
ADGRA2,,,1.0,
ADGRB1,1.0,1.0,,
ADGRB2,1.0,,1.0,
ADGRB3,,,1.0,
ADGRG1,1.0,,,
ADGRG5,,0.49750249750249753,0.5837640620249316,
ADGRL3,1.0,,1.0,
ADI1,0.6445025562672622,,,
ADM,,1.0,1.0,
ADRA2A,1.0,,1.0,
ADSS,1.0,,,
AFAP1L2,,0.8937916543550347,,
AFDN,,1.0,1.0,
AFF2,1.0,1.0,,
AFF3,1.0,,1.0,
AGA,,,1.0,
AGAP1,,1.0,,
AGAP2,1.0,,1.0,
AGAP3,,1.0,,
AGFG2,0.6680819180819182,,0.689350917538837,
AGRN,0.8016983016983016,,0.78001998001998,
AHI1,1.0,,,
AHNAK2,,1.0,,
AHRR,,,0.9051622534768603,
AIF1,,1.0,1.0,
AIF1L,,0.7703264477458026,,
AIFM1,0.813250150425943,,0.7835233259890795,
AJAP1,1.0,,1.0,
AK5,,1.0,,
AKAP12,,,1.0,
AKAP13,,,1.0,
AKAP5,,,0.9882457967564351,
AKNA,,1.0,1.0,
AKR1B1,0.813250150425943,0.7246857189053721,0.7807024436237918,
AKR1C1,0.5567349317349318,,,
AKR1C2,0.6380864033925259,,,
AKR7A2,,,1.0,
AKT3,,1.0,,
AKTIP,0.5567349317349318,,,
ALCAM,,0.7656598720428508,,
ALDH1B1,1.0,,,
ALDH2,0.5567349317349318,0.6048582995951417,,
ALDH5A1,0.8878621378621379,0.8144597338145726,,
ALDH6A1,,1.0,,
ALDOA,,0.7237762237762237,,
ALDOC,,0.6892482517482517,0.7153502235469448,
ALKBH5,,0.7594405594405595,0.8065161383239186,
ALOX5AP,,1.0,1.0,1.0
ALPK1,,1.0,,1.0
ALPL,,1.0,,
ALS2CL,0.813250150425943,0.7237762237762237,,
ALYREF,,1.0,,1.0
AMER2,,,1.0,
AMIGO2,0.8016983016983016,,,
AMMECR1,1.0,,1.0,
AMOT,,,0.8658614113159567,
AMOTL1,0.7590959764872809,,0.7798262343716889,
AMOTL2,0.813250150425943,,,
AMPD2,,1.0,,
AMPH,,,1.0,
AMT,1.0,,,
ANAPC16,,,0.8653247892791618,
ANGPT1,,0.6048582995951417,,
ANGPTL2,,0.7237762237762237,,
ANK1,1.0,,,
ANKDD1A,,,1.0,
ANKMY2,,0.8663545946688336,,
ANKRD29,1.0,,1.0,
ANKRD33B,0.7590959764872809,,0.7654969464924216,
ANKRD36,,1.0,,
ANKRD37,1.0,,1.0,1.0
ANKRD44,,1.0,,
ANKRD46,,0.6736256444285641,,
ANKRD50,0.9657168834989103,,0.9446129092146791,
ANKRD9,,1.0,,
ANKS1B,1.0,1.0,1.0,
ANLN,,,1.0,
ANO3,1.0,1.0,,
ANOS1,1.0,1.0,,
ANP32B,,1.0,1.0,
ANTXR2,,,1.0,
ANXA1,,1.0,1.0,
ANXA11,,1.0,1.0,
ANXA2,,,1.0,
ANXA5,,,1.0,
AOAH,,1.0,1.0,
AP1AR,1.0,1.0,,
AP1S1,1.0,,,
AP1S2,,1.0,1.0,
AP2B1,,1.0,,
AP3S1,,,1.0,
AP5Z1,,1.0,,
APAF1,1.0,,1.0,
APBA1,,0.9824979489783958,1.0,
APBB1IP,,1.0,1.0,1.0
APBB2,1.0,0.969846392923316,,
APC,1.0,,,
APC2,1.0,,1.0,
APCDD1,0.5567349317349318,0.6004340487099108,0.5837640620249316,
APLN,,,1.0,
APLP1,,0.7237762237762237,,
APLP2,0.6680819180819182,0.6048582995951417,,
APMAP,,0.96008622347262,,
APOBEC3C,,0.8663545946688336,0.9496605584196824,
APOBEC3F,,0.7564851600841318,,
APOE,,,0.6850292564578279,
APOL2,,0.7237762237762237,0.771486577938191,
APOL3,,1.0,1.0,1.0
APOL6,,0.7554667554667555,0.7859457615555178,0.8083916083916084
APOLD1,1.0,,,
APOO,1.0,,1.0,
APOOL,1.0,,1.0,
APP,,0.6004340487099108,,
AQP1,,1.0,,1.0
AQP3,,1.0,1.0,1.0
ARAP1,1.0,,1.0,
ARAP2,,,1.0,
ARF6,,1.0,1.0,
ARFGAP1,,,0.771486577938191,
ARFGEF2,1.0,,,
ARFGEF3,,1.0,,
ARG2,0.813250150425943,0.7237762237762237,,
ARHGAP20,,1.0,,
ARHGAP21,,,1.0,
ARHGAP27,,1.0,1.0,
ARHGAP30,,1.0,1.0,1.0
ARHGAP33,,,1.0,
ARHGAP36,0.5567349317349318,,0.5837640620249316,
ARHGAP39,,,1.0,
ARHGAP5,,,1.0,
ARHGAP9,,1.0,1.0,1.0
ARHGDIB,,1.0,1.0,1.0
ARHGEF1,1.0,1.0,1.0,
ARHGEF10,,,1.0,
ARHGEF2,,1.0,,
ARHGEF28,,1.0,,
ARHGEF3,,1.0,1.0,
ARHGEF6,1.0,1.0,1.0,
ARID5B,,0.9421179993027501,,
ARL1,,0.8648636132079841,,
ARL10,1.0,,,
ARL4C,1.0,,1.0,
ARL6IP5,1.0,,,
ARMCX2,1.0,,1.0,
ARMCX3,1.0,,1.0,
ARMCX4,0.7645826395826395,0.7237762237762237,,
ARPC4,,1.0,,
ARPC5,,1.0,1.0,
ARPC5L,,0.7198499824198147,,
ARPP19,1.0,,1.0,
ARPP21,,1.0,,
ARRB1,,,0.9051622534768603,
ARRDC2,,0.6048582995951417,0.6228822723668085,
ARRDC3,,,0.8931590148981453,
ARSD,1.0,,0.9662638616613513,
ART3,,0.9824979489783958,,1.0
ARX,1.0,,,
ASAH1,1.0,1.0,,
ASAP1,1.0,,1.0,
ASB4,0.5567349317349318,,0.5837640620249316,
ASF1B,,0.841500506928016,0.9000862151547082,
ASIC1,1.0,,,
ASIC2,,1.0,1.0,
ASPH,,0.7666431928727011,0.8065161383239186,
ASS1,,1.0,,
ASTN1,1.0,1.0,1.0,
ASTN2,,1.0,,
ASXL3,1.0,,1.0,
ATAD1,1.0,,,
ATF3,0.813250150425943,0.7594405594405595,,
ATF5,,1.0,,
ATG12,1.0,,,
ATG16L2,,1.0,1.0,
ATG4A,0.8774034682024996,,0.8405478818701959,
ATG9B,1.0,,0.9991258741258742,
ATL2,,0.6004340487099108,,
ATMIN,1.0,,,
ATN1,,,1.0,
ATP10A,,1.0,1.0,
ATP10B,1.0,,1.0,
ATP11A,1.0,,,
ATP11C,0.6472426655912894,,0.6850292564578279,
ATP13A3,0.5567349317349318,0.6004340487099108,,
