,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.030848780848780847,0.01987234322563664,,0.01664269796137928
AAAS,,,1.0,
AAGAB,1.0,,1.0,
AARS,,1.0,1.0,
AASDHPPT,,,,1.0
AATK,0.31289948045551036,0.30698610055961567,0.31958328833328836,
ABAT,1.0,,1.0,
ABCA1,0.3331668331668332,,0.3529665456494725,
ABCA2,,0.6886957054087974,,
ABCA3,0.1665834165834166,,,
ABCA5,1.0,1.0,,
ABCA7,0.9606383131940144,0.9036013491459036,,
ABCA8,0.16345847514678685,0.08704737885065754,0.10023486447327506,0.07602838928140132
ABCB1,0.7551138217322142,0.7142329911349787,,
ABCB6,,0.09437008489141192,0.11801531801531802,
ABCB9,1.0,,,
ABCC1,1.0,,1.0,
ABCC9,0.8178991604789109,,0.7975174567257184,
ABCD4,,1.0,1.0,
ABCF1,,1.0,,
ABCG1,1.0,1.0,,
ABCG2,,,0.2096324727903675,
ABHD11,,,,1.0
ABHD12,1.0,1.0,,
ABHD14A,,,0.6429870380875407,
ABHD14B,,1.0,1.0,
ABHD17A,,1.0,1.0,
ABHD17B,,,1.0,
ABHD3,,0.17793428516620538,0.17609127714390874,
ABHD4,1.0,,,
ABHD5,1.0,,,
ABI1,0.1140982305365867,,,
ABI2,,0.06685988004669324,0.07387357619196877,
ABI3,,0.1470019912972933,0.13734541320748217,
ABI3BP,0.036746341893400716,,0.03056023260626841,
ABL1,0.1543822395840333,,,
ABLIM1,0.4712359712359712,0.42258251086774007,,
ABLIM2,0.9696484026111233,0.9104890177639869,0.9843087946536222,
ABLIM3,,1.0,,
ABRACL,,1.0,1.0,
ABT1,,1.0,,1.0
ABTB1,,1.0,1.0,
ACAA1,1.0,1.0,,
ACACA,,1.0,,
ACAD8,1.0,,,
ACADM,,1.0,1.0,
ACADSB,1.0,,1.0,
ACADVL,1.0,,,
ACAN,0.028234477387019757,0.01987234322563664,,
ACAT1,1.0,,,
ACBD3,,,1.0,
ACBD4,1.0,,,
ACER3,1.0,1.0,,
ACIN1,,1.0,,
ACKR1,0.028234477387019757,,0.021884708697895508,
ACKR3,0.051787590647694275,0.06685988004669324,0.08888182946760353,
ACO2,1.0,1.0,,
ACOT13,1.0,,,
ACOT7,1.0,,,
ACOT8,1.0,,,
ACOT9,1.0,,1.0,
ACP1,,0.8019603186597293,,
ACP2,,,0.056098830746718065,
ACRBP,,,1.0,
ACSBG1,,,1.0,
ACSL1,1.0,1.0,,
ACSL3,,1.0,,
ACSL4,1.0,1.0,1.0,
ACSL5,,1.0,1.0,1.0
ACSL6,,1.0,1.0,
ACSS1,1.0,,,1.0
ACSS3,1.0,1.0,1.0,
ACTA2,0.030848780848780847,,0.03056023260626841,
ACTB,0.43296335001404124,0.3673928998723143,0.3904301232364474,
ACTC1,0.10670823838083626,,,0.045208522820463115
ACTG1,,,0.7747340276545884,
ACTG2,0.2162880814566208,0.2631089840392166,,
ACTN1,,0.024135864135864132,0.03056023260626841,
ACTN4,0.09799024504906859,0.06685988004669324,0.07387357619196877,
ACTR2,,,0.9299368009389332,
ACTR3,1.0,1.0,1.0,
ACTR3B,0.3927183927183927,,,
ACVR1,,0.0626166286543645,0.056098830746718065,
ACVR1C,0.12135215777599885,,,0.06999722966109521
ACVR2A,,0.03395070402743037,0.056098830746718065,
ACVR2B,,0.057883976488627656,0.050509273335360295,
ADA,0.3889107001947469,,0.38596352019703883,0.2688314395631469
ADA2,,0.37569977192618703,,
ADAM10,0.030848780848780847,,0.021884708697895508,
ADAM11,0.028234477387019757,,0.021884708697895508,
ADAM17,0.028234477387019757,,0.04578180440249406,
ADAM19,0.028234477387019757,,0.026377595914019752,
ADAM22,,0.01987234322563664,0.021884708697895508,
ADAM28,,,0.021884708697895508,
ADAM33,0.030848780848780847,,,0.01909015354393506
ADAM9,0.028234477387019757,,0.026377595914019752,
ADAMTS1,,0.01987234322563664,,
ADAMTS10,0.030848780848780847,,,
ADAMTS12,0.028234477387019757,0.01987234322563664,,
ADAMTS14,,0.01987234322563664,,
ADAMTS18,,,0.021884708697895508,
ADAMTS4,0.036746341893400716,,0.026377595914019752,
