,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.08329170829170829,0.05105663567202029,,0.028046028046028043
AAAS,,,1.0,
AAGAB,1.0,,1.0,
AARS,,1.0,1.0,
AASDHPPT,,,,0.42069042069042073
AATK,1.0,1.0,1.0,
ABAT,1.0,,1.0,
ABCA1,0.20638653382016214,,0.13734541320748217,
ABCA2,,1.0,,
ABCA3,0.9859619179407165,,,
ABCA5,0.08329170829170829,0.06637362637362637,,
ABCA7,0.3224195159679031,0.20673752477031165,,
ABCA8,0.17721640062065594,0.0771786353181702,0.1454983372791592,0.04351969869211249
ABCB1,1.0,1.0,,
ABCB6,,0.51580677387129,0.5668525429230719,
ABCB9,0.9622802265854037,,,
ABCC1,1.0,,1.0,
ABCC9,0.8680612636308839,,0.7992130719403447,
ABCD4,,1.0,1.0,
ABCF1,,1.0,,
ABCG1,0.08329170829170829,0.05105663567202029,,
ABCG2,,,1.0,
ABHD11,,,,1.0
ABHD12,1.0,1.0,,
ABHD14A,,,1.0,
ABHD14B,,0.7700629467619758,0.7794352199524615,
ABHD17A,,0.15084915084915085,0.16805978831295287,
ABHD17B,,,0.8426187465947407,
ABHD3,,0.5120813904196694,0.5023092634368599,
ABHD4,1.0,,,
ABHD5,1.0,,,
ABI1,1.0,,,
ABI2,,1.0,1.0,
ABI3,,1.0,1.0,
ABI3BP,0.14485514485514486,,0.13734541320748217,
ABL1,1.0,,,
ABLIM1,1.0,1.0,,
ABLIM2,1.0,1.0,1.0,
ABLIM3,,1.0,,
ABRACL,,1.0,1.0,
ABT1,,1.0,,1.0
ABTB1,,0.9304960329583046,0.9274778174981841,
ACAA1,1.0,1.0,,
ACACA,,1.0,,
ACAD8,1.0,,,
ACADM,,1.0,1.0,
ACADSB,1.0,,1.0,
ACADVL,1.0,,,
ACAN,0.6446550025317148,0.5470353822002174,,
ACAT1,1.0,,,
ACBD3,,,0.13734541320748217,
ACBD4,1.0,,,
ACER3,1.0,1.0,,
ACIN1,,1.0,,
ACKR1,0.11488511488511488,,0.09262830193062752,
ACKR3,0.3310974739546168,0.1449909313986984,0.18817403069371572,
ACO2,1.0,1.0,,
ACOT13,0.7331526412306357,,,
ACOT7,1.0,,,
ACOT8,1.0,,,
ACOT9,1.0,,1.0,
ACP1,,1.0,,
ACP2,,,0.6796417867846439,
ACRBP,,,1.0,
ACSBG1,,,1.0,
ACSL1,0.5698906356801093,0.42668759811616963,,
ACSL3,,1.0,,
ACSL4,1.0,1.0,1.0,
ACSL5,,0.286383667094327,0.32869557626839185,0.1350496637120841
ACSL6,,1.0,1.0,
ACSS1,1.0,,,1.0
ACSS3,1.0,1.0,1.0,
ACTA2,0.331218489113226,,0.27892275791435456,
ACTB,1.0,1.0,1.0,
ACTC1,1.0,,,1.0
ACTG1,,,0.39450834879406305,
ACTG2,0.7291042291042291,0.6361444560058879,,
ACTN1,,0.7298344808718252,0.7042216338794286,
ACTN4,1.0,1.0,1.0,
ACTR2,,,1.0,
ACTR3,1.0,1.0,1.0,
ACTR3B,1.0,,,
ACVR1,,0.48667089540724484,0.5445531031468531,
ACVR1C,1.0,,,1.0
ACVR2A,,0.9816519816519818,0.990712452104857,
ACVR2B,,0.7861670165040952,0.8037332886804002,
ADA,0.3849337913082933,,0.24662643857690297,0.1271283461064483
ADA2,,0.5094250012282799,,
ADAM10,0.5171291812513187,,0.458046953046953,
ADAM11,0.33824043976328244,,0.2875440067953437,
ADAM17,0.39571539571539566,,0.33341997369146686,
ADAM19,0.3540903540903541,,0.3287867792584774,
ADAM22,,0.38218978718019025,0.4332404437667595,
ADAM28,,,0.177381323130311,
ADAM33,0.39042988261738265,,,0.15058804831532105
ADAM9,0.5603260375987648,,0.47995666305525464,
ADAMTS1,,0.18927840220615888,,
ADAMTS10,0.331218489113226,,,
ADAMTS12,0.34636155923284634,0.2127359819667512,,
ADAMTS14,,0.16732846984947825,,
ADAMTS18,,,0.23109654850269187,
ADAMTS4,0.8633678149807181,,0.8218923933209646,
ADAMTS7,0.33824043976328244,0.2127359819667512,0.18817403069371572,
ADAMTS8,0.5053173048031661,,,
ADAMTS9,0.7841660207787231,,,
ADAMTSL3,0.5806226968052695,,0.4963638185522684,
ADAMTSL4,,,1.0,
ADAR,,1.0,,
ADARB2,1.0,,1.0,
ADCK1,1.0,1.0,,
ADCY1,0.7743199012043233,0.6486513486513487,0.7123185802961084,
ADCY2,0.4641643186534827,0.398490815001134,,
ADCY3,0.9407431217937785,,,
ADCY7,,0.8146400700748526,0.8618223881381776,
ADCY8,0.39042988261738265,,0.3287867792584774,
ADCY9,,0.7710392221524845,,0.5537064091977386
ADCYAP1,1.0,,1.0,
ADCYAP1R1,0.35641103082963543,0.2573309043897279,0.307965230645643,
ADD2,1.0,,1.0,
ADD3,1.0,,,1.0
ADGRA1,,0.8873626373626373,,0.6554628167531393
ADGRA2,0.8864071708108406,,0.8346537899696606,
ADGRB1,1.0,1.0,1.0,
ADGRB2,1.0,,1.0,
ADGRB3,1.0,1.0,1.0,
ADGRG1,0.5883438942987198,0.48667089540724484,,
ADGRG5,,1.0,1.0,
ADGRL1,,1.0,,
ADGRL3,1.0,,1.0,
ADH5,0.8870905517246981,,,
ADI1,0.9609998736477353,,,
ADIPOR1,0.29870129870129875,0.15084915084915085,,
ADK,0.9571307009550375,,0.838212506645512,
