,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.1457633275815094,0.10882867132867134,,0.10973641742872511
AAGAB,1.0,,1.0,
ABAT,,,0.17803191283854267,
ABCA1,0.17997308813635346,,0.15938018815716656,
ABCA2,,0.18698080443046886,,
ABCA5,0.1630572817013495,0.1460410557184751,,
ABCA8,0.3567659961521854,0.34490317374932755,0.3277578952097153,0.2987269141115295
ABCB1,1.0,1.0,,
ABCC1,,,0.303282599753188,
ABCC9,0.3292689453403739,,,
ABCG1,0.1457633275815094,,,
ABI3,,1.0,1.0,
ABI3BP,0.2836333341748504,,,
ABLIM1,,1.0,,
ABLIM2,1.0,,,
ABRACL,,0.17412587412587413,0.2229504812530643,
ABT1,,1.0,,
ABTB1,,1.0,,
ACACA,,0.47421514655557206,,
ACADM,,,0.29188203101246585,
ACADSB,0.4450372462183486,,,
ACAN,0.3799518017527496,0.3339400325701696,,
ACKR1,,,0.2580594892572608,
ACKR3,0.44920060484262825,0.44507510426792934,,
ACO2,,0.3034558802193657,,
ACOT9,0.9316816114399197,,0.972871100530675,
ACSL1,0.5362265411688805,0.45568028462765303,,
ACSL3,,0.4992086103197214,,
ACSL4,0.28904768700687067,,0.2855651810875691,
ACSL5,,0.4098789357553965,0.45839622932133944,0.3487762237762238
ACSL6,,0.9850715008784893,1.0,
ACSS1,0.20823332511644202,,,0.13473193473193473
ACSS3,0.8088563222491794,,0.8335566015706614,
ACTA2,0.9414733563030158,,0.8805886615490659,
ACTB,0.8963086602838156,0.9258473932670284,0.9476625069845409,
ACTG1,,,0.9002917612189136,
ACTN1,,1.0,1.0,
ACTN4,,1.0,1.0,
ACTR3,1.0,,1.0,
ACVR2A,,1.0,,
ADA,0.5685449853412529,,0.5467260012714559,0.4640660544275002
ADA2,,0.8745546608486194,,
ADAM17,0.4340507976871613,,0.3881118881118882,
ADAM19,0.812363911033534,,0.8461538461538463,
ADAM33,0.21044580419580422,,,
ADAMTS10,0.5679743454038124,,,
ADAMTS12,,0.34758331879253185,,
ADAMTS4,,,0.7402654926647247,
ADAMTS9,0.28904768700687067,,,
ADAMTSL3,1.0,,1.0,
ADARB2,1.0,,1.0,
ADCY1,0.9537991652616157,,0.9905363119370902,
ADCY2,0.6950084136395923,0.6249664556662299,,
ADCY7,,0.7607274382422311,0.8173471091242974,
ADCY8,0.5243985466588207,,0.49942510319868805,
ADCYAP1,,,0.45156637084888207,
ADCYAP1R1,0.28904768700687067,0.30298632185424634,0.2720188902007084,
ADD2,,,0.9553523399677245,
ADD3,1.0,,,
ADGRA2,,,0.7708769451123483,
ADGRB1,0.8115296075162296,0.78995328995329,,
ADGRB2,0.7815182529141339,,0.772027972027972,
ADGRB3,,,1.0,
ADGRG1,0.3553702234441021,,,
ADGRG5,,0.12663699936427208,0.11846976552858907,
ADGRL3,0.17997308813635346,,0.13821472645002056,
ADI1,0.5139807927264373,,,
ADM,,0.1460410557184751,0.1871402933349836,
ADRA2A,0.836179949083175,,0.8297055057618438,
ADSS,0.2836333341748504,,,
AFAP1L2,,0.8130326049789137,,
AFDN,,1.0,1.0,
AFF2,1.0,1.0,,
AFF3,1.0,,1.0,
AGA,,,0.3109148915600528,
AGAP1,,1.0,,
AGAP2,1.0,,1.0,
AGAP3,,1.0,,
AGFG2,1.0,,1.0,
AGRN,0.19553617114592725,,0.15734265734265734,
AHI1,1.0,,,
AHNAK2,,0.28161587842681235,,
AHRR,,,1.0,
AIF1,,0.16905424672414962,0.2269280015758889,
AIF1L,,0.6249664556662299,,
AIFM1,0.5335717793911774,,0.5235845235845236,
AJAP1,0.7214317648575791,,0.7300454647393423,
AK5,,0.7484813693768917,,
AKAP12,,,0.42789159722067066,
AKAP13,,,1.0,
AKAP5,,,0.343851270680539,
AKNA,,1.0,1.0,
AKR1B1,0.3647727272727273,0.3120789597368009,0.3608876672460488,
AKR1C1,0.8278406376232463,,,
AKR1C2,0.1630572817013495,,,
AKR7A2,,,0.11846976552858907,
AKT3,,1.0,,
AKTIP,0.2979284229284229,,,
ALCAM,,0.5328070367132867,,
ALDH1B1,0.1630572817013495,,,
ALDH2,0.1630572817013495,0.13059440559440563,,
ALDH5A1,0.1457633275815094,0.12437562437562438,,
ALDH6A1,,0.11356035269078747,,
ALDOA,,0.3428733428733429,,
ALDOC,,0.2493762518888147,0.28981749957359715,
ALKBH5,,0.5338658753923954,0.5534039360890052,
ALOX5AP,,0.1451048951048951,0.18226117773629086,0.12968849332485696
ALPK1,,1.0,,1.0
ALPL,,0.3502155738997844,,
ALS2CL,1.0,1.0,,
ALYREF,,1.0,,1.0
