,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.028575591075591076,0.037495660837835905,,0.017159831319123357
AAGAB,1.0,,1.0,
AARS,,1.0,,
AATK,0.30933874056550636,0.2697187869601662,,
ABAT,,,1.0,
ABCA1,0.295639197894837,,0.3153334424520865,
ABCA2,,0.7218313601292324,,
ABCA3,0.12401703179280033,,,
ABCA5,1.0,1.0,,
ABCA7,0.9511368939940369,,,
ABCA8,0.12401703179280033,0.10400970267191004,0.14251993265899715,0.05582145127599673
ABCB1,0.7014281690288696,0.7148924414012268,,
ABCB6,,,0.12752631983401214,
ABCB9,1.0,,,
ABCC1,1.0,,1.0,
ABCC9,0.8139827385729026,,0.7432864232324057,
ABCD4,,,1.0,
ABCF1,,1.0,,
ABCG1,1.0,1.0,,
ABCG2,,,0.19372537574784768,
ABHD12,1.0,1.0,,
ABHD14B,,,1.0,
ABHD17A,,1.0,,
ABHD3,,0.1298854285071743,0.17123252334519942,
ABHD5,1.0,,,
ABI2,,0.06269939737681673,,
ABI3,,0.11723523685246173,0.11809286603807152,
ABI3BP,0.03694621876440058,,0.03750774112765063,
ABLIM1,,0.42072619323804156,,
ABLIM2,0.9351038976624,0.8797845511132224,0.9199002217294899,
ABLIM3,,1.0,,
ABRACL,,1.0,1.0,
ABT1,,1.0,,1.0
ABTB1,,1.0,1.0,
ACAA1,1.0,1.0,,
ACACA,,1.0,,
ACAD8,1.0,,,
ACADM,,1.0,1.0,
ACADSB,1.0,,,
ACAN,0.021946053946053947,0.023462015163259978,,
ACER3,1.0,1.0,,
ACIN1,,1.0,,
ACKR1,0.021946053946053947,,0.024836586634339443,
ACKR3,0.07167654198533059,0.06960842188114916,,
ACO2,1.0,1.0,,
ACOT9,1.0,,1.0,
ACP1,,0.7995211785299248,,
ACP2,,,0.03750774112765063,
ACRBP,,,1.0,
ACSBG1,,,1.0,
ACSL1,1.0,1.0,,
ACSL3,,1.0,,
ACSL4,1.0,1.0,1.0,
ACSL5,,1.0,1.0,1.0
ACSL6,,1.0,1.0,
ACSS1,1.0,,,1.0
ACSS3,1.0,1.0,1.0,
ACTA2,0.03331890781283494,,0.028501584375509877,
ACTB,0.3647104340745959,0.39602420925378123,0.39520864761881414,
ACTC1,0.0983637876068155,,,0.0443576031811326
ACTG1,,,0.7494967920069134,
ACTG2,0.22040513288719887,0.21221780763765496,,
ACTN1,,0.02771738065855713,0.028501584375509877,
ACTN4,,0.06015261334410271,0.0828921078921079,
ACTR2,,,0.896075476780486,
ACTR3,1.0,1.0,1.0,
ACVR1,,0.06015261334410271,0.06824736155782468,
ACVR2A,,0.02771738065855713,0.033407398646693356,
ACVR2B,,0.06015261334410271,0.05974205974205975,
ADA,0.3585119664466222,,0.3769161566674888,0.2786007096351924
ADA2,,0.33705246449336895,,
ADAM10,0.021946053946053947,,0.023683459397745115,
ADAM11,0.028575591075591076,,0.023683459397745115,
ADAM17,0.028575591075591076,,0.023683459397745115,
ADAM19,0.028575591075591076,,0.023683459397745115,
ADAM22,,0.023462015163259978,0.028501584375509877,
ADAM33,0.021946053946053947,,,0.012927072927072927
ADAM9,,,0.028501584375509877,
ADAMTS1,,0.020050871114700903,,
ADAMTS10,0.021946053946053947,,,
ADAMTS12,0.021946053946053947,0.023462015163259978,,
ADAMTS14,,0.020050871114700903,,
ADAMTS18,,,0.024836586634339443,
ADAMTS4,0.042465274663417076,,0.033407398646693356,
ADAMTS7,0.021946053946053947,0.020050871114700903,0.024836586634339443,
ADAMTS9,0.03331890781283494,,,
ADAMTSL3,0.4434143442764133,,0.3989227860195602,
ADAMTSL4,,,0.03750774112765063,
ADAR,,1.0,,
ADARB2,1.0,,1.0,
ADCY1,0.42619524895236055,,0.4392931962552215,
ADCY2,0.11577046806404603,0.08387772785678545,,
ADCY3,0.4469185691050643,,,
ADCY7,,0.3991946158290452,0.44543198195591144,
ADCY8,0.19825896817047262,,0.19372537574784768,
ADCY9,,0.23007818322244955,,0.17492078878217493
ADCYAP1,0.23491977635624042,,0.2191297326725279,
ADCYAP1R1,0.05745040300014122,0.0475726196880043,0.05974205974205975,
ADD2,0.07167654198533059,,0.0757252535392829,
ADD3,0.09402291257129967,,,0.04018779148312827
ADGRA1,,,,0.19328260164273026
ADGRA2,0.21376026570831766,,0.1743058343525633,
ADGRB1,0.042465274663417076,0.0475726196880043,0.07220083099480085,
ADGRB2,1.0,,0.9970792930220139,
ADGRB3,0.3217604644448659,,0.27161449938672716,
ADGRG1,0.16371048306532177,0.1390412865822702,,
ADGRG5,,0.5803512233850239,0.6167603125065274,
ADGRL1,,0.20607269967883782,,
ADGRL3,0.7559608607791195,,0.6947803234110289,
ADI1,1.0,,,
ADIPOR1,0.400185560541908,0.3924325918460816,,
ADK,1.0,,1.0,
ADM,,0.06015261334410271,0.04197068754030779,
ADRA2A,0.46954083261137197,,0.4098036794666008,0.2585414585414586
ADRA2C,,0.2223619077551662,,
ADRB1,0.11577046806404603,,0.12411652518604391,
ADSS,1.0,1.0,,
AEBP1,,,0.023683459397745115,
AFAP1L2,,0.1568417357891042,,
AFDN,,0.037495660837835905,0.028501584375509877,
AFF2,0.32390260342067567,0.32998547194130795,0.30171764344077995,
AFF3,0.021946053946053947,,0.024836586634339443,
AFF4,,,1.0,
AFG3L2,1.0,,,
AGA,0.8320989634858248,,0.7806712581074909,
AGAP1,,0.9973795486873959,1.0,
AGAP2,0.1304012888519931,0.11723523685246173,0.14506118881118882,
AGAP3,,0.6719785296798588,,
AGFG1,1.0,,,
AGFG2,1.0,,1.0,
AGMAT,,1.0,1.0,
AGPS,1.0,,,
AGRN,0.028575591075591076,,0.024836586634339443,
AGTR2,0.11323010947776427,,,
AGTRAP,,1.0,,
AHDC1,,,1.0,
AHI1,1.0,,1.0,
AHNAK2,,0.5549986925825852,,
AHRR,1.0,,1.0,
AIF1,,0.020050871114700903,0.028501584375509877,
AIF1L,,1.0,,
AIFM1,1.0,,1.0,
AIFM2,,,1.0,
AIP,1.0,,,
AJAP1,0.48493336057570385,,0.4526436712366361,0.25967873768460276
AK1,,,1.0,
AK5,,1.0,,
AKAP1,0.49726708336980235,,,
AKAP11,,1.0,,
AKAP12,,,0.26964902567312204,
AKAP13,,,1.0,
AKAP17A,,1.0,,
AKAP5,,,0.5521976139911332,
AKAP8L,,1.0,1.0,
AKAP9,,,1.0,
AKIRIN1,,,1.0,
AKIRIN2,,1.0,,
AKNA,,1.0,1.0,
AKR1B1,1.0,1.0,1.0,
AKR1C1,0.08014008463446666,0.1002882252882253,,
AKR1C2,1.0,,,
AKR7A2,1.0,,1.0,
AKT3,,0.3231054659626088,0.32943321627774247,
AKTIP,1.0,,,
ALCAM,,0.02771738065855713,0.024836586634339443,
ALDH18A1,,1.0,,
ALDH1A2,1.0,,,
ALDH1A3,,,1.0,
ALDH1B1,1.0,,,
ALDH2,1.0,1.0,,1.0
ALDH5A1,1.0,1.0,,
ALDH6A1,1.0,1.0,,
ALDOA,,1.0,,
ALDOC,,1.0,1.0,
ALG13,1.0,,,
ALG3,0.26126254697683277,,,
ALKBH2,,,1.0,
ALKBH4,1.0,,,
ALKBH5,,1.0,1.0,
ALOX5AP,,0.023462015163259978,0.024836586634339443,0.012927072927072927
ALOXE3,0.03331890781283494,,0.033407398646693356,
ALPK1,,1.0,,1.0
ALPL,,1.0,,
ALS2CL,0.14853505208835158,0.12349584892486608,,
ALYREF,,1.0,,1.0
AMER2,,0.41201368142883005,0.41945403993596764,
AMER3,,0.443632504913842,,
AMFR,,,1.0,
AMIGO2,0.028575591075591076,,,
AMMECR1,0.11014988835256521,,0.0828921078921079,
AMOT,0.588747053131882,,0.5454916576978744,
AMOTL1,0.9511368939940369,,0.8968486842793683,
AMOTL2,0.7426237298141652,,,
AMPD2,,0.6237407676256597,,
AMPH,,1.0,1.0,
AMT,1.0,,,
AMZ1,,0.36507036507036505,,
ANAPC16,1.0,,1.0,
ANAPC2,1.0,,1.0,
ANAPC5,,,1.0,
ANGPT1,0.021946053946053947,0.037495660837835905,,
ANGPTL2,,0.04305339330720041,0.03750774112765063,
ANK1,0.11577046806404603,,,
ANK3,,,0.1561735366083192,
ANKDD1A,,1.0,1.0,
ANKHD1,,,1.0,
ANKMY2,,1.0,,
ANKRA2,,,1.0,
ANKRD10,,,0.9401484975255467,
ANKRD27,,,1.0,
ANKRD29,0.30404713592758426,,0.3031665158710395,
ANKRD33B,1.0,,1.0,
ANKRD36,,1.0,,
ANKRD36B,1.0,,,
ANKRD37,1.0,1.0,1.0,1.0
ANKRD44,,1.0,1.0,
ANKRD46,0.10653424245657254,0.11105097848142037,,
ANKRD49,,1.0,,
ANKRD50,1.0,,1.0,
ANKRD55,,,1.0,
ANKRD6,,0.8838614281740591,,
ANKRD9,,1.0,1.0,
ANKS1A,0.49423046589038494,,,
ANKS1B,0.5662330129813636,0.5082557891546656,0.5246172377894903,
ANKS3,,1.0,,
ANKZF1,1.0,1.0,1.0,
ANLN,,0.27823985968782344,0.2787667327726675,
ANO3,0.22568637036722142,0.18946887540842863,,
ANO6,,,0.9199002217294899,
ANOS1,0.23371321416014154,0.1847086247086247,,
ANP32B,,1.0,1.0,
ANP32E,,1.0,,
ANTXR1,,,0.024836586634339443,
ANTXR2,,,0.1399201821196706,
ANXA1,,0.18946887540842863,0.19372537574784768,
ANXA11,,1.0,1.0,
ANXA2,,,0.3716870318293806,
ANXA5,0.45866091580377294,,0.4098036794666008,
AOAH,,0.051637859857037935,0.07220083099480085,0.025513959724486043
AP1AR,0.18064324649316993,0.18747830418917955,,
AP1G2,1.0,1.0,,
AP1S1,1.0,,1.0,
AP1S2,,0.7207784605044879,0.7524482251754979,
AP2B1,,1.0,,
AP3S1,1.0,,1.0,
AP4E1,,1.0,,
AP5B1,,1.0,,
AP5Z1,,1.0,,
APAF1,1.0,,1.0,
APBA1,0.06298293543191502,0.0475726196880043,0.04717437034510205,
APBB1IP,,0.22715232851203182,0.25139409770557314,0.1463867143309652
APBB2,0.04757092618364295,0.06015261334410271,,0.0315294461635925
APC,1.0,,1.0,
APC2,0.12401703179280033,,0.12411652518604391,
APCDD1,1.0,1.0,1.0,
APLN,1.0,,1.0,
APLP1,,0.02771738065855713,0.028501584375509877,
APLP2,0.39672659179385633,0.33705246449336895,,
APMAP,,1.0,,
APOBEC3C,,0.31345403788891407,0.29293909973521626,0.19680639872947567
APOBEC3F,,0.037495660837835905,0.07919628142558079,
APOC1,0.03331890781283494,,,
APOD,,0.051637859857037935,,
APOE,0.021946053946053947,,0.024836586634339443,
APOL2,,0.5463481666013312,0.5035811510631655,0.36140203882139366
APOL3,,0.037495660837835905,0.03750774112765063,0.02827797202797203
APOL6,,0.21221780763765496,0.23833671613798466,0.1329379840018138
APOLD1,0.27288941425067076,0.22715232851203182,,
APOM,0.4898672755815613,,,
APOO,1.0,,1.0,
APOOL,1.0,,1.0,
APP,,0.11418307056433066,,
APPL2,,,,0.02325013116380023
APRT,,1.0,,
AQP1,,0.6646958057616364,0.7247397411331837,0.5270764148569635
AQP3,,0.3692518847055238,0.3929915562926977,0.24741727115614356
AQP4,0.7921946040757921,,,
AR,1.0,,,
ARAP1,0.04757092618364295,,0.04197068754030779,
ARAP2,0.33964131106988255,,0.3045987505317649,
ARF1,,1.0,,
ARF6,,0.5249775777884806,0.5289613110624783,
ARFGAP1,,1.0,1.0,
ARFGEF2,0.709011716817441,0.6295141410863677,,
ARFGEF3,0.5277554476773226,0.5414754736788635,,0.3732951540438172
ARG2,0.7947542169764393,0.737061586047311,,
ARHGAP20,,0.6804530872853854,,
ARHGAP21,,,0.7574910059879999,
ARHGAP22,,,,0.2445662445662446
ARHGAP23,1.0,,,
ARHGAP24,,0.2448204227563658,,
ARHGAP27,,0.20349830118467652,0.18015856975394548,
ARHGAP30,,0.06269939737681673,0.09070261045944937,0.046168117596689026
ARHGAP32,,0.08048890611168191,0.09416741703737218,
ARHGAP33,0.17491994785929468,,0.14251993265899715,
ARHGAP35,,0.07275812422871246,,
ARHGAP36,0.9251767840003134,,0.8596991428961221,0.6137252170906017
ARHGAP39,,,0.6467341845433718,
ARHGAP5,0.1018005432067932,0.07668642388353059,0.08685151520282491,
ARHGAP6,,0.2762918899282536,,
ARHGAP9,,0.06269939737681673,0.07220083099480085,0.03362533420336889
ARHGDIA,,0.2244901500484627,,
ARHGDIB,,0.020050871114700903,0.028501584375509877,0.017159831319123357
ARHGDIG,,,0.23001011795035273,
ARHGEF1,0.03331890781283494,0.037495660837835905,0.04717437034510205,
ARHGEF10,,,0.5898325686027004,
ARHGEF11,0.06707229201116731,,,
ARHGEF16,0.46299691869312126,0.3312169002545572,,
ARHGEF2,,0.7564483349236713,,
ARHGEF25,0.2889470935156214,,,
ARHGEF26,,0.267391201647257,,
ARHGEF28,1.0,0.9411052794408865,,
ARHGEF3,,0.26443533371939837,0.2738326350266649,
ARHGEF4,,0.6424375307985759,,
ARHGEF6,0.18975911306738372,0.1766983016983017,0.16793218560003012,
