,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,1.0,1.0,,1.0
AAGAB,1.0,,1.0,
AARS,,0.5852897102897103,,
AATK,,0.6024137153169412,,
ABAT,,,0.5598618249220659,
ABCA1,1.0,,1.0,
ABCA2,,1.0,,
ABCA3,0.5622181556760996,,,
ABCA5,1.0,1.0,,
ABCA7,1.0,,,
ABCA8,1.0,1.0,1.0,1.0
ABCB1,1.0,1.0,,
ABCB6,,,0.4359521075938987,
ABCC1,0.4046620046620047,,0.46074473471733746,
ABCC9,1.0,,1.0,
ABCF1,,1.0,,
ABCG1,1.0,1.0,,
ABCG2,,,1.0,
ABHD17A,,0.5940344571629488,,
ABHD3,,,0.4359521075938987,
ABHD5,1.0,,,
ABI2,,1.0,,
ABI3,,1.0,1.0,
ABI3BP,1.0,,1.0,
ABLIM1,,1.0,,
ABLIM2,1.0,1.0,1.0,
ABLIM3,,1.0,,
ABRACL,,0.7328614590277877,0.753473532338503,
ABT1,,0.5470176881941587,,0.719184041764687
ABTB1,,1.0,1.0,
ACACA,,0.5657025900928341,,
ACADM,,,0.4359521075938987,
ACADSB,0.3613053613053613,,,
ACAN,1.0,1.0,,
ACER3,,1.0,,
ACKR1,,,1.0,
ACKR3,0.397959528394311,0.5081585081585082,,
ACO2,,0.5027525665823538,,
ACOT9,0.3613053613053613,,0.4359521075938987,
ACSL1,0.3613053613053613,0.5027525665823538,,
ACSL3,,1.0,,
ACSL4,0.39415130324221237,,0.45228397975650725,
ACSL5,,0.5027525665823538,0.4398423662227343,0.719184041764687
ACSL6,,1.0,1.0,
ACSS1,0.3613053613053613,,,0.707020252474798
ACSS3,1.0,1.0,1.0,
ACTA2,1.0,,1.0,
ACTB,0.813390964144733,0.8890617023044868,0.966343782799479,
ACTC1,,,,1.0
ACTG1,,,1.0,
ACTN1,,1.0,1.0,
ACTN4,,1.0,1.0,
ACTR3,1.0,1.0,1.0,
ACVR1,,,1.0,
ACVR2A,,1.0,,
ACVR2B,,1.0,1.0,
ADA,0.9106254247320078,,1.0,1.0
ADA2,,1.0,,
ADAM10,,,1.0,
ADAM11,,,1.0,
ADAM17,1.0,,1.0,
ADAM19,1.0,,1.0,
ADAM22,,1.0,1.0,
ADAM33,0.5562542972614916,,,
ADAM9,,,1.0,
ADAMTS10,0.8692273909665214,,,
ADAMTS12,1.0,1.0,,
ADAMTS14,,0.5027525665823538,,
ADAMTS4,,,1.0,
ADAMTS7,1.0,1.0,1.0,
ADAMTS9,1.0,,,
ADAMTSL3,1.0,,1.0,
ADAMTSL4,,,1.0,
ADARB2,1.0,,1.0,
ADCY1,1.0,,1.0,
ADCY2,1.0,1.0,,
ADCY7,,1.0,1.0,
ADCY8,1.0,,1.0,
ADCYAP1,1.0,,1.0,
ADCYAP1R1,1.0,1.0,1.0,
ADD2,,,1.0,
ADD3,1.0,,,1.0
ADGRA1,,,,1.0
ADGRA2,1.0,,1.0,
ADGRB1,1.0,1.0,,
ADGRB2,1.0,,1.0,
ADGRB3,,,1.0,
ADGRG1,1.0,1.0,,
ADGRG5,,0.5262310910846476,0.485492119820478,
ADGRL1,,1.0,,
ADGRL3,0.3613053613053613,,0.4359521075938987,
ADI1,0.3723883478484705,,,
ADIPOR1,0.511445658898742,0.5852897102897103,,
ADM,,1.0,1.0,
ADRA2A,1.0,,1.0,1.0
ADRB1,,,1.0,
ADSS,0.3790744774351332,,,
AEBP1,,,1.0,
AFAP1L2,,1.0,,
AFDN,,1.0,1.0,
AFF2,1.0,1.0,,
AFF3,1.0,,1.0,
AFG3L2,0.3613053613053613,,,
AGA,,,1.0,
AGAP1,,1.0,1.0,
AGAP2,1.0,,1.0,
AGAP3,,1.0,,
AGFG1,1.0,,,
AGFG2,1.0,,1.0,
AGMAT,,,0.6236036690582145,
AGRN,1.0,,1.0,
AHI1,1.0,,1.0,
AHNAK2,,1.0,,
AHRR,0.5378419049305125,,0.654573333643101,
AIF1,,1.0,1.0,
AIF1L,,1.0,,
AIFM1,0.397959528394311,,0.4398423662227343,
AJAP1,1.0,,1.0,1.0
AK1,,,1.0,
AK5,,1.0,,
AKAP1,1.0,,,
AKAP11,,1.0,,
AKAP12,,,1.0,
AKAP13,,,1.0,
AKAP5,,,1.0,
AKAP8L,,1.0,1.0,
AKAP9,,,1.0,
AKIRIN2,,1.0,,
AKNA,,1.0,1.0,
AKR1B1,0.6368006993006993,0.6998131179165662,0.7550012849819426,
AKR1C1,1.0,,,
AKR1C2,0.3723883478484705,,,
AKR7A2,,,0.8025481980705861,
AKT3,,1.0,,
AKTIP,1.0,,,
ALCAM,,1.0,,
ALDH18A1,,0.5852897102897103,,
