,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.017815517815517816,0.0147564300106673,,0.014556871699728842
AAGAB,1.0,,1.0,
ABAT,,,1.0,
ABCA1,0.26775166580991827,,0.30318069027746447,
ABCA2,,0.5855054036872218,,
ABCA5,1.0,1.0,,
ABCA8,0.11516108201191075,0.0918385412056298,0.07442991790817878,0.05126748251748251
ABCB1,0.6548471880900646,0.5727572757275727,,
ABCC1,,,1.0,
ABCC9,0.7174731882903089,,,
ABCG1,1.0,,,
ABI3,,0.07966543260660908,0.09514894554264633,
ABI3BP,0.036607228388050306,,,
ABLIM1,,0.3886938867584029,,
ABLIM2,0.9090427063889066,,,
ABRACL,,1.0,1.0,
ABT1,,1.0,,
ABTB1,,1.0,,
ACACA,,1.0,,
ACADM,,,1.0,
ACADSB,1.0,,,
ACAN,0.017815517815517816,0.0147564300106673,,
ACKR1,,,0.02097902097902098,
ACKR3,0.07408433151007408,0.04631007290581759,,
ACO2,,1.0,,
ACOT9,1.0,,1.0,
ACSL1,1.0,1.0,,
ACSL3,,1.0,,
ACSL4,1.0,,1.0,
ACSL5,,1.0,1.0,1.0
ACSL6,,1.0,1.0,
ACSS1,1.0,,,1.0
ACSS3,1.0,,1.0,
ACTA2,0.02780456537681971,,0.02097902097902098,
ACTB,0.34054441134087154,0.29920220624445976,0.34777593540480134,
ACTG1,,,0.6319186885988506,
ACTN1,,0.02532739987285442,0.02097902097902098,
ACTN4,,0.03337876181326661,0.0562280359234674,
ACTR3,1.0,,1.0,
ACVR2A,,0.01913471144240375,,
ADA,0.3316377866737579,,0.3277972027972028,0.20950798080842925
ADA2,,0.274670336898991,,
ADAM17,0.02780456537681971,,0.03617938947280265,
ADAM19,0.017815517815517816,,0.017361948396431157,
ADAM33,0.017815517815517816,,,
ADAMTS10,0.022583050752064838,,,
ADAMTS12,,0.0147564300106673,,
ADAMTS4,,,0.03301616416370515,
ADAMTS9,0.017815517815517816,,,
ADAMTSL3,0.3866538183570224,,0.32645002056766764,
ADARB2,1.0,,1.0,
ADCY1,0.4265192935143674,,0.38061562967695634,
ADCY2,0.08907758907758909,0.08872656006413969,,
ADCY7,,0.342158514433077,0.3909211181938455,
ADCY8,0.1556695731453013,,0.17866004962779156,
ADCYAP1,,,0.18537468771478133,
ADCYAP1R1,0.049335280104510874,0.040731198625935466,0.04450797820963567,
ADD2,,,0.04450797820963567,
ADD3,0.08571617062183101,,,
ADGRA2,,,0.18537468771478133,
ADGRB1,0.0663474456577905,0.03337876181326661,,
ADGRB2,0.9512975063214297,,0.8751684678957407,
ADGRB3,,,0.28095661244832515,
ADGRG1,0.14279613516254738,,,
ADGRG5,,0.5154125874125874,0.5296591001787184,
ADGRL3,0.6792609780657589,,0.6223563670372182,
ADI1,1.0,,,
ADM,,0.040731198625935466,0.06496729077374239,
ADRA2A,0.351622062148378,,0.38988385227596073,
ADSS,1.0,,,
AFAP1L2,,0.11289103823484964,,
AFDN,,0.01913471144240375,0.04450797820963567,
AFF2,0.31014605832124076,0.22546720050620206,,
AFF3,0.02780456537681971,,0.025710459753012945,
AGA,,,0.6865410451617349,
AGAP1,,0.8938461538461537,,
AGAP2,0.12366622738963165,,0.07922512270338357,
AGAP3,,0.555351625119067,,
AGFG2,1.0,,1.0,
AGRN,0.022583050752064838,,0.02097902097902098,
AHI1,1.0,,,
AHNAK2,,0.5168119551681195,,
AHRR,,,1.0,
AIF1,,0.0147564300106673,0.025710459753012945,
AIF1L,,1.0,,
AIFM1,1.0,,1.0,
AJAP1,0.44425319903026905,,0.41535442974291903,
AK5,,1.0,,
AKAP12,,,0.2026266416510319,
AKAP13,,,0.9381922425400686,
AKAP5,,,0.5062358751150917,
AKNA,,1.0,1.0,
AKR1B1,1.0,1.0,1.0,
AKR1C1,0.0663474456577905,,,
AKR1C2,1.0,,,
AKR7A2,,,1.0,
AKT3,,0.2468752966490523,,
AKTIP,1.0,,,
ALCAM,,0.022712070538157495,,
ALDH1B1,1.0,,,
ALDH2,1.0,1.0,,
ALDH5A1,1.0,1.0,,
ALDH6A1,,1.0,,
ALDOA,,1.0,,
ALDOC,,1.0,1.0,
ALKBH5,,1.0,1.0,
ALOX5AP,,0.0147564300106673,0.017361948396431157,0.010807374443738079
ALPK1,,1.0,,1.0
ALPL,,1.0,,
ALS2CL,0.13978329362944747,0.10368891888399075,,
ALYREF,,1.0,,1.0
AMER2,,,0.3862438930932082,
AMIGO2,0.017815517815517816,,,
AMMECR1,0.09601177265847924,,0.06496729077374239,
AMOT,,,0.5165179647938268,
AMOTL1,0.9107138349015605,,0.8610252133187913,
AMOTL2,0.6400479629362463,,,
AMPD2,,0.5420715902238858,,
AMPH,,,1.0,
AMT,1.0,,,
ANAPC16,,,1.0,
ANGPT1,,0.0147564300106673,,
ANGPTL2,,0.022712070538157495,,
ANK1,0.12101106440729083,,,
ANKDD1A,,,1.0,
ANKMY2,,1.0,,
ANKRD29,0.30174622425544934,,0.20896997739103002,
ANKRD33B,1.0,,1.0,
ANKRD36,,1.0,,
ANKRD37,1.0,,1.0,1.0
ANKRD44,,1.0,,
ANKRD46,,0.11077590401646067,,
ANKRD50,1.0,,1.0,
ANKRD9,,1.0,,
ANKS1B,0.4992612178240921,0.4596426165986214,0.45656529891282477,
ANLN,,,0.2613352796709637,
ANO3,0.16740799803444814,0.16409768242228975,,
ANOS1,0.20468892809318345,0.17677753718362857,,
ANP32B,,1.0,1.0,
ANTXR2,,,0.10417169037858692,
ANXA1,,0.1687032690492898,0.16031729464565286,
ANXA11,,1.0,1.0,
ANXA2,,,0.3516073143801,
ANXA5,,,0.39243109831345124,
AOAH,,0.04631007290581759,0.040395134951008875,
AP1AR,0.19519610823958652,0.1687032690492898,,
AP1S1,1.0,,,
AP1S2,,0.6728810757587737,0.67996953541508,
AP2B1,,1.0,,
AP3S1,,,1.0,
AP5Z1,,1.0,,
APAF1,1.0,,1.0,
APBA1,,0.040731198625935466,0.05272214696298466,
APBB1IP,,0.20233939546541838,0.22278606349402807,0.11234265734265735
APBB2,0.049335280104510874,0.06160113471434227,,
APC,1.0,,,
APC2,0.13114853484246622,,0.10700494950969333,
APCDD1,1.0,1.0,1.0,
APLN,,,1.0,
APLP1,,0.029613243898958187,,
APLP2,0.35003728665700495,0.2922564036809453,,
APMAP,,1.0,,
APOBEC3C,,0.28897485493230174,0.2955305564001216,
APOBEC3F,,0.04631007290581759,,
APOE,,,0.02897821602857574,
APOL2,,0.4310468942821884,0.4638827535064707,
APOL3,,0.03337876181326661,0.02897821602857574,0.016511266511266512
APOL6,,0.19760995583364002,0.16031729464565286,0.11234265734265735
APOLD1,0.25283100133399533,,,
APOO,1.0,,1.0,
APOOL,1.0,,1.0,
APP,,0.11810863555049603,,
AQP1,,0.6086867677776768,,0.46306113241597113
AQP3,,0.3143939393939394,0.366642207350172,0.1898795648795649
ARAP1,0.036607228388050306,,0.03301616416370515,
ARAP2,,,0.2955305564001216,
ARF6,,0.4389904426092605,0.42987201477767517,
ARFGAP1,,,1.0,
ARFGEF2,0.6321082763390455,,,
ARFGEF3,,0.4426573426573427,,
ARG2,0.7439925113446964,0.6360176665439823,,
ARHGAP20,,0.5598964571340261,,
ARHGAP21,,,0.7215153778260575,
ARHGAP27,,0.1508671833581581,0.1533491888821838,
ARHGAP30,,0.03337876181326661,0.06174957118353345,0.032882011605415866
ARHGAP33,,,0.10417169037858692,
ARHGAP36,0.8006898761615743,,0.8067174461226506,
ARHGAP39,,,0.5840351598865531,
ARHGAP5,,,0.059234882764294526,
ARHGAP9,,0.04631007290581759,0.06174957118353345,0.022825174825174828
ARHGDIB,,0.0147564300106673,0.02097902097902098,0.012737262737262738
ARHGEF1,0.02780456537681971,0.022712070538157495,0.03301616416370515,
ARHGEF10,,,0.5018456952883182,
ARHGEF2,,0.6343550852526566,,
ARHGEF28,,0.8697946348953061,,
ARHGEF3,,0.23341989289601,0.3102554815702226,
ARHGEF6,0.16522119566616056,0.1389130350169311,0.15096317651683921,
ARID5B,,0.5137812818639456,,
ARL1,,1.0,,
ARL10,0.47056204664900314,,,
ARL4C,1.0,,1.0,
ARL6IP5,0.17615792279469408,,,
ARMCX2,1.0,,1.0,
ARMCX3,1.0,,1.0,
ARMCX4,0.9574513686551828,0.8385713124085218,,
ARPC4,,0.7864857036454669,,
ARPC5,,0.3388395388395389,0.38778612691656167,
ARPC5L,,0.09713633473964052,,
ARPP19,0.993918362339415,,0.9087277986114155,
ARPP21,,1.0,,
ARRB1,,,1.0,
ARRDC2,,0.791947737920233,0.8309322499886793,
ARRDC3,,,0.2679673267908562,
ARSD,1.0,,1.0,
ART3,,0.022712070538157495,,0.010807374443738079
ARX,0.1611068357479841,,,
ASAH1,0.2661888892357642,0.24272091544818816,,
ASAP1,0.17615792279469408,,0.1533491888821838,
ASB4,1.0,,1.0,
ASF1B,,1.0,1.0,
ASIC1,0.5737755879198594,,,
ASIC2,,1.0,1.0,
ASPH,,0.38469669865018696,0.4290147722100384,
ASS1,,1.0,,
ASTN1,0.05364523951884547,0.029613243898958187,0.03617938947280265,
ASTN2,,0.48140682846565197,,
ASXL3,1.0,,1.0,
ATAD1,1.0,,,
ATF3,1.0,1.0,,
ATF5,,1.0,,
ATG12,1.0,,,
ATG16L2,,1.0,1.0,
ATG4A,1.0,,1.0,
ATG9B,0.8606467062349415,,0.875407713883213,
ATL2,,1.0,,
ATMIN,1.0,,,
ATN1,,,0.520225754952443,
ATP10A,,0.5791453332616889,0.5760208703213884,
ATP10B,0.662365709157153,,0.6209449779429496,
ATP11A,0.6569172067824359,,,
ATP11C,0.04618837952171285,,0.04872546808030679,
ATP13A3,0.29016692262960914,0.26866583198460925,,
ATP1A2,,0.11810863555049603,,
ATP1A4,,,,0.7880883161782039
ATP1B1,,1.0,,
ATP1B3,0.2882510747679287,,,
ATP2A2,0.3372563265611394,0.26866583198460925,,
ATP2B2,0.13114853484246622,,0.12947052947052948,
ATP6AP1,,0.17561412946028332,,
ATP6AP2,1.0,1.0,1.0,
ATP6V0A1,,0.40855129813724544,,
ATP6V0D1,1.0,,,
ATP6V0D2,1.0,,1.0,
ATP6V1A,1.0,1.0,,
ATP6V1B2,1.0,,1.0,
ATP6V1C1,1.0,,1.0,
ATP6V1G2,,0.43636871602973293,0.5007391294357341,
ATP8A1,0.20257044882312547,,0.18537468771478133,
ATP9A,,0.9426363110573637,,
ATRN,,0.0147564300106673,,
ATRNL1,0.4800442718375849,,0.5023995612230906,
AUTS2,,,0.07922512270338357,
AVPI1,,0.07966543260660908,,
AVPR1B,0.13431594583427045,,,
AXIN2,0.2276427276427276,,0.2164283477716314,
AZGP1,,0.05507631055076311,,
B2M,,0.0147564300106673,0.02097902097902098,0.012737262737262738
B3GALNT1,,0.26866583198460925,,
B3GAT1,,,0.02897821602857574,
B3GNT2,,0.037274651953551036,0.06174957118353345,
B3GNT9,1.0,,1.0,
B4GALT1,,0.13669694791190118,0.14829006609828527,
B4GALT6,,1.0,,
B4GAT1,,0.17677753718362857,,
BAALC,,0.21275830279045713,,0.11829259849061828
BACE2,,,0.21136285004350974,
BAG1,1.0,,1.0,
BAHCC1,1.0,,1.0,
BAIAP3,0.29016692262960914,0.2611888111888112,,
BAK1,,1.0,1.0,
BAMBI,0.4001777117355007,,,
BARHL1,1.0,,1.0,
BASP1,,1.0,,
BATF3,,1.0,,1.0
BAZ1A,,1.0,1.0,
BCAN,,0.0147564300106673,,
BCAT1,1.0,,1.0,
BCAT2,,,1.0,
BCHE,,0.04631007290581759,,
BCL11A,,,1.0,
BCL11B,1.0,1.0,,
BCL2L1,1.0,,,
BCL6,0.2843760013571334,0.27599201950786967,0.25533440918056305,0.2035635597279433
BCLAF3,1.0,,1.0,
BCORL1,1.0,,1.0,
BDKRB2,,0.037274651953551036,,
BDNF,0.022583050752064838,,,
BEND5,,,1.0,
BEX1,1.0,,1.0,
BEX2,1.0,,1.0,
BEX3,0.3270465996097765,,0.3112765701933469,
BEX4,1.0,,1.0,
BGN,,,0.017361948396431157,
BHLHB9,1.0,,1.0,
BHLHE22,1.0,,1.0,
BHLHE41,,1.0,,
BIRC7,0.9715255159042142,0.88479271924248,,
BLCAP,1.0,1.0,,
BLM,,1.0,1.0,
BLVRA,,,1.0,
BMP1,,0.0147564300106673,,
BMP2,0.017815517815517816,,0.03301616416370515,
BMP3,0.11026223060607014,,,
BMP7,0.017815517815517816,0.01913471144240375,0.03617938947280265,0.010807374443738079
BMPR1B,,0.02532739987285442,,
BNC2,,1.0,,
BNIP3,,0.42726324230639895,0.42437562437562437,
BNIP3L,,0.4315940469786623,0.44729224264107986,
BOC,0.022583050752064838,0.0147564300106673,0.025710459753012945,
BRAT1,1.0,,,
BRF2,1.0,,,
BRI3BP,,,0.49294916770109715,
BRINP1,,1.0,,
BRINP3,0.14831418581418582,,,
BRMS1,,1.0,,
BRMS1L,1.0,,,
BRS3,0.5375683822708497,,0.49294916770109715,
BRWD1,,1.0,,
BSPRY,,0.6134617262436811,0.6524749072392001,
BST2,,0.02532739987285442,0.025710459753012945,0.016511266511266512
BTAF1,,1.0,1.0,
BTBD11,,0.6482058087897505,,
BTBD3,0.5018081769199504,0.44626271931661154,0.5007391294357341,
BTBD6,1.0,,,
BTG1,1.0,1.0,,
BTG2,1.0,1.0,1.0,1.0
BTN2A2,,0.01913471144240375,,0.010807374443738079
BTN3A1,,0.0147564300106673,,0.010807374443738079
BTN3A2,,0.0147564300106673,,0.010807374443738079
BTNL9,0.017815517815517816,,0.02097902097902098,
BUB3,1.0,,1.0,
BUD23,,,1.0,
BZW2,,,1.0,
C10orf90,1.0,,,
C11orf87,1.0,,1.0,
C19orf57,,,1.0,
C1QL1,0.09874289932940959,0.08273799634490779,,
C1QTNF1,,0.7103201986213177,0.7957884811817396,
C1QTNF3,0.049335280104510874,,0.03617938947280265,
C1R,0.02780456537681971,0.0147564300106673,,0.014556871699728842
C1S,,0.0147564300106673,,0.010807374443738079
C1orf115,,,0.4878321678321678,
C1orf61,0.07783478657265065,,0.0823716161139474,
C20orf27,1.0,,1.0,
C2CD2,,,0.4757447277132317,
C2CD4C,,,0.4404858299595142,
C3,,0.022712070538157495,,0.014556871699728842
C3AR1,,0.01913471144240375,0.017361948396431157,
C3orf18,,,1.0,
C3orf58,0.43939233843079994,0.342158514433077,,0.29138521053414673
C3orf70,1.0,,1.0,
C4orf19,0.4736186890033044,,,
C6orf106,,,1.0,
