,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.0482970267142929,0.02869005994005994,,0.016291400906785523
AAGAB,,,1.0,
ABCA5,1.0,1.0,,
ABCA8,0.7401398601398602,0.6171979281222979,0.671779087964059,0.532022194672797
ABCC1,,,1.0,
ABCC9,0.3410493250065443,,,
ABI3,,0.20050064877651086,0.24449743804582513,
ABI3BP,0.0322754168908015,,,
ABLIM1,,0.43409308083221126,,
ABRACL,,1.0,1.0,
ACKR3,0.0591715976331361,0.04011037506183138,,
ACOT9,1.0,,1.0,
ACSL4,0.025820333512641205,,0.0336190755352432,
ACSL5,,0.02869005994005994,0.026735169592312452,0.016291400906785523
ACSL6,,,0.026735169592312452,
ACSS1,1.0,,,
ACSS3,0.5371393981872341,,0.48628536817513196,
ACTA2,,,0.06651188532721634,
ACTB,,1.0,1.0,
ACTN4,,0.3912573407900511,,
ADA,0.10928606277443488,,,0.06301136879649276
ADA2,,0.23406044504945606,,
ADAM17,0.1410065344491574,,,
ADAM19,,,0.9327603613317897,
ADAMTS12,,0.6633980637302896,,
ADAMTS9,0.05103005103005103,,,
ADARB2,1.0,,,
ADCY1,,,0.03508991008991009,
ADCY2,,0.18143047428761713,,
ADCY7,,,0.20528370308105992,
ADCY8,0.07071580105287971,,0.07917723302338688,
ADCYAP1R1,,,0.02807192807192807,
ADGRB1,0.05449096358187268,,,
ADGRB2,,,0.09050054423188751,
ADGRL3,0.9339812729643239,,0.9359781565858184,
ADM,,0.02869005994005994,0.02611342146225867,
ADRA2A,0.04060455673358899,,0.039572762039722396,
AFDN,,,0.5537241384569629,
AFF2,,0.06143299080102054,,
AFF3,0.1380897583429229,,0.11382590012727,
AGAP2,1.0,,1.0,
AGRN,0.025820333512641205,,0.0377891339429801,
AHRR,,,1.0,
AIF1,,0.02869005994005994,0.03508991008991009,
AIFM1,1.0,,1.0,
AJAP1,0.05103005103005103,,0.045277303341819466,
AK5,,0.16671636820890554,,
AKAP12,,,1.0,
AKAP5,,,0.07111555111555112,
AKNA,,1.0,1.0,
AKR1B1,1.0,,1.0,
AKR1C1,1.0,,,
AKR7A2,,,1.0,
ALCAM,,0.2295204795204795,,
ALDH5A1,,1.0,,
ALDH6A1,,1.0,,
ALDOA,,1.0,,
ALDOC,,1.0,,
ALKBH5,,1.0,,
ALOX5AP,,0.045286552013009414,0.045277303341819466,0.022964986820408508
ALPK1,,1.0,,1.0
ALS2CL,0.12253233492171546,,,
ALYREF,,,,1.0
AMER2,,,0.33217599097816886,
AMMECR1,0.17213555675094136,,0.12211661018027066,
AMOT,,,1.0,
AMOTL1,1.0,,,
AMOTL2,0.0322754168908015,,,
ANGPTL2,,0.1622872077417532,,
ANK1,0.2935839670533548,,,
ANKRD29,0.715655312429506,,,
ANKRD33B,0.3914642058971956,,,
ANKRD46,,0.18749560298856072,,
ANKRD50,1.0,,,
ANOS1,0.22507294030472838,,,
ANP32B,,1.0,1.0,
ANXA11,,1.0,1.0,
AOAH,,0.10408486861975233,0.12211661018027066,
AP1S2,,1.0,1.0,
APAF1,0.0959040959040959,,0.08447978353934467,
APBA1,,,0.06348421896125077,
APBB1IP,,0.6161831423214224,0.6236363341237787,0.5249780522507795
APC2,0.06140201262152482,,0.0336190755352432,
