,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.048174048174048176,0.017455826616131962,,0.006733526214045695
AAGAB,1.0,,1.0,
AARS,,1.0,,
AATK,,1.0,,
ABAT,,,1.0,
ABCA1,0.8735305557098973,,0.8185989928090697,
ABCA2,,0.49315864858033537,,
ABCA3,0.2097902097902098,,,
ABCA5,1.0,1.0,,
ABCA7,1.0,,,
ABCA8,1.0,1.0,1.0,0.8068588472046686
ABCB1,0.26863626287257414,0.20635165939033343,,
ABCB6,,,0.21961497149467077,
ABCC1,0.35546439703483584,,0.2742405135847759,
ABCC9,0.6326720489810619,,0.5270369543688416,
ABCF1,,0.9800199800199801,,
ABCG1,0.7354164822519252,0.672289053774303,,
ABCG2,,,0.9203784263545219,
ABHD17A,,0.41106031119346703,,
ABHD3,,,0.07375957375957376,
ABHD5,1.0,,,
ABI2,,0.8452748368949486,,
ABI3,,0.5653684064280091,0.6234060634846489,
ABI3BP,0.06993006993006994,,0.037051320772251005,
ABLIM1,,1.0,,
ABLIM2,1.0,1.0,1.0,
ABLIM3,,1.0,,
ABRACL,,1.0,1.0,
ABT1,,1.0,,1.0
ABTB1,,1.0,1.0,
ACACA,,1.0,,
ACADM,,,1.0,
ACADSB,1.0,,,
ACAN,0.06993006993006994,0.03220722939032798,,
ACER3,,1.0,,
ACKR1,,,0.037051320772251005,
ACKR3,0.12110794233699261,0.04831084408549197,,
ACO2,,1.0,,
ACOT9,1.0,,1.0,
ACSL1,0.2621861913897312,0.20635165939033343,,
ACSL3,,0.039256880458597196,,
ACSL4,0.09983437615016563,,0.056496694794567134,
ACSL5,,0.026284060766819387,0.020269806529348514,0.006733526214045695
ACSL6,,0.03220722939032798,0.020269806529348514,
ACSS1,1.0,,,1.0
ACSS3,1.0,1.0,1.0,
ACTA2,0.09634809634809635,,0.04539050692896847,
ACTB,0.4591173099460392,0.39971004605150945,0.37620426341196633,
