,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,1.0,1.0,,1.0
AAGAB,,,1.0,
ABAT,,,0.6745879120879121,
ABCA1,1.0,,1.0,
ABCA5,1.0,1.0,,
ABCA8,1.0,1.0,1.0,1.0
ABCB1,,1.0,,
ABCC1,,,0.6338622617692385,
ABCC9,1.0,,,
ABI3,,1.0,1.0,
ABI3BP,1.0,,,
ABLIM1,,1.0,,
ABLIM2,1.0,,,
ABRACL,,0.813855289691721,0.8401284989520285,
ABTB1,,1.0,,
ACACA,,0.6661607623146085,,
ACKR3,0.4554704554704555,0.6298247207338117,,
ACO2,,0.6158286158286158,,
ACOT9,0.38105556415415576,,0.44128886986029847,
ACSL1,0.38105556415415576,,,
ACSL3,,1.0,,
ACSL4,0.4537016381676576,,0.568074031231926,
ACSL5,,0.6158286158286158,0.44128886986029847,0.8334522620236906
ACSL6,,,1.0,
ACSS1,0.38105556415415576,,,0.8334522620236906
ACSS3,1.0,,1.0,
ACTA2,,,1.0,
ACTB,,0.9964449131115798,1.0,
ACTN1,,1.0,,
ACTN4,,1.0,1.0,
ACTR3,,,1.0,
ADA,1.0,,,1.0
ADA2,,1.0,,
ADAM17,1.0,,1.0,
ADAM19,1.0,,1.0,
ADAMTS12,,1.0,,
ADAMTS4,,,1.0,
ADAMTS9,1.0,,,
ADAMTSL3,,,1.0,
ADARB2,1.0,,,
ADCY1,1.0,,1.0,
ADCY2,,1.0,,
ADCY7,,,1.0,
ADCY8,1.0,,1.0,
ADCYAP1R1,,1.0,1.0,
ADD2,,,1.0,
ADGRA2,,,1.0,
ADGRB1,1.0,,,
ADGRB2,,,1.0,
ADGRB3,,,1.0,
ADGRG5,,0.6298247207338117,0.5933623898225668,
ADGRL3,0.38105556415415576,,0.44128886986029847,
ADM,,1.0,1.0,
ADRA2A,1.0,,1.0,
AFAP1L2,,1.0,,
AFDN,,1.0,1.0,
AFF2,1.0,1.0,,
AFF3,1.0,,1.0,
AGA,,,1.0,
AGAP2,1.0,,1.0,
AGFG2,,,1.0,
AGRN,1.0,,1.0,
AHI1,1.0,,,
AHRR,,,0.8109800036029544,
AIF1,,1.0,1.0,
AIFM1,0.42967875497995983,,0.5514601677392376,
AJAP1,1.0,,1.0,
AK5,,1.0,,
AKAP12,,,1.0,
