,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.9771050866941278,1.0,,1.0
AAGAB,,,1.0,
ABCA5,1.0,1.0,,
ABCA8,1.0,1.0,1.0,1.0
ABCC1,,,1.0,
ABCC9,1.0,,,
ABI3,,1.0,1.0,
ABI3BP,1.0,,,
ABLIM1,,1.0,,
ABRACL,,1.0,1.0,
ACKR3,1.0,1.0,,
ACOT9,1.0,,1.0,
ACSL4,0.802675585284281,,0.8370538552356734,
ACSL5,,1.0,1.0,1.0
ACSL6,,,1.0,
ACSS1,0.7961269499731037,,,
ACSS3,1.0,,1.0,
ACTA2,,,1.0,
ACTB,,1.0,1.0,
ACTN4,,1.0,,
ADA,1.0,,,1.0
ADA2,,1.0,,
ADAM17,1.0,,,
ADAM19,,,1.0,
ADAMTS12,,1.0,,
ADAMTS9,1.0,,,
ADARB2,1.0,,,
ADCY1,,,1.0,
ADCY2,,1.0,,
ADCY7,,,1.0,
ADCY8,1.0,,1.0,
ADCYAP1R1,,,1.0,
ADGRB1,1.0,,,
ADGRB2,,,1.0,
ADGRL3,1.0,,1.0,
ADM,,1.0,1.0,
ADRA2A,1.0,,1.0,
AFDN,,,1.0,
AFF2,,1.0,,
AFF3,1.0,,1.0,
AGAP2,1.0,,1.0,
AGRN,1.0,,1.0,
AHRR,,,1.0,
AIF1,,1.0,1.0,
AIFM1,1.0,,1.0,
AJAP1,1.0,,1.0,
AK5,,1.0,,
AKAP12,,,1.0,
AKAP5,,,1.0,
AKNA,,1.0,1.0,
AKR1B1,1.0,,1.0,
AKR1C1,1.0,,,
AKR7A2,,,1.0,
ALCAM,,1.0,,
ALDH5A1,,1.0,,
ALDH6A1,,1.0,,
ALDOA,,1.0,,
ALDOC,,1.0,,
ALKBH5,,1.0,,
ALOX5AP,,1.0,1.0,1.0
ALPK1,,1.0,,1.0
ALS2CL,1.0,,,
ALYREF,,,,1.0
AMER2,,,1.0,
AMMECR1,1.0,,1.0,
AMOT,,,1.0,
AMOTL1,1.0,,,
AMOTL2,1.0,,,
ANGPTL2,,1.0,,
ANK1,1.0,,,
ANKRD29,1.0,,,
ANKRD33B,1.0,,,
ANKRD46,,1.0,,
ANKRD50,1.0,,,
ANOS1,1.0,,,
ANP32B,,1.0,1.0,
ANXA11,,1.0,1.0,
AOAH,,1.0,0.9802895517181232,
AP1S2,,1.0,1.0,
APAF1,1.0,,1.0,
APBA1,,,1.0,
APBB1IP,,1.0,1.0,1.0
APC2,1.0,,1.0,
APCDD1,0.9457209457209458,,1.0,
APLN,,,1.0,
APLP1,,1.0,,
APLP2,,1.0,,
APOBEC3C,,1.0,1.0,
APOL2,,1.0,1.0,
APOL3,,1.0,1.0,1.0
APOL6,,1.0,1.0,1.0
APOLD1,1.0,,,
APOO,1.0,,1.0,
APOOL,1.0,,1.0,
AQP1,,1.0,,1.0
AQP3,,1.0,1.0,
ARAP1,1.0,,,
ARAP2,,,1.0,
ARF6,,1.0,,
ARFGEF3,,1.0,,
ARHGAP27,,1.0,,
ARHGAP30,,1.0,1.0,1.0
ARHGAP33,,,1.0,
ARHGAP36,,,1.0,
ARHGAP9,,1.0,1.0,
ARHGDIB,,1.0,1.0,1.0
ARHGEF1,,1.0,1.0,
ARHGEF2,,1.0,,
ARHGEF6,,1.0,1.0,
ARID5B,,1.0,,
ARMCX2,1.0,,1.0,
ARMCX3,1.0,,1.0,
ARMCX4,1.0,1.0,,
ARPP21,,1.0,,
ARRDC2,,1.0,1.0,
ARRDC3,,,1.0,
ARSD,1.0,,1.0,
ARX,1.0,,,
ASAH1,1.0,1.0,,
ASAP1,1.0,,1.0,
ASB4,1.0,,1.0,
ASF1B,,1.0,1.0,
ASIC2,,1.0,,
ASPH,,1.0,,
ASS1,,1.0,,
ASTN1,1.0,,,
ASXL3,1.0,,1.0,
ATF3,1.0,1.0,,
ATG12,0.27972027972027974,,,
ATG9B,0.7792207792207793,,,
ATP10A,,1.0,1.0,
ATP10B,1.0,,1.0,
ATP11C,1.0,,1.0,
ATP1A2,,1.0,,
ATP1B1,,1.0,,
ATP2A2,1.0,,,
ATP2B2,,,1.0,
ATP6AP2,0.7961269499731037,,0.8370538552356734,
ATP6V0D2,1.0,,,
ATP6V1A,,0.6885614385614386,,
ATP6V1B2,0.8074943924000528,,0.9357309357309357,
ATP8A1,1.0,,1.0,
ATP9A,,1.0,,
ATRNL1,1.0,,1.0,
AXIN2,1.0,,1.0,
B2M,,1.0,1.0,1.0
B3GAT1,,,1.0,
B3GNT2,,1.0,1.0,
B4GALT1,,1.0,,
B4GAT1,,1.0,,
BAALC,,1.0,,
BACE2,,,0.7926191455603221,
BAHCC1,1.0,,,
BAIAP3,1.0,1.0,,
BARHL1,1.0,,1.0,
BATF3,,1.0,,1.0
BCAN,,1.0,,
BCAT1,1.0,,1.0,
BCL11A,,,1.0,
BCL11B,1.0,1.0,,
BCL6,,1.0,,1.0
BCLAF3,1.0,,1.0,
BCORL1,1.0,,,
BDNF,1.0,,,
BEX1,1.0,,1.0,
BEX2,1.0,,1.0,
BEX3,0.9771050866941278,,1.0,
BEX4,1.0,,1.0,
BGN,,,1.0,
BHLHB9,1.0,,,
BHLHE22,1.0,,1.0,
BHLHE41,,1.0,,
BIRC7,1.0,,,
BLCAP,1.0,1.0,,
BLM,,1.0,1.0,
BMP7,1.0,1.0,,
BMPR1B,,1.0,,
BNIP3,,1.0,0.866782340466551,
BNIP3L,,0.22952047952047952,,
BOC,1.0,1.0,1.0,
BRINP1,,1.0,,
BRINP3,0.802675585284281,,,
BRS3,1.0,,1.0,
BST2,,1.0,1.0,1.0
BTBD3,1.0,1.0,,
BTG1,,1.0,,
BTG2,,1.0,,1.0
BTN2A2,,1.0,,1.0
BTN3A1,,1.0,,1.0
BTN3A2,,1.0,,1.0
BTNL9,1.0,,1.0,
BUB3,,,1.0,
BZW2,,,1.0,
