,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.8939514094153269,0.9081205875464248,,1.0
AAGAB,1.0,,1.0,
AARS,,1.0,,
AATK,,1.0,,
ABAT,,,1.0,
ABCA1,0.8939514094153269,,0.9634436360100077,
ABCA2,,1.0,,
ABCA3,0.8059888829119598,,,
ABCA5,1.0,1.0,,
ABCA7,0.9484265734265734,,,
ABCA8,1.0,1.0,1.0,1.0
ABCB1,1.0,1.0,,
ABCB6,,,1.0,
ABCC1,1.0,,1.0,
ABCC9,1.0,,1.0,
ABCF1,,1.0,,
ABCG1,0.9290709290709291,0.920044798951049,,
ABCG2,,,1.0,
ABHD17A,,1.0,,
ABHD3,,,0.7945125740401331,
ABHD5,0.9290709290709291,,,
ABI2,,1.0,,
ABI3,,1.0,1.0,
ABI3BP,1.0,,1.0,
ABLIM1,,1.0,,
ABLIM2,1.0,1.0,1.0,
ABLIM3,,1.0,,
ABRACL,,0.920044798951049,1.0,
ABT1,,1.0,,1.0
ABTB1,,1.0,1.0,
ACACA,,0.9081205875464248,,
ACADM,,,0.8517143234124367,
ACADSB,1.0,,,
ACAN,1.0,1.0,,
ACER3,,1.0,,
ACKR1,,,1.0,
ACKR3,1.0,1.0,,
ACO2,,1.0,,
ACOT9,1.0,,1.0,
ACSL1,1.0,1.0,,
ACSL3,,0.920044798951049,,
ACSL4,0.7155950845271234,,0.7945125740401331,
ACSL5,,0.9081205875464248,0.9300445747146255,1.0
ACSL6,,0.9081205875464248,0.9728633435529986,
ACSS1,0.7155950845271234,,,1.0
ACSS3,1.0,1.0,1.0,
ACTA2,1.0,,1.0,
ACTB,1.0,1.0,1.0,
ACTC1,,,,1.0
ACTG1,,,1.0,
ACTN1,,1.0,1.0,
ACTN4,,1.0,1.0,
ACTR3,1.0,1.0,1.0,
ACVR1,,,1.0,
ACVR2A,,1.0,,
ACVR2B,,1.0,1.0,
ADA,1.0,,1.0,1.0
