,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.6845785793154215,0.7271556894987857,,0.707020252474798
AAGAB,1.0,,1.0,
AARS,,1.0,,
AATK,,1.0,,
ABAT,,,1.0,
ABCA1,0.8188630455032045,,0.8578805809575041,
ABCA2,,0.5863367401828941,,
ABCA3,0.6057178116001645,,,
ABCA5,0.9752458338576591,0.958320664842404,,
ABCA7,0.9294951623718748,,,
ABCA8,0.8464503694185673,0.8230614885962934,0.8798068498218423,0.9017069886635105
ABCB1,0.739033693579148,0.7561882561882561,,
ABCB6,,,0.9340408335383211,
ABCC1,0.7790646853146853,,0.8193070869650796,
ABCC9,1.0,,1.0,
ABCF1,,1.0,,
ABCG1,1.0,1.0,,
ABCG2,,,0.8083708199315136,
ABHD17A,,1.0,,
ABHD3,,,0.766352634707065,
ABHD5,0.7776976386841857,,,
ABI2,,1.0,,
ABI3,,1.0,1.0,
ABI3BP,0.8464503694185673,,0.8902985740467438,
ABLIM1,,1.0,,
ABLIM2,1.0,1.0,1.0,
ABLIM3,,1.0,,
ABRACL,,1.0,1.0,
ABT1,,0.5716783216783218,,0.4536713286713287
ABTB1,,1.0,1.0,
ACACA,,1.0,,
ACADM,,,0.8083708199315136,
ACADSB,1.0,,,
ACAN,0.7226107226107227,0.7561882561882561,,
ACER3,,0.8614570727893852,,
ACKR1,,,0.7475457094225423,
ACKR3,1.0,1.0,,
ACO2,,1.0,,
ACOT9,0.739033693579148,,0.7719798997994488,
ACSL1,0.868533727984455,0.8291659559952242,,
ACSL3,,1.0,,
ACSL4,1.0,,1.0,
ACSL5,,1.0,1.0,1.0
ACSL6,,1.0,1.0,
ACSS1,1.0,,,1.0
ACSS3,0.739033693579148,0.7561882561882561,0.7475457094225423,
ACTA2,1.0,,1.0,
ACTB,0.8188630455032045,0.8388262455248101,0.8902985740467438,
ACTC1,,,,1.0
ACTG1,,,0.7842529563459796,
ACTN1,,0.7878972512635879,0.8207428934701662,
ACTN4,,1.0,1.0,
ACTR3,0.9439162701479612,0.9203665899318073,0.9404345654345655,
ACVR1,,,1.0,
ACVR2A,,0.9203665899318073,,
ACVR2B,,0.9923968109961221,1.0,
ADA,0.9277964833520389,,0.9702805785280011,0.9482389268485525
ADA2,,1.0,,
ADAM10,,,0.8083708199315136,
ADAM11,,,1.0,
ADAM17,0.8760652976183879,,0.9007913067858572,
ADAM19,1.0,,1.0,
ADAM22,,1.0,1.0,
ADAM33,0.7826965157380912,,,
ADAM9,,,1.0,
ADAMTS10,1.0,,,
ADAMTS12,1.0,1.0,,
ADAMTS14,,1.0,,
ADAMTS4,,,0.7465505740266124,
ADAMTS7,0.8244458244458245,0.8233664862142767,0.8635923347169547,
ADAMTS9,1.0,,,
ADAMTSL3,0.9961769239477832,,1.0,
ADAMTSL4,,,0.7476891529523109,
ADARB2,1.0,,1.0,
ADCY1,1.0,,1.0,
ADCY2,0.7378235799288431,0.7561882561882561,,
ADCY7,,0.7532702591526121,0.7321722395251807,
ADCY8,0.739033693579148,,0.7983775689789053,
ADCYAP1,0.5642302902576876,,0.6357867484628048,
