,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.16586861414447623,0.03704805832465407,,0.01486013986013986
AAGAB,1.0,,1.0,
ABAT,,,1.0,
ABCA1,0.24667640052255438,,0.08391608391608392,
ABCA2,,1.0,,
ABCA5,0.1457633275815094,0.05197787287339527,,
ABCA8,0.19088054802340515,0.056169636814798106,0.07257607257607258,0.0270184361093452
ABCB1,1.0,1.0,,
ABCC1,,,1.0,
ABCC9,0.8162746344564528,,,
ABCG1,0.1457633275815094,,,
ABI3,,0.9249796140255505,0.9290251732999825,
ABI3BP,0.26723276723276723,,,
ABLIM1,,1.0,,
ABLIM2,1.0,,,
ABRACL,,1.0,1.0,
ABT1,,1.0,,
ABTB1,,0.7814209137166336,,
ACACA,,1.0,,
ACADM,,,1.0,
ACADSB,1.0,,,
ACAN,0.6150734511390249,0.4524530587522714,,
ACKR1,,,0.04195804195804196,
ACKR3,0.3395428101310455,0.10123597332899659,,
ACO2,,1.0,,
ACOT9,1.0,,1.0,
ACSL1,0.522693165864972,0.2894317478767881,,
ACSL3,,1.0,,
ACSL4,1.0,,1.0,
ACSL5,,0.14714862602186546,0.23958197935893102,0.08759661391240339
ACSL6,,0.9902428652428652,1.0,
ACSS1,1.0,,,1.0
ACSS3,1.0,,1.0,
ACTA2,0.31645985593354015,,0.19312194654660408,
ACTB,1.0,1.0,1.0,
ACTG1,,,0.32223776223776224,
ACTN1,,0.5685742828599972,0.6269956458635704,
ACTN4,,1.0,1.0,
ACTR3,1.0,,1.0,
ACVR2A,,0.8437912272684159,,
ADA,0.33651533651533655,,0.2228917327731557,0.08507089241034195
ADA2,,0.40729013475794595,,
ADAM17,0.4416541542290045,,0.2948826874060519,
ADAM19,0.35938199731303183,,0.2228917327731557,
ADAM33,0.3926685559338621,,,
ADAMTS10,0.3395428101310455,,,
ADAMTS12,,0.10123597332899659,,
ADAMTS4,,,0.6901070957015013,
ADAMTS9,0.7496399704191912,,,
ADAMTSL3,0.5055755055755057,,0.3857634902411022,
ADARB2,1.0,,1.0,
ADCY1,0.7488158279715008,,0.6269956458635704,
ADCY2,0.4973498723498723,0.23838661338661338,,
ADCY7,,0.7350895948371403,0.7479797492344543,
ADCY8,0.451785783277496,,0.23149264528574873,
ADCYAP1,,,1.0,
ADCYAP1R1,0.3435849864421293,0.16260782019536882,0.2463148362428938,
ADD2,,,1.0,
ADD3,1.0,,,
ADGRA2,,,0.6983307954181741,
ADGRB1,1.0,1.0,,
ADGRB2,1.0,,1.0,
ADGRB3,,,1.0,
ADGRG1,0.5659046835517424,,,
ADGRG5,,1.0,1.0,
ADGRL3,1.0,,1.0,
ADI1,0.9552749535174844,,,
ADM,,0.03704805832465407,0.06293706293706294,
ADRA2A,1.0,,1.0,
ADSS,0.3435849864421293,,,
AFAP1L2,,1.0,,
AFDN,,1.0,1.0,
AFF2,1.0,1.0,,
AFF3,1.0,,0.8558277749963662,
AGA,,,1.0,
AGAP1,,1.0,,
AGAP2,1.0,,1.0,
AGAP3,,1.0,,
AGFG2,1.0,,1.0,
AGRN,1.0,,1.0,
AHI1,1.0,,,
AHNAK2,,1.0,,
AHRR,,,1.0,
AIF1,,0.05197787287339527,0.07257607257607258,
AIF1L,,1.0,,
AIFM1,0.7658013628162882,,0.608728891687091,
AJAP1,1.0,,1.0,
AK5,,0.8600634802091113,,
AKAP12,,,0.04195804195804196,
AKAP13,,,1.0,
AKAP5,,,0.546703734094277,
AKNA,,0.3644495039843877,0.3754029345968892,
AKR1B1,1.0,0.9288074176702547,1.0,
AKR1C1,0.8838089285016658,,,
AKR1C2,1.0,,,
AKR7A2,,,0.3960356190572018,
AKT3,,1.0,,
AKTIP,1.0,,,
ALCAM,,0.16260782019536882,,
ALDH1B1,1.0,,,
ALDH2,1.0,1.0,,
ALDH5A1,1.0,1.0,,
ALDH6A1,,1.0,,
ALDOA,,0.8426832426832427,,
ALDOC,,1.0,1.0,
ALKBH5,,0.8955638633442929,0.9290251732999825,
ALOX5AP,,0.10123597332899659,0.13249907986750092,0.0270184361093452
ALPK1,,1.0,,1.0
ALPL,,1.0,,
ALS2CL,0.9664687643962256,0.775672422190162,,
ALYREF,,1.0,,1.0
AMER2,,,0.25855225855225855,
AMIGO2,0.3921977303272267,,,
AMMECR1,0.941814941814942,,0.7669971306334943,
AMOT,,,1.0,
AMOTL1,1.0,,1.0,
AMOTL2,0.7488158279715008,,,
AMPD2,,0.18995549904640815,,
AMPH,,,1.0,
AMT,1.0,,,
ANAPC16,,,1.0,
ANGPT1,,0.2204840613931523,,
ANGPTL2,,0.4847460232075616,,
ANK1,1.0,,,
ANKDD1A,,,1.0,
ANKMY2,,1.0,,
ANKRD29,1.0,,1.0,
ANKRD33B,1.0,,1.0,
ANKRD36,,1.0,,
ANKRD37,0.9924518077596282,,0.8664026098759356,0.604400024754007
ANKRD44,,1.0,,
ANKRD46,,0.782664226964745,,
ANKRD50,1.0,,1.0,
ANKRD9,,1.0,,
ANKS1B,0.3916693993029871,0.1680751680751681,0.18216958920476511,
ANLN,,,1.0,
ANO3,0.24667640052255438,0.11913875598086125,,
ANOS1,0.9404256945240551,0.775921326380042,,
ANP32B,,1.0,1.0,
ANTXR2,,,0.4302606484424666,
ANXA1,,0.6945049211907174,0.7033839284862478,
ANXA11,,0.47220576034135364,0.50255185714848,
ANXA2,,,0.48227634434530986,
ANXA5,,,1.0,
AOAH,,0.23358348968105067,0.2543982333456018,
AP1AR,1.0,1.0,,
