,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.027097902097902096,0.021572766855785724,,0.012802012802012801
AAGAB,1.0,,1.0,
AARS,,1.0,,
AATK,,0.25958862566005425,,
ABAT,,,1.0,
ABCA1,0.30608401787441086,,0.2842851908911134,
ABCA2,,0.6399536292584421,,
ABCA3,0.15883126774215883,,,
ABCA5,1.0,1.0,,
ABCA7,0.9407573558516954,,,
ABCA8,0.12914744829638447,0.08436417950981058,0.1319908162013425,0.051308066933066936
ABCB1,0.7375099127676447,0.648712989138521,,
ABCB6,,,0.1090662891610759,
ABCC1,1.0,,1.0,
ABCC9,0.7573019421844753,,0.7669163135001644,
ABCF1,,1.0,,
ABCG1,1.0,1.0,,
ABCG2,,,0.2042572811803581,
ABHD17A,,1.0,,
ABHD3,,,0.13527956759397808,
ABHD5,1.0,,,
ABI2,,0.05081585081585082,,
ABI3,,0.10616883116883118,0.11846922308460771,
ABI3BP,0.030248820946495364,,0.03161124589696018,
ABLIM1,,0.4074597109154344,,
ABLIM2,0.9363887530239137,0.821061959973414,0.8857666633808019,
ABLIM3,,1.0,,
ABRACL,,1.0,1.0,
ABT1,,1.0,,1.0
ABTB1,,1.0,1.0,
ACACA,,1.0,,
ACADM,,,1.0,
ACADSB,1.0,,,
ACAN,0.027097902097902096,0.019055944055944057,,
ACER3,,1.0,,
ACKR1,,,0.020116247388974662,
ACKR3,0.11039886039886042,0.0749742061217471,,
ACO2,,1.0,,
ACOT9,1.0,,1.0,
ACSL1,1.0,1.0,,
ACSL3,,1.0,,
ACSL4,1.0,,1.0,
ACSL5,,1.0,1.0,1.0
ACSL6,,1.0,1.0,
ACSS1,1.0,,,1.0
ACSS3,1.0,1.0,1.0,
ACTA2,0.03441003441003441,,0.02203605523107598,
ACTB,0.33957650740867523,0.3193883581207525,0.3473235625134359,
ACTC1,,,,0.06512328251458686
ACTG1,,,0.6692685383356415,
ACTN1,,0.021572766855785724,0.02203605523107598,
ACTN4,,0.07806049372314433,0.0593674618064862,
ACTR3,1.0,1.0,1.0,
ACVR1,,,0.051504529952805814,
ACVR2A,,0.04314553371157145,,
ACVR2B,,0.05081585081585082,0.04373508844097079,
ADA,0.37356130978926094,,0.3510738998671843,0.23763736263736265
ADA2,,0.2755418494548929,,
ADAM10,,,0.03161124589696018,
ADAM11,,,0.020116247388974662,
ADAM17,0.030248820946495364,,0.03914513005422096,
ADAM19,0.027097902097902096,,0.02203605523107598,
ADAM22,,0.029989682448698842,0.02203605523107598,
ADAM33,0.020451246866341206,,,
ADAM9,,,0.02203605523107598,
ADAMTS10,0.020451246866341206,,,
ADAMTS12,0.020451246866341206,0.019055944055944057,,
ADAMTS14,,0.019055944055944057,,
ADAMTS4,,,0.028049415373359032,
ADAMTS7,0.020451246866341206,0.019055944055944057,0.020116247388974662,
ADAMTS9,0.020451246866341206,,,
ADAMTSL3,0.41710906894152966,,0.3703218269333972,
ADAMTSL4,,,0.03914513005422096,
ADARB2,1.0,,1.0,
ADCY1,0.4211303689791304,,0.4227414376668108,
ADCY2,0.0990115653577192,0.07806049372314433,,
ADCY7,,0.3777160339660339,0.3473235625134359,
ADCY8,0.1705971571614566,,0.1383392295114437,
ADCYAP1,0.2532027972027972,,0.2042572811803581,
ADCYAP1R1,0.03441003441003441,0.047393021486285734,0.04373508844097079,
ADD2,,,0.07281566696557557,
ADD3,0.08512429978398565,,,0.04558079283354009
ADGRA1,,,,0.15753861523092294
ADGRA2,0.20663911478469538,,0.21963961963961962,
ADGRB1,0.05470869824182127,0.034232234831037225,,
ADGRB2,0.969553322494499,,0.9456355610201764,
ADGRB3,,,0.28190302847837095,
ADGRG1,0.14719848053181386,0.12811806190414002,,
ADGRG5,,0.5084073614925722,0.5807143114175704,
ADGRL1,,0.19111826589832456,,
ADGRL3,0.6982701509017298,,0.7660442201655265,
ADI1,1.0,,,
ADIPOR1,0.3613053613053613,0.3345767136089717,,
ADM,,0.057428872497365654,0.04762950054429875,
ADRA2A,0.395990675990676,,0.36196685728423506,0.25213827268621786
ADRB1,,,0.07961350818493676,
ADSS,1.0,,,
AEBP1,,,0.020116247388974662,
AFAP1L2,,0.087446014788271,,
AFDN,,0.02522110242698478,0.04373508844097079,
AFF2,0.3779058779058779,0.2755418494548929,,
AFF3,0.030248820946495364,,0.028049415373359032,
AFG3L2,1.0,,,
AGA,,,0.7299553036604829,
AGAP1,,0.9545781321482255,1.0,
AGAP2,0.15883126774215883,,0.08985937919948073,
AGAP3,,0.5758818387494858,,
AGFG1,1.0,,,
AGFG2,1.0,,1.0,
AGMAT,,,1.0,
AGRN,0.027097902097902096,,0.03161124589696018,
AHI1,1.0,,1.0,
AHNAK2,,0.5388232457197975,,
AHRR,1.0,,1.0,
AIF1,,0.019055944055944057,0.020116247388974662,
AIF1L,,1.0,,
AIFM1,1.0,,1.0,
AJAP1,0.4734651851216269,,0.3781689621853556,0.3052901046322099
AK1,,,1.0,
AK5,,1.0,,
AKAP1,0.42968540410995654,,,
AKAP11,,1.0,,
AKAP12,,,0.23552874828695,
AKAP13,,,1.0,
AKAP5,,,0.5576690444880251,
AKAP8L,,1.0,1.0,
AKAP9,,,1.0,
AKIRIN2,,1.0,,
AKNA,,1.0,1.0,
AKR1B1,1.0,1.0,1.0,
AKR1C1,0.06852343059239611,,,
AKR1C2,1.0,,,
AKR7A2,,,1.0,
AKT3,,0.2982669504408635,,
AKTIP,1.0,,,
ALCAM,,0.021572766855785724,,
ALDH18A1,,1.0,,
ALDH1A2,1.0,,,
ALDH1B1,1.0,,,
ALDH2,1.0,1.0,,
ALDH5A1,1.0,1.0,,
ALDH6A1,,1.0,,
ALDOA,,1.0,,
ALDOC,,1.0,1.0,
ALG13,1.0,,,
ALKBH5,,1.0,1.0,
ALOX5AP,,0.021572766855785724,0.028049415373359032,0.01127133735829388
ALOXE3,0.030248820946495364,,0.02203605523107598,
ALPK1,,1.0,,1.0
ALPL,,1.0,,
ALS2CL,0.11744463211731834,0.11573243510416285,,
ALYREF,,1.0,,1.0
AMER2,,0.38449161458011016,0.365969781513823,
AMFR,,,1.0,
AMIGO2,0.020451246866341206,,,
AMMECR1,0.0776358627598297,,0.07281566696557557,
AMOT,0.5972841647923974,,0.5973398418220149,
AMOTL1,0.943332982806667,,0.9134385614385615,
AMOTL2,0.7622661890954574,,,
