,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.8672914387200101,0.891754503999402,,1.0
AAAS,,,1.0,
AAGAB,0.9940536302934123,,1.0,
AARS,,1.0,1.0,
AASDHPPT,,,,0.9400254917496298
AATK,1.0,1.0,1.0,
ABAT,0.9940536302934123,,1.0,
ABCA1,0.7316604963663788,,0.8578805809575041,
ABCA2,,1.0,,
ABCA3,0.8128812767988025,,,
ABCA5,1.0,1.0,,
ABCA7,0.8729611734419427,0.9528087484291865,,
ABCA8,1.0,1.0,1.0,1.0
ABCB1,1.0,1.0,,
ABCB6,,1.0,1.0,
ABCB9,0.4253193614895742,,,
ABCC1,0.9951167253798834,,1.0,
ABCC9,1.0,,1.0,
ABCD4,,1.0,1.0,
ABCF1,,1.0,,
ABCG1,0.8729611734419427,0.9365045912991119,,
ABCG2,,,1.0,
ABHD11,,,,1.0
ABHD12,0.906719862416065,1.0,,
ABHD14A,,,1.0,
ABHD14B,,1.0,1.0,
ABHD17A,,1.0,1.0,
ABHD17B,,,1.0,
ABHD3,,0.6452991452991453,0.5690024261452833,
ABHD4,0.867913599006036,,,
ABHD5,0.867913599006036,,,
ABI1,1.0,,,
ABI2,,1.0,1.0,
ABI3,,1.0,1.0,
ABI3BP,0.963183735695584,,1.0,
ABL1,1.0,,,
ABLIM1,1.0,1.0,,
ABLIM2,1.0,1.0,1.0,
ABLIM3,,1.0,,
ABRACL,,0.9373374716886168,0.9779091875866069,
ABT1,,1.0,,1.0
ABTB1,,1.0,0.997485992268601,
ACAA1,0.9293268401427794,1.0,,
ACACA,,0.8651263266647883,,
ACAD8,1.0,,,
ACADM,,0.8026578073089702,0.8561625290597253,
ACADSB,1.0,,1.0,
ACADVL,1.0,,,
ACAN,1.0,1.0,,
ACAT1,1.0,,,
ACBD3,,,1.0,
ACBD4,0.9977652555777555,,,
ACER3,0.9951167253798834,1.0,,
ACIN1,,1.0,,
ACKR1,1.0,,1.0,
ACKR3,1.0,1.0,1.0,
ACO2,0.9574395703963811,1.0,,
ACOT13,1.0,,,
ACOT7,1.0,,,
ACOT8,0.7300468455846942,,,
ACOT9,1.0,,1.0,
ACP1,,1.0,,
ACP2,,,0.9702220856067011,
ACRBP,,,1.0,
ACSBG1,,,0.9119992157375335,
ACSL1,0.9951167253798834,1.0,,
ACSL3,,0.9446741377434447,,
ACSL4,0.6385697635697636,0.6815149136577707,0.742289528653165,
ACSL5,,0.8761318681318682,0.7909537271239399,1.0
ACSL6,,0.9099610067352002,0.9112815205360193,
ACSS1,0.7047759932375317,,,0.9702172827172828
ACSS3,1.0,1.0,1.0,
ACTA2,1.0,,1.0,
ACTB,1.0,1.0,1.0,
ACTC1,1.0,,,1.0
ACTG1,,,1.0,
ACTG2,1.0,1.0,,
ACTN1,,1.0,1.0,
ACTN4,1.0,1.0,1.0,
ACTR2,,,1.0,
ACTR3,1.0,1.0,1.0,
