,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.02644667160796193,0.05020341976863716,,0.022099113008203917
AAGAB,,,1.0,
ABAT,,,1.0,
ABCA1,0.15721494414676232,,0.15166688150559118,
ABCA5,1.0,1.0,,
ABCA8,0.7458077898606533,0.6733510689554646,0.7297038404633341,0.5543777489478847
ABCB1,,0.14233774611133101,,
ABCC1,,,1.0,
ABCC9,0.36085921800207515,,,
ABI3,,0.2517160259095743,0.24010247501275234,
ABI3BP,0.02644667160796193,,,
ABLIM1,,0.49801259748209353,,
ABLIM2,1.0,,,
ABRACL,,1.0,1.0,
ABTB1,,1.0,,
ACACA,,0.904891027340007,,
ACKR3,0.05441461193673583,0.04272819691321894,,
ACO2,,1.0,,
ACOT9,1.0,,1.0,
ACSL1,0.12642497689226662,,,
ACSL3,,0.03260269142622084,,
ACSL4,0.04010120314468141,,0.02973390246117519,
ACSL5,,0.03260269142622084,0.03320537330689615,0.022099113008203917
ACSL6,,,0.032490688119827194,
ACSS1,1.0,,,1.0
ACSS3,0.5503725782414307,,0.5382212723984876,
ACTA2,,,0.06162243553547902,
ACTB,,1.0,1.0,
ACTN1,,0.10981559233307486,,
ACTN4,,0.4205978418744376,0.45757379383477254,
ACTR3,,,1.0,
ADA,0.09889760589061287,,,0.03733866133866134
ADA2,,0.268850552432642,,
ADAM17,0.13415675233857052,,0.14897046273564493,
ADAM19,1.0,,0.9868044668803683,
ADAMTS12,,0.785454781904486,,
ADAMTS4,,,0.5027446052181035,
ADAMTS9,0.04010120314468141,,,
ADAMTSL3,,,0.35688896738620496,
ADARB2,1.0,,,
ADCY1,0.03392469599366151,,0.054694469410188476,
ADCY2,,0.20759204694222744,,
ADCY7,,,0.2568361126053434,
ADCY8,0.08850619077891805,,0.059467804922350376,
ADCYAP1R1,,0.03407248489215702,0.032490688119827194,
ADD2,,,0.9734313305741876,
ADGRA2,,,0.22690338426379036,
ADGRB1,0.07529205488389162,,,
ADGRB2,,,0.10004583651642476,
ADGRB3,,,0.46667231907084306,
ADGRG5,,0.09439708709781704,0.10221028971028971,
ADGRL3,1.0,,0.9715346735404043,
ADM,,0.03260269142622084,0.02973390246117519,
ADRA2A,0.03392469599366151,,0.03634143634143634,
AFAP1L2,,0.20085052562116784,,
AFDN,,0.5893245994511818,0.584189606586023,
AFF2,0.08513793898409283,0.07065455790668257,,
AFF3,0.1478609367172417,,0.0968817911945874,
AGA,,,0.7596422366777273,
AGAP2,1.0,,1.0,
AGFG2,,,1.0,
AGRN,0.04460306532845393,,0.03320537330689615,
AHI1,1.0,,,
AHRR,,,1.0,
AIF1,,0.03260269142622084,0.03909238172186379,
AIFM1,1.0,,1.0,
AJAP1,0.04729885499116268,,0.059467804922350376,
AK5,,0.19497388165305615,,
AKAP12,,,1.0,
AKAP13,,,1.0,
AKAP5,,,0.11939609063502869,
AKNA,,1.0,1.0,
AKR1B1,1.0,,1.0,
AKR1C1,1.0,,,
AKR1C2,1.0,,,
AKR7A2,,,1.0,
ALCAM,,0.23295793523464278,,
ALDH2,,1.0,,
ALDH5A1,,1.0,,
ALDH6A1,,1.0,,
ALDOA,,1.0,,
ALDOC,,1.0,1.0,
ALKBH5,,1.0,1.0,
ALOX5AP,,0.07312964812964813,0.059467804922350376,0.022099113008203917
ALPK1,,1.0,,1.0
ALPL,,0.9356388292558505,,
ALS2CL,0.12825824482266202,0.10531985828897944,,
ALYREF,,1.0,,1.0
AMER2,,,0.38011178011178015,
AMIGO2,0.15721494414676232,,,
AMMECR1,0.17756040750693158,,0.17688004595025467,
AMOT,,,1.0,
AMOTL1,1.0,,1.0,
AMOTL2,0.02644667160796193,,,
AMPD2,,1.0,,
AMPH,,,0.24010247501275234,
AMT,1.0,,,
ANGPT1,,0.04469723824562535,,
ANGPTL2,,0.19977434764865448,,
ANK1,0.30038228994387656,,,
ANKDD1A,,,0.20516392698210878,
ANKRD29,0.69742625398734,,0.6368746764786369,
ANKRD33B,0.4224570393635142,,0.4330142864847235,
ANKRD36,,1.0,,
ANKRD37,0.46223881014090806,,0.48746445861830473,
ANKRD46,,0.20085052562116784,,
ANKRD50,1.0,,1.0,
ANKS1B,,,0.6390667510316248,
ANLN,,,1.0,
ANOS1,0.22730350218501877,,,
ANP32B,,1.0,1.0,
ANTXR2,,,0.03634143634143634,
ANXA1,,0.5209620666539727,0.5806463199721627,
ANXA11,,1.0,1.0,
ANXA2,,,0.3134056145583523,
AOAH,,0.129037259857659,0.10221028971028971,
AP1AR,1.0,1.0,,
AP1S2,,1.0,1.0,
AP5Z1,,1.0,,
APAF1,0.091773897744047,,0.07129655086058356,
APBA1,,0.08570810632666304,0.09457530421385843,
APBB1IP,,0.671555438426604,0.7308411882544374,0.5542457542457543
APBB2,0.1752091994027478,,,
APC2,0.091773897744047,,0.06431209240198005,
APCDD1,0.8007402202317456,,0.811020954605476,
APLN,,,0.44430187159778994,
APLP1,,0.03260269142622084,,
APLP2,,0.13037509536415445,,
APMAP,,1.0,,
APOBEC3C,,0.3844360387387094,0.40451479737194024,
APOBEC3F,,0.8206223858397772,,
APOL2,,0.18667670090819996,0.24010247501275234,
APOL3,,0.05542457542457543,0.06431209240198005,0.027262457168999225
APOL6,,0.1701631701631702,0.18507837246241698,0.0954354287687621
APOLD1,0.7468385628969572,,,
APOO,1.0,,1.0,
APOOL,1.0,,1.0,
AQP1,,0.45104137242068276,,0.3592466646653839
AQP3,,0.11467153536119055,0.15341744084259054,0.0795568068295341
ARAP1,1.0,,1.0,
ARAP2,,,1.0,
ARF6,,1.0,1.0,
ARFGEF3,,1.0,,
ARG2,0.07233942528060175,0.05273964789535725,,
ARHGAP20,,1.0,,
ARHGAP21,,,1.0,
ARHGAP27,,1.0,,
ARHGAP30,,1.0,1.0,1.0
ARHGAP33,,,1.0,
ARHGAP36,0.7141776741776742,,0.6537895655542715,
ARHGAP9,,1.0,1.0,1.0
ARHGDIB,,0.08570810632666304,0.08322466337733514,0.05323144009275396
ARHGEF1,1.0,1.0,1.0,
ARHGEF2,,1.0,,
ARHGEF3,,,1.0,
ARHGEF6,,1.0,1.0,
ARID5B,,0.4198234198234198,,
ARL1,,1.0,,
ARL4C,1.0,,1.0,
ARMCX2,1.0,,1.0,
ARMCX3,1.0,,1.0,
ARMCX4,1.0,1.0,,
ARPC5L,,1.0,,
ARPP19,,,0.09457530421385843,
ARPP21,,0.8232656232656232,,
ARRDC2,,0.3918084860647453,0.4066893632683106,
ARRDC3,,,0.35076065995286054,
ARSD,1.0,,1.0,
ART3,,,,0.9723609723609724
ARX,0.02644667160796193,,,
ASAH1,0.22545787545787546,0.17519262346848555,,
ASAP1,1.0,,1.0,
ASB4,1.0,,1.0,
