,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.11927203231551059,0.12472821296350708,,0.12927072927072927
AAGAB,1.0,,1.0,
AARS,,0.577300020399294,,
AATK,0.8335763777806999,0.8661182941758482,,
ABAT,,,0.17052090766376482,
ABCA1,0.189190120224603,,0.16460844120418588,
ABCA2,,0.19909667796991742,,
ABCA3,0.25995949187969136,,,
ABCA5,0.15612030246176586,0.14967385555620852,,
ABCA7,0.3337056503425019,,,
ABCA8,0.377959817959818,0.35832355223990203,0.3834728355756393,0.3030923878381505
ABCB1,1.0,1.0,,
ABCB6,,,0.4741033485304796,
ABCB9,0.1428779553779554,,,
ABCC1,0.31611747627372627,,0.31900169801044437,
ABCC9,0.2941223724728879,,0.3373386987844819,
ABCD4,,,0.835332623177927,
ABCF1,,0.5980128789915689,,
ABCG1,0.13491426606180706,0.10097045811331526,,
ABCG2,,,1.0,
ABHD12,0.3535355346122067,0.3113987461813548,,
ABHD14B,,,1.0,
ABHD17A,,0.14967385555620852,,
ABHD3,,0.19803867629954586,0.2249151286350411,
ABHD5,0.3581959441832054,,,
ABI2,,1.0,,
ABI3,,1.0,1.0,
ABI3BP,0.3196027273697177,,0.2610337735965877,
ABLIM1,,1.0,,
ABLIM2,1.0,1.0,1.0,
ABLIM3,,1.0,,
ABRACL,,0.22351580043887734,0.2249151286350411,
ABT1,,1.0,,1.0
ABTB1,,1.0,1.0,
ACAA1,0.49740369520589295,0.4655524116601961,,
ACACA,,0.5419968632403865,,
ACAD8,1.0,,,
ACADM,,0.26186506460949,0.27944178997663605,
ACADSB,0.5014876309762055,,,
ACAN,0.4168856923266692,0.3538525990138893,,
ACER3,0.5660270631479845,0.5539244470542181,,
ACIN1,,1.0,,
ACKR1,0.2767320398899346,,0.24716919444192173,
ACKR3,0.46990971990971986,0.40706200436234186,,
ACO2,0.3581959441832054,0.36491077844461306,,
